age_group,period,coef,se,pval
22-25,2019H1,-0.007545389017028982,0.01056637877882762,0.47516910367060516
22-25,2019H2,-0.012632461908684424,0.010476557573794168,0.22790113345752405
22-25,2020H1,-0.006469153486793758,0.009623331115503788,0.5014333270735158
22-25,2020H2,-0.006910722030609804,0.00959343869544779,0.47130397744646624
22-25,2021H1,0.00718526573612584,0.008243145689063074,0.3833910424200364
22-25,2021H2,-0.005005411761100558,0.007582268929418167,0.5091596421260078
22-25,2022H2,-0.006931654780834021,0.00487770433411121,0.1552909552067261
22-25,2023H1,0.00200461003920796,0.00802965921357076,0.8028575258220809
22-25,2023H2,-0.006321966788215117,0.008539280558188965,0.4590941435286422
22-25,2024H1,-0.10846224293462577,0.009914304527456605,0.0
22-25,2024H2,-0.13155591773920472,0.010106687133935569,0.0
22-25,2025H1,-0.21748547781212163,0.01205094037096282,0.0
22-25,2022H1,0.0,0.0,1.0
26-30,2019H1,-0.03204121654922763,0.007205656331922833,8.721353201179838e-06
26-30,2019H2,-0.03723560055790365,0.007142684291011281,1.8571683746415601e-07
26-30,2020H1,-0.021257931124839202,0.0061969823831907545,0.0006027736088052293
26-30,2020H2,-0.021874600870456323,0.006113988953161543,0.00034651194062673696
26-30,2021H1,-0.007467193115099938,0.005016714360918409,0.13662900429757197
26-30,2021H2,-0.015709165236837998,0.004528976731656187,0.0005232062514464175
26-30,2022H2,-0.012969697990146495,0.0026522382822613704,1.0079410384111753e-06
26-30,2023H1,0.014880158205959566,0.005122936302482695,0.003677085436801786
26-30,2023H2,0.00445775698370621,0.005434016771028701,0.41202075347408806
26-30,2024H1,-0.039898435323828495,0.006267122345353948,1.9366863668324186e-10
26-30,2024H2,-0.049470370986831276,0.006448068714064737,1.687538997430238e-14
26-30,2025H1,-0.12504187256134042,0.007321339557639775,0.0
26-30,2022H1,0.0,0.0,1.0
31-34,2019H1,-0.03441253893543982,0.007603724275252126,6.018565787080377e-06
31-34,2019H2,-0.036968723471191844,0.007511441733707503,8.582208528284951e-07
31-34,2020H1,-0.031393342301811615,0.0064398795650229415,1.0890821204867507e-06
31-34,2020H2,-0.027859277040487563,0.006342650324322316,1.1212644271285654e-05
31-34,2021H1,-0.01836059039505089,0.005101424854556937,0.0003193153161074047
31-34,2021H2,-0.020966821299653188,0.004728818386293297,9.25743715485261e-06
31-34,2022H2,-0.011559838454220985,0.002384824733144219,1.251945878522065e-06
31-34,2023H1,0.01524024962356892,0.0050898605973248405,0.002751352840029364
31-34,2023H2,0.011556629047126397,0.005341972098191384,0.030513324413049547
