age_group,period,coef,se,pval
22-25,2019H1,0.007700169781229015,0.00239976616114324,0.0013332931090277444
22-25,2019H2,-0.0006850568470269346,0.002373118734211196,0.7728311362605798
22-25,2020H1,0.014872376317320942,0.002090379589220826,1.1217693440812582e-12
22-25,2020H2,0.011770249470982406,0.001985294620727246,3.053235886341099e-09
22-25,2021H1,0.0211023770736571,0.0012196401108729839,0.0
22-25,2022H1,0.007765235751857226,0.0018928841169109725,4.090139445001029e-05
22-25,2022H2,-0.005329758518672497,0.002027965629789578,0.00858557105069746
22-25,2023H1,0.018394191618131977,0.002346254662973235,4.440892098500626e-15
22-25,2023H2,0.013017544031720998,0.0023694805426741116,3.9330145362725943e-08
22-25,2024H1,-0.02142904951795943,0.0024447676006726375,0.0
22-25,2024H2,-0.02750194776019323,0.002478376188872383,0.0
22-25,2025H1,-0.047018247509484634,0.002569519965571976,0.0
22-25,2021H2,0.0,0.0,1.0
26-30,2019H1,0.004197369879548414,0.0021435138199146766,0.050209796816035546
26-30,2019H2,-0.004402203199158956,0.0020978227310814597,0.03586429572833105
26-30,2020H1,0.008905614528111188,0.0018296204850695831,1.1304015328228445e-06
26-30,2020H2,0.006413844412620126,0.0017147054213148744,0.0001836602663742859
26-30,2021H1,0.01777758551938373,0.0009569713420035684,0.0
26-30,2022H1,0.011806394020944522,0.0016025822013564035,1.7430501486614958e-13
26-30,2022H2,-0.004569819496971052,0.0017240716660095335,0.008034972430529308
26-30,2023H1,0.029803510750383386,0.0020727633371308792,0.0
26-30,2023H2,0.02172197798888178,0.002101851214197879,0.0
26-30,2024H1,-0.004082512713284346,0.002200574519197367,0.06356725334896751
26-30,2024H2,-0.0077092126343395895,0.0022211381455972228,0.0005188372181581524
26-30,2025H1,-0.03718333269539124,0.002330999550528231,0.0
26-30,2021H2,0.0,0.0,1.0
31-34,2019H1,-0.0021484550009340537,0.0021796610589046275,0.32428868561343904
31-34,2019H2,-0.0056700301960506865,0.002143886508325817,0.008175296387419095
31-34,2020H1,0.0024339174519427175,0.0018401250726708192,0.18593808475745144
31-34,2020H2,0.002226623760802016,0.001742345832181375,0.20126852377453464
31-34,2021H1,0.009703445625856063,0.0008795768907405635,0.0
31-34,2022H1,0.007147287872831204,0.0016676307197847076,1.820078535574865e-05
31-34,2022H2,-0.001932008621438763,0.0017799769864915009,0.2777391875615729
31-34,2023H1,0.022451159759571584,0.0021724586045004384,0.0
31-34,2023H2,0.017781853402008347,0.0021932283569849127,4.440892098500626e-16
31-34,2024H1,0.007796651743831492,0.0023365967475378444,0.0008476284352620933
31-34,2024H2,0.004605136837677313,0.0023525149561307987,0.05028430700380193
31-34,2025H1,-0.005741745215651166,0.002457616838208269,0.01947531436758454
31-34,2021H2,0.0,0.0,1.0
35-40,2019H1,-0.0014549860580069663,0.001961340263485191,0.4581888093016895
35-40,2019H2,-0.0035073456400126057,0.0019223678901348804,0.06807768820623772
35-40,2020H1,0.0027393710384056393,0.0016436574532283981,0.09558775934496389
35-40,2020H2,0.0020039060984107897,0.001549067890670196,0.1957965380083444
35-40,2021H1,0.008448309484882616,0.0007664931200532284,0.0
35-40,2022H1,0.00488961058688062,0.0014494819987378859,0.0007425965544791691
35-40,2022H2,-0.0024766639366060107,0.0015590214751153156,0.11215040559393175
35-40,2023H1,0.009372677216541002,0.0019409504552417756,1.372834762980446e-06
35-40,2023H2,0.0068608370328798315,0.0019678562086202374,0.0004894743270558166
35-40,2024H1,0.0021783546377042657,0.002090298727167706,0.29735329121667764
35-40,2024H2,-0.0005216192068261247,0.0021115270998514953,0.8048818345845281
35-40,2025H1,-0.004234517071730739,0.002205393979343438,0.054848725325297165
35-40,2021H2,0.0,0.0,1.0
