obs_year,age_group,n_q4,n_total,q4_share
2019,22-25,49814,356810,0.1396093158824024
2019,26-30,137258,563374,0.2436356665376819
2019,31-34,123245,433226,0.284482002465226
2019,35-40,187317,607564,0.30830826052893195
2019,41-49,297930,944744,0.3153552708458588
2019,50+,445483,1669175,0.2668881333592943
2020,22-25,2384,12984,0.1836105976586568
2020,26-30,12210,46628,0.26185982671356267
2020,31-34,9058,34630,0.26156511695062085
2020,35-40,10158,39136,0.2595564186426819
2020,41-49,11779,45816,0.2570935917583377
2020,50+,16086,73142,0.2199283585354516
2021,22-25,1749,8674,0.20163707632003688
2021,26-30,4569,14794,0.30884142219818844
2021,31-34,3479,11257,0.30905214533179354
2021,35-40,3472,13267,0.2617019672872541
2021,41-49,2776,13079,0.21224864286260417
2021,50+,3205,16548,0.19367899444041575
2022,22-25,1630,7707,0.21149604255871285
2022,26-30,4600,13076,0.3517895380850413
2022,31-34,3805,10854,0.3505620047908605
2022,35-40,3747,12646,0.29629922505139966
2022,41-49,2628,12066,0.21780208851317753
2022,50+,2246,12901,0.17409503139291527
2023,22-25,1212,4708,0.2574341546304163
2023,26-30,2995,7975,0.3755485893416928
2023,31-34,2546,6825,0.373040293040293
2023,35-40,2587,8044,0.3216061660865241
2023,41-49,1637,7316,0.2237561509021323
2023,50+,1172,7226,0.16219208414060338
2024,22-25,3,40,0.075
2024,26-30,12,133,0.09022556390977443
2024,31-34,22,233,0.0944206008583691
2024,35-40,60,490,0.12244897959183673
2024,41-49,106,858,0.12354312354312354
2024,50+,246,2054,0.11976630963972736
2025,22-25,2,11,0.18181818181818182
2025,26-30,1,31,0.03225806451612903
2025,31-34,4,83,0.04819277108433735
2025,35-40,22,213,0.10328638497652583
2025,41-49,49,414,0.11835748792270531
2025,50+,135,1535,0.08794788273615635
