obs_year,age_group,exposure_quartile,n_entrants,n_total,share
2019,22-25,1,102175,356810,0.2863568846164625
2019,22-25,2,164897,356810,0.46214231663910765
2019,22-25,3,39924,356810,0.11189148286202741
2019,22-25,4,49814,356810,0.1396093158824024
2019,26-30,1,132113,563374,0.23450318971056527
2019,26-30,2,207684,563374,0.36864321037179565
2019,26-30,3,86319,563374,0.15321793337995718
2019,26-30,4,137258,563374,0.2436356665376819
2019,31-34,1,90203,433226,0.20821234182620618
2019,31-34,2,142357,433226,0.3285975449303597
2019,31-34,3,77421,433226,0.17870811077820814
2019,31-34,4,123245,433226,0.284482002465226
2019,35-40,1,117674,607564,0.19368165329084672
2019,35-40,2,182019,607564,0.2995881915320855
2019,35-40,3,120554,607564,0.19842189464813584
2019,35-40,4,187317,607564,0.30830826052893195
2019,41-49,1,179474,944744,0.18997103977373764
2019,41-49,2,264201,944744,0.2796535357726538
2019,41-49,3,203139,944744,0.21502015360774981
2019,41-49,4,297930,944744,0.3153552708458588
2019,50+,1,377857,1669175,0.22637350787065466
2019,50+,2,497006,1669175,0.2977554780056016
2019,50+,3,348829,1669175,0.2089828807644495
2019,50+,4,445483,1669175,0.2668881333592943
2020,22-25,1,3776,12984,0.29081947011706716
2020,22-25,2,5278,12984,0.4065003080714726
2020,22-25,3,1546,12984,0.11906962415280345
2020,22-25,4,2384,12984,0.1836105976586568
2020,26-30,1,11047,46628,0.23691773183494896
2020,26-30,2,16378,46628,0.35124817706099337
2020,26-30,3,6993,46628,0.149974264390495
2020,26-30,4,12210,46628,0.26185982671356267
2020,31-34,1,8559,34630,0.2471556453941669
2020,31-34,2,11726,34630,0.33860814322841465
2020,31-34,3,5287,34630,0.15267109442679758
2020,31-34,4,9058,34630,0.26156511695062085
2020,35-40,1,9936,39136,0.25388389206868356
2020,35-40,2,12786,39136,0.3267068683565004
2020,35-40,3,6256,39136,0.1598528209321341
2020,35-40,4,10158,39136,0.2595564186426819
2020,41-49,1,12362,45816,0.26981840405098656
2020,41-49,2,13893,45816,0.30323467784180197
2020,41-49,3,7782,45816,0.16985332634887376
2020,41-49,4,11779,45816,0.2570935917583377
2020,50+,1,21377,73142,0.29226709688004154
2020,50+,2,23028,73142,0.31483962702687923
2020,50+,3,12651,73142,0.17296491755762763
2020,50+,4,16086,73142,0.2199283585354516
2021,22-25,1,2650,8674,0.3055107216970256
2021,22-25,2,3455,8674,0.3983168088540466
2021,22-25,3,820,8674,0.09453539312889093
2021,22-25,4,1749,8674,0.20163707632003688
2021,26-30,1,3663,14794,0.24760037853183722
2021,26-30,2,4687,14794,0.3168176287684196
2021,26-30,3,1875,14794,0.12674057050155468
2021,26-30,4,4569,14794,0.30884142219818844
2021,31-34,1,2751,11257,0.24438127387403394
2021,31-34,2,3540,11257,0.31447099582482013
2021,31-34,3,1487,11257,0.1320955849693524
2021,31-34,4,3479,11257,0.30905214533179354
2021,35-40,1,3678,13267,0.2772292153463481
2021,35-40,2,4408,13267,0.3322529584683802
2021,35-40,3,1709,13267,0.12881585889801764
2021,35-40,4,3472,13267,0.2617019672872541
2021,41-49,1,4059,13079,0.3103448275862069
2021,41-49,2,4455,13079,0.3406223717409588
2021,41-49,3,1789,13079,0.13678415781023015
2021,41-49,4,2776,13079,0.21224864286260417
2021,50+,1,5175,16548,0.3127266134880348
2021,50+,2,5710,16548,0.3450568044476674
2021,50+,3,2458,16548,0.14853758762388203
2021,50+,4,3205,16548,0.19367899444041575
2022,22-25,1,2517,7707,0.3265862203191903
2022,22-25,2,2828,7707,0.36693914623069934
2022,22-25,3,732,7707,0.09497859089139743
2022,22-25,4,1630,7707,0.21149604255871285
2022,26-30,1,3289,13076,0.2515295197308045
2022,26-30,2,3704,13076,0.2832670541449985
2022,26-30,3,1483,13076,0.11341388803915571
2022,26-30,4,4600,13076,0.3517895380850413
2022,31-34,1,2724,10854,0.25096738529574353
2022,31-34,2,3069,10854,0.2827529021558872
2022,31-34,3,1256,10854,0.11571770775750875
2022,31-34,4,3805,10854,0.3505620047908605
2022,35-40,1,3475,12646,0.2747904475723549
2022,35-40,2,3913,12646,0.3094259054246402
2022,35-40,3,1511,12646,0.11948442195160525
2022,35-40,4,3747,12646,0.29629922505139966
2022,41-49,1,3966,12066,0.3286921929388364
2022,41-49,2,3957,12066,0.3279462953754351
2022,41-49,3,1515,12066,0.12555942317255098
2022,41-49,4,2628,12066,0.21780208851317753
2022,50+,1,4625,12901,0.358499341136346
2022,50+,2,4189,12901,0.32470351135570885
2022,50+,3,1841,12901,0.14270211611502984
2022,50+,4,2246,12901,0.17409503139291527
2023,22-25,1,1412,4708,0.29991503823279525
2023,22-25,2,1579,4708,0.33538657604078165
2023,22-25,3,505,4708,0.1072642310960068
2023,22-25,4,1212,4708,0.2574341546304163
2023,26-30,1,1946,7975,0.24401253918495297
2023,26-30,2,2060,7975,0.258307210031348
2023,26-30,3,974,7975,0.12213166144200627
2023,26-30,4,2995,7975,0.3755485893416928
2023,31-34,1,1550,6825,0.2271062271062271
2023,31-34,2,1891,6825,0.27706959706959705
2023,31-34,3,838,6825,0.12278388278388279
2023,31-34,4,2546,6825,0.373040293040293
2023,35-40,1,2101,8044,0.26118846345101937
2023,35-40,2,2342,8044,0.291148682247638
2023,35-40,3,1014,8044,0.1260566882148185
2023,35-40,4,2587,8044,0.3216061660865241
2023,41-49,1,2387,7316,0.326271186440678
2023,41-49,2,2407,7316,0.32900492072170584
2023,41-49,3,885,7316,0.12096774193548387
2023,41-49,4,1637,7316,0.2237561509021323
2023,50+,1,2690,7226,0.3722668142817603
2023,50+,2,2518,7226,0.3484638804317742
2023,50+,3,846,7226,0.11707722114586216
2023,50+,4,1172,7226,0.16219208414060338
2024,22-25,1,8,40,0.2
2024,22-25,2,19,40,0.475
2024,22-25,3,10,40,0.25
2024,22-25,4,3,40,0.075
2024,26-30,1,32,133,0.24060150375939848
2024,26-30,2,63,133,0.47368421052631576
2024,26-30,3,26,133,0.19548872180451127
2024,26-30,4,12,133,0.09022556390977443
2024,31-34,1,50,233,0.2145922746781116
2024,31-34,2,122,233,0.5236051502145923
2024,31-34,3,39,233,0.16738197424892703
2024,31-34,4,22,233,0.0944206008583691
2024,35-40,1,141,490,0.28775510204081634
2024,35-40,2,208,490,0.42448979591836733
2024,35-40,3,81,490,0.1653061224489796
2024,35-40,4,60,490,0.12244897959183673
2024,41-49,1,255,858,0.2972027972027972
2024,41-49,2,383,858,0.44638694638694637
2024,41-49,3,114,858,0.13286713286713286
2024,41-49,4,106,858,0.12354312354312354
2024,50+,1,736,2054,0.35832521908471276
2024,50+,2,855,2054,0.4162609542356378
2024,50+,3,217,2054,0.1056475170399221
2024,50+,4,246,2054,0.11976630963972736
2025,22-25,1,2,11,0.18181818181818182
2025,22-25,2,4,11,0.36363636363636365
2025,22-25,3,3,11,0.2727272727272727
2025,22-25,4,2,11,0.18181818181818182
2025,26-30,1,7,31,0.22580645161290322
2025,26-30,2,17,31,0.5483870967741935
2025,26-30,3,6,31,0.1935483870967742
2025,26-30,4,1,31,0.03225806451612903
2025,31-34,1,25,83,0.30120481927710846
2025,31-34,2,44,83,0.5301204819277109
2025,31-34,3,10,83,0.12048192771084337
2025,31-34,4,4,83,0.04819277108433735
2025,35-40,1,66,213,0.30985915492957744
2025,35-40,2,94,213,0.4413145539906103
2025,35-40,3,31,213,0.14553990610328638
2025,35-40,4,22,213,0.10328638497652583
2025,41-49,1,150,414,0.36231884057971014
2025,41-49,2,176,414,0.4251207729468599
2025,41-49,3,39,414,0.09420289855072464
2025,41-49,4,49,414,0.11835748792270531
2025,50+,1,625,1535,0.40716612377850164
2025,50+,2,648,1535,0.4221498371335505
2025,50+,3,127,1535,0.08273615635179153
2025,50+,4,135,1535,0.08794788273615635
