age_group,exposure_quartile,n_emp,n_hires,n_separations,employers,hire_rate,separation_rate
22-25,1,7134773,772417,654368,108367,0.10826090752992422,0.0917153215666427
22-25,2,12109945,1302935,1095180,118796,0.10759214843667746,0.09043641403821405
22-25,3,2637888,327949,279813,53430,0.12432256411189557,0.1060746324332193
22-25,4,3348344,388794,313309,60040,0.11611530953808809,0.09357132958859664
26-30,1,9564500,645362,643937,122730,0.06747472424068168,0.0673257357938209
26-30,2,15374417,1057821,1054498,137643,0.06880397481088225,0.06858783653389913
26-30,3,6374149,435280,406595,76677,0.06828833150903751,0.06378812293217495
26-30,4,10697513,615957,547096,92255,0.05757945795438622,0.051142354302350465
31-34,1,7745929,432558,428048,109289,0.05584326941287481,0.055261028083268
31-34,2,12075166,680303,669711,124276,0.05633901844496382,0.05546184623880119
31-34,3,6665618,347123,327683,78325,0.05207664165573245,0.04916018289676966
31-34,4,11122082,491970,458242,96083,0.04423362460373876,0.04120109885900859
35-40,1,10239170,508594,501531,118299,0.04967140891302713,0.048981606907591145
35-40,2,15825320,754781,738402,136137,0.04769451739364512,0.04665953042339744
35-40,3,10322573,441210,420698,96478,0.042742250405979204,0.04075514893428218
35-40,4,16383414,621137,588470,118221,0.03791254985072098,0.03591864308623343
41-49,1,14626358,628167,620074,130729,0.0429476018568669,0.04239428571350434
41-49,2,21854291,869360,858943,151613,0.03977983088080963,0.039303173916737905
41-49,3,16872601,613891,599072,123354,0.03638389836872217,0.03550561054575996
41-49,4,25248214,831222,811357,149599,0.03292201183022292,0.03213522350531408
50+,1,30133871,1097034,1208238,159499,0.036405345997532146,0.04009567838131384
50+,2,40906693,1422135,1569413,179508,0.03476533778958861,0.038365677714402385
50+,3,30232733,1088790,1183293,159910,0.03601361477971575,0.039139465161816496
50+,4,40221507,1372793,1478714,188544,0.03413081961349683,0.036764261468373124
