age_group,outcome,method,n_obs,mean_outcome,gamma1_rb_high,se1,pval1,gamma2_gpt_high,se2,pval2
22-25,n_hires,PanelOLS_ln_y_plus_1,11970426,0.1996774383802214,-0.0015529194028800234,0.0004486052445583553,0.0005368551420854573,-0.0050889592134306,0.00047119588123599226,0.0
22-25,n_separations,PanelOLS_ln_y_plus_1,11970426,0.16815249515764935,-0.00020847170792605098,0.0004227126730947389,0.6218883101362458,-0.0011501876444345463,0.00041832964125978204,0.005969062078095222
26-30,n_hires,PanelOLS_ln_y_plus_1,16498560,0.14403790391403856,-0.0028522315904340153,0.00035970356992540777,2.220446049250313e-15,-0.0004015492525253345,0.00038102901682408944,0.2919494300045429
26-30,n_separations,PanelOLS_ln_y_plus_1,16498560,0.13856966911051632,0.002514986248110952,0.00034921933467804846,5.944134073843088e-13,-0.00304921231639319,0.0003409900434266503,0.0
31-34,n_hires,PanelOLS_ln_y_plus_1,14773590,0.11023055330491777,-0.001366697994855218,0.00033999172650934145,5.8248559241080855e-05,0.00018954175915496995,0.00035323096674307085,0.5915478247476043
31-34,n_separations,PanelOLS_ln_y_plus_1,14773590,0.1063243937323291,0.0016370726798239272,0.0003353367147559831,1.0508235885886563e-06,-0.0016739508911896106,0.0003312393665624148,4.335696959234525e-07
35-40,n_hires,PanelOLS_ln_y_plus_1,17511078,0.11130559751946739,-0.0015347391658612987,0.0003051669942264452,4.92594270262714e-07,0.0003886293325810716,0.00031266591802971854,0.21388483559010307
35-40,n_separations,PanelOLS_ln_y_plus_1,17511078,0.10762861087135812,0.0007376648550196994,0.0002966647249769795,0.0128996917402453,-0.0009904349750344587,0.0002944283574721468,0.0007684262060709823
41-49,n_hires,PanelOLS_ln_y_plus_1,21810984,0.11530905712461208,-0.0005158972668325356,0.00026624050879385503,0.05265846356290149,0.0002087640566070336,0.00027243525055507177,0.44350454774994086
41-49,n_separations,PanelOLS_ln_y_plus_1,21810984,0.11339039082326594,0.0008949266499871517,0.0002655608671064023,0.0007518222786002671,-0.0009175234733980636,0.00026327229533865717,0.0004920021773586747
50+,n_hires,PanelOLS_ln_y_plus_1,29895762,0.14900131998642482,-0.0011211693731437563,0.00022408045259406613,5.632155450907561e-07,0.0032486943648729625,0.00022966099176384636,0.0
50+,n_separations,PanelOLS_ln_y_plus_1,29895762,0.16315416211836314,-0.00031012545303477226,0.00023135010577139575,0.18008196662429654,0.0018756208320067154,0.00022891387860934703,2.220446049250313e-16
