ssyk4,year_month,young,n_employed,pctl_rank_genai,exposure_quartile,high_exposure
1112,2019-01,0,1682,62.529999,Q3,0
1112,2019-02,0,1677,62.529999,Q3,0
1112,2019-03,0,1680,62.529999,Q3,0
1112,2019-04,0,1685,62.529999,Q3,0
1112,2019-05,0,1687,62.529999,Q3,0
1112,2019-06,0,1689,62.529999,Q3,0
1112,2019-07,0,1676,62.529999,Q3,0
1112,2019-08,0,1674,62.529999,Q3,0
1112,2019-09,0,1675,62.529999,Q3,0
1112,2019-10,0,1676,62.529999,Q3,0
1112,2019-11,0,1673,62.529999,Q3,0
1112,2019-12,0,1677,62.529999,Q3,0
1112,2020-01,0,1629,62.529999,Q3,0
1112,2020-02,0,1632,62.529999,Q3,0
1112,2020-03,0,1629,62.529999,Q3,0
1112,2020-04,0,1634,62.529999,Q3,0
1112,2020-05,0,1631,62.529999,Q3,0
1112,2020-06,0,1636,62.529999,Q3,0
1112,2020-07,0,1630,62.529999,Q3,0
1112,2020-08,0,1631,62.529999,Q3,0
1112,2020-09,0,1635,62.529999,Q3,0
1112,2020-10,0,1636,62.529999,Q3,0
1112,2020-11,0,1631,62.529999,Q3,0
1112,2020-12,0,1635,62.529999,Q3,0
1112,2021-01,0,1521,62.529999,Q3,0
1112,2021-02,0,1522,62.529999,Q3,0
1112,2021-03,0,1522,62.529999,Q3,0
1112,2021-04,0,1518,62.529999,Q3,0
1112,2021-05,0,1520,62.529999,Q3,0
1112,2021-05,1,1,62.529999,Q3,0
1112,2021-06,0,1515,62.529999,Q3,0
1112,2021-07,0,1514,62.529999,Q3,0
1112,2021-08,0,1510,62.529999,Q3,0
1112,2021-09,0,1515,62.529999,Q3,0
1112,2021-09,1,1,62.529999,Q3,0
1112,2021-10,0,1513,62.529999,Q3,0
1112,2021-10,1,1,62.529999,Q3,0
1112,2021-11,0,1507,62.529999,Q3,0
1112,2021-11,1,1,62.529999,Q3,0
1112,2021-12,0,1511,62.529999,Q3,0
1112,2022-01,0,1342,62.529999,Q3,0
1112,2022-02,0,1341,62.529999,Q3,0
1112,2022-03,0,1337,62.529999,Q3,0
1112,2022-04,0,1340,62.529999,Q3,0
1112,2022-05,0,1344,62.529999,Q3,0
1112,2022-06,0,1342,62.529999,Q3,0
1112,2022-07,0,1339,62.529999,Q3,0
1112,2022-08,0,1341,62.529999,Q3,0
1112,2022-09,0,1337,62.529999,Q3,0
1112,2022-10,0,1337,62.529999,Q3,0
1112,2022-11,0,1339,62.529999,Q3,0
1112,2022-12,0,1340,62.529999,Q3,0
1112,2023-01,0,997,62.529999,Q3,0
1112,2023-02,0,997,62.529999,Q3,0
1112,2023-03,0,995,62.529999,Q3,0
1112,2023-04,0,994,62.529999,Q3,0
1112,2023-04,1,1,62.529999,Q3,0
1112,2023-05,0,991,62.529999,Q3,0
1112,2023-05,1,1,62.529999,Q3,0
1112,2023-06,0,994,62.529999,Q3,0
1112,2023-07,0,986,62.529999,Q3,0
1112,2023-07,1,1,62.529999,Q3,0
1112,2023-08,0,986,62.529999,Q3,0
1112,2023-08,1,1,62.529999,Q3,0
1112,2023-09,0,984,62.529999,Q3,0
1112,2023-09,1,1,62.529999,Q3,0
1112,2023-10,0,980,62.529999,Q3,0
1112,2023-10,1,1,62.529999,Q3,0
1112,2023-11,0,979,62.529999,Q3,0
1112,2023-11,1,1,62.529999,Q3,0
1112,2023-12,0,983,62.529999,Q3,0
1112,2023-12,1,1,62.529999,Q3,0
1112,2024-01,0,964,62.529999,Q3,0
1112,2024-01,1,1,62.529999,Q3,0
1112,2024-02,0,961,62.529999,Q3,0
1112,2024-02,1,1,62.529999,Q3,0
1112,2024-03,0,965,62.529999,Q3,0
1112,2024-03,1,1,62.529999,Q3,0
1112,2024-04,0,959,62.529999,Q3,0
1112,2024-04,1,1,62.529999,Q3,0
1112,2024-05,0,962,62.529999,Q3,0
1112,2024-05,1,1,62.529999,Q3,0
1112,2024-06,0,965,62.529999,Q3,0
1112,2024-06,1,1,62.529999,Q3,0
1112,2024-07,0,964,62.529999,Q3,0
1112,2024-07,1,1,62.529999,Q3,0
1112,2024-08,0,963,62.529999,Q3,0
1112,2024-08,1,1,62.529999,Q3,0
1112,2024-09,0,966,62.529999,Q3,0
1112,2024-09,1,1,62.529999,Q3,0
1112,2024-10,0,963,62.529999,Q3,0
1112,2024-10,1,1,62.529999,Q3,0
1112,2024-11,0,961,62.529999,Q3,0
1112,2024-11,1,1,62.529999,Q3,0
1112,2024-12,0,963,62.529999,Q3,0
1112,2024-12,1,1,62.529999,Q3,0
1112,2025-01,0,940,62.529999,Q3,0
1112,2025-02,0,936,62.529999,Q3,0
1112,2025-03,0,938,62.529999,Q3,0
1112,2025-04,0,941,62.529999,Q3,0
1112,2025-05,0,939,62.529999,Q3,0
1112,2025-06,0,945,62.529999,Q3,0
1113,2019-01,0,980,70.57,Q3,0
1113,2019-01,1,13,70.57,Q3,0
1113,2019-02,0,982,70.57,Q3,0
1113,2019-02,1,12,70.57,Q3,0
1113,2019-03,0,983,70.57,Q3,0
1113,2019-03,1,13,70.57,Q3,0
1113,2019-04,0,979,70.57,Q3,0
1113,2019-04,1,12,70.57,Q3,0
1113,2019-05,0,978,70.57,Q3,0
1113,2019-05,1,13,70.57,Q3,0
1113,2019-06,0,979,70.57,Q3,0
1113,2019-06,1,15,70.57,Q3,0
1113,2019-07,0,969,70.57,Q3,0
1113,2019-07,1,16,70.57,Q3,0
1113,2019-08,0,959,70.57,Q3,0
1113,2019-08,1,15,70.57,Q3,0
1113,2019-09,0,958,70.57,Q3,0
1113,2019-09,1,16,70.57,Q3,0
1113,2019-10,0,962,70.57,Q3,0
1113,2019-10,1,13,70.57,Q3,0
1113,2019-11,0,960,70.57,Q3,0
1113,2019-11,1,13,70.57,Q3,0
1113,2019-12,0,963,70.57,Q3,0
1113,2019-12,1,15,70.57,Q3,0
1113,2020-01,0,1041,70.57,Q3,0
1113,2020-01,1,17,70.57,Q3,0
1113,2020-02,0,1044,70.57,Q3,0
1113,2020-02,1,14,70.57,Q3,0
1113,2020-03,0,1050,70.57,Q3,0
1113,2020-03,1,17,70.57,Q3,0
1113,2020-04,0,1050,70.57,Q3,0
1113,2020-04,1,17,70.57,Q3,0
1113,2020-05,0,1041,70.57,Q3,0
1113,2020-05,1,16,70.57,Q3,0
1113,2020-06,0,1044,70.57,Q3,0
1113,2020-06,1,24,70.57,Q3,0
1113,2020-07,0,1029,70.57,Q3,0
1113,2020-07,1,25,70.57,Q3,0
1113,2020-08,0,1016,70.57,Q3,0
1113,2020-08,1,22,70.57,Q3,0
1113,2020-09,0,1032,70.57,Q3,0
1113,2020-09,1,22,70.57,Q3,0
