year,daioe_quartile,n_matched_in_quartile,n_matched,n_unmatched,share_of_matched_in_quartile
2019,1.0,12023270,61459982,6234479,0.19562761993649785
2019,2.0,17793471,61459982,6234479,0.28951311765760035
2019,3.0,10948015,61459982,6234479,0.17813241468245142
2019,4.0,15468660,61459982,6234479,0.25168669915978825
2020,1.0,12165422,60293065,6686186,0.2017714972692133
2020,2.0,17924222,60293065,6686186,0.29728496967271445
2020,3.0,11163267,60293065,6686186,0.18515009976686372
2020,4.0,16022103,60293065,6686186,0.26573707938052243
2021,1.0,12327979,61085364,6702713,0.20181559366659418
2021,2.0,18242742,61085364,6702713,0.2986434197232581
2021,3.0,11316417,61085364,6702713,0.18525578402053886
2021,4.0,16448400,61085364,6702713,0.26926908383487735
2022,1.0,12673280,63150250,6650788,0.20068455786002432
2022,2.0,18495142,63150250,6650788,0.29287519843547727
2022,3.0,11471655,63150250,6650788,0.18165652550860845
2022,4.0,16886954,63150250,6650788,0.2674091393145712
2023,1.0,12276728,64300262,7448861,0.19092811783566294
2023,2.0,18336056,64300262,7448861,0.2851630060232103
2023,3.0,11416531,64300262,7448861,0.17755030298321334
2023,4.0,17100953,64300262,7448861,0.26595463950053577
2024,1.0,12055787,63822338,7499123,0.18889604138287758
2024,2.0,18223962,63822338,7499123,0.28554206209117566
2024,3.0,11242003,63822338,7499123,0.17614527064176183
2024,4.0,16815718,63822338,7499123,0.2634769976618531
2025,1.0,5968072,31889007,3474252,0.18715139044624374
2025,2.0,9168636,31889007,3474252,0.2875171371752027
2025,3.0,5575384,31889007,3474252,0.17483717821630507
2025,4.0,8316891,31889007,3474252,0.2608074625842065
