period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,spec,engine,age_group
2019H1,0.33941446879409,0.004409802336456,0.0,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2019H2,0.357996680442077,0.0044521330466682,0.0,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2020H1,0.23349806715094,0.0037458996498212,0.0,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2020H2,0.240907523623649,0.0037117738036594,0.0,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2021H1,0.141691124280816,0.0028264188201309,0.0,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2021H2,0.0881537237269809,0.0024377911636029,5.609434766020631e-279,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2022H1,0.0,0.0,,6241794,18869394,True,8.71233606338501,reference,EDU_QUARTILE,ols,22-25
2022H2,-0.0511692050350463,0.0015615123317545,1.6008581280650098e-230,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2023H1,0.0132079191982922,0.0025519370269693,2.28923244582094e-07,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2023H2,-0.0234863513087885,0.0028183002032486,8.255846383205211e-17,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2024H1,0.033651309467737,0.0029883369893842,2.41834637440819e-29,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2024H2,-0.0007042429055694,0.0031770542155577,0.824576242724006,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2025H1,0.0837759979855297,0.003295072897147,9.15455046721802e-141,6241794,18869394,True,8.71233606338501,ok,EDU_QUARTILE,ols,22-25
2019H1,0.131207423351544,0.0024804128109188,0.0,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2019H2,0.131919830707527,0.0024343310533004,0.0,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2020H1,0.110601590905673,0.0022054239387448,0.0,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2020H2,0.112807609175696,0.0021140635341756,0.0,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2021H1,0.0798357641709247,0.0017202488987223,0.0,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2021H2,0.0591344781209338,0.0014367054477358,0.0,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2022H1,0.0,0.0,,13950690,35090116,True,19.6471569538116,reference,EDU_QUARTILE,ols,26-30
2022H2,-0.019392873589874,0.0009820490391312,1.64726423345559e-86,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2023H1,0.0151749287515201,0.0018144573824025,6.23247912326807e-17,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2023H2,0.0051747956321158,0.0019247744949418,0.0071790289520596,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2024H1,0.0490048183977536,0.0022093220000166,1.51436020794237e-108,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2024H2,0.0391183554154673,0.002260575161708,6.442706512132831e-67,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2025H1,0.0806639646871097,0.0023955376212596,3.83665949392505e-246,13950690,35090116,True,19.6471569538116,ok,EDU_QUARTILE,ols,26-30
2019H1,0.0312895764583434,0.0024250100803875,4.89901584009134e-38,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2019H2,0.0292539027815038,0.0024020654069169,4.45046305407846e-34,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2020H1,0.0315238549301222,0.0021695978527112,9.536297832717169e-48,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2020H2,0.030780728329651,0.0021141037402307,6.17134186247772e-48,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2021H1,0.0271307317094148,0.0017170482160113,4.0356937428554095e-56,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2021H2,0.0165978011154352,0.0015091247075046,4.15438539829392e-28,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2022H1,0.0,0.0,,13710762,30953508,True,19.7963538169861,reference,EDU_QUARTILE,ols,31-34
2022H2,-0.0086159718389171,0.0009438653004792,7.17086876729212e-20,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2023H1,0.0062237889213245,0.0017770809301059,0.0004616899135845,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2023H2,0.0011449451793066,0.0018767150407311,0.541811629238111,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2024H1,0.0187825900421023,0.0022061582846978,1.72459697485763e-17,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2024H2,0.0141806086027159,0.0022429985780683,2.59811983366861e-10,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2025H1,0.0441109462015057,0.0024379122783726,5.70007216431192e-73,13710762,30953508,True,19.7963538169861,ok,EDU_QUARTILE,ols,31-34
2019H1,0.0145557906403104,0.0020999206295469,4.19745285565504e-12,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2019H2,0.0129069141296165,0.0020573854689971,3.5519536378026005e-10,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2020H1,0.0148403198750068,0.0018456436795178,9.06995385059922e-16,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
