year_month,age_group,final_quartile,n_emp_sum,n_emp_total_age,share,halfyear
2019-01,22-25,1,103593,342236,0.3026946317745649,2019H1
2019-01,22-25,2,159172,342236,0.46509426243878493,2019H1
2019-01,22-25,3,35420,342236,0.10349583328463399,2019H1
2019-01,22-25,4,44051,342236,0.12871527250201614,2019H1
2019-02,22-25,1,102106,340201,0.30013433235058096,2019H1
2019-02,22-25,2,157608,340201,0.46327906149599796,2019H1
2019-02,22-25,3,35711,340201,0.10497029697149626,2019H1
2019-02,22-25,4,44776,340201,0.1316163091819248,2019H1
2019-03,22-25,1,102605,340272,0.3015381812197301,2019H1
2019-03,22-25,2,156923,340272,0.46116929985423427,2019H1
2019-03,22-25,3,35900,340272,0.10550383222833498,2019H1
2019-03,22-25,4,44844,340272,0.13178868669770066,2019H1
2019-04,22-25,1,106049,350886,0.3022320639751942,2019H1
2019-04,22-25,2,161923,350886,0.46146896712892504,2019H1
2019-04,22-25,3,36629,350886,0.10439002981025176,2019H1
2019-04,22-25,4,46285,350886,0.13190893908562895,2019H1
2019-05,22-25,1,109645,360895,0.3038141287632137,2019H1
2019-05,22-25,2,166468,360895,0.4612643566688372,2019H1
2019-05,22-25,3,37607,360895,0.1042048241178182,2019H1
2019-05,22-25,4,47175,360895,0.13071669045013093,2019H1
2019-06,22-25,1,117526,385738,0.3046783049634726,2019H1
2019-06,22-25,2,177668,385738,0.46059242283622565,2019H1
2019-06,22-25,3,39868,385738,0.10335512705515143,2019H1
2019-06,22-25,4,50676,385738,0.13137414514515033,2019H1
2019-07,22-25,1,123611,405892,0.3045416021995999,2019H2
2019-07,22-25,2,187343,405892,0.46155873976328676,2019H2
2019-07,22-25,3,41954,405892,0.10336247080504174,2019H2
2019-07,22-25,4,52984,405892,0.13053718723207158,2019H2
2019-08,22-25,1,122137,397548,0.307225794117943,2019H2
2019-08,22-25,2,181363,397548,0.4562040307082415,2019H2
2019-08,22-25,3,41230,397548,0.10371074687836437,2019H2
2019-08,22-25,4,52818,397548,0.1328594282954511,2019H2
2019-09,22-25,1,120522,397986,0.30282974778007266,2019H2
2019-09,22-25,2,181485,397986,0.45600850281165667,2019H2
2019-09,22-25,3,41757,397986,0.10492077610770228,2019H2
2019-09,22-25,4,54222,397986,0.13624097330056836,2019H2
2019-10,22-25,1,109171,361503,0.30199196133918665,2019H2
2019-10,22-25,2,163743,361503,0.4529505979203492,2019H2
2019-10,22-25,3,38340,361503,0.106057211143476,2019H2
2019-10,22-25,4,50249,361503,0.13900022959698813,2019H2
2019-11,22-25,1,109546,362212,0.302436142369662,2019H2
2019-11,22-25,2,164106,362212,0.45306616014930484,2019H2
2019-11,22-25,3,38445,362212,0.1061394984152927,2019H2
2019-11,22-25,4,50115,362212,0.1383581990657405,2019H2
2019-12,22-25,1,109145,364523,0.29941869237332075,2019H2
2019-12,22-25,2,165893,364523,0.45509611190514726,2019H2
2019-12,22-25,3,38696,364523,0.1061551671636632,2019H2
2019-12,22-25,4,50789,364523,0.13933002855786877,2019H2
2020-01,22-25,1,96195,323074,0.29774912249206065,2020H1
2020-01,22-25,2,152143,323074,0.47092307025634994,2020H1
2020-01,22-25,3,33342,323074,0.10320236230708754,2020H1
2020-01,22-25,4,41394,323074,0.12812544494450187,2020H1
2020-02,22-25,1,94479,320219,0.29504495360987326,2020H1
2020-02,22-25,2,150364,320219,0.46956614067247726,2020H1
2020-02,22-25,3,33507,320219,0.10463776353058375,2020H1
2020-02,22-25,4,41869,320219,0.13075114218706574,2020H1
2020-03,22-25,1,94933,320731,0.2959894740452279,2020H1
2020-03,22-25,2,150308,320731,0.4686419460544818,2020H1
2020-03,22-25,3,33617,320731,0.10481369122410993,2020H1
2020-03,22-25,4,41873,320731,0.13055488867618034,2020H1
2020-04,22-25,1,96049,324153,0.29630760782716803,2020H1
2020-04,22-25,2,152314,324153,0.4698830490539961,2020H1
2020-04,22-25,3,33439,324153,0.10315807658729056,2020H1
2020-04,22-25,4,42351,324153,0.1306512665315453,2020H1
2020-05,22-25,1,92648,315066,0.29405902255400457,2020H1
2020-05,22-25,2,148961,315066,0.47279300210114705,2020H1
2020-05,22-25,3,32316,315066,0.10256898554588563,2020H1
2020-05,22-25,4,41141,315066,0.13057898979896276,2020H1
2020-06,22-25,1,98050,333118,0.29434014373285144,2020H1
2020-06,22-25,2,156785,333118,0.47065904574355033,2020H1
2020-06,22-25,3,34232,333118,0.10276238450038724,2020H1
2020-06,22-25,4,44051,333118,0.13223842602321098,2020H1
2020-07,22-25,1,104842,355440,0.29496398829619624,2020H2
2020-07,22-25,2,167949,355440,0.4725101282916948,2020H2
2020-07,22-25,3,36432,355440,0.1024983119513842,2020H2
2020-07,22-25,4,46217,355440,0.13002757146072474,2020H2
2020-08,22-25,1,105982,355530,0.2980958006356707,2020H2
2020-08,22-25,2,166725,355530,0.46894776812083366,2020H2
2020-08,22-25,3,36236,355530,0.10192107557730712,2020H2
2020-08,22-25,4,46587,355530,0.1310353556661885,2020H2
2020-09,22-25,1,105798,358497,0.2951154402965715,2020H2
2020-09,22-25,2,168317,358497,0.4695074156826975,2020H2
2020-09,22-25,3,36819,358497,0.10270378831622022,2020H2
2020-09,22-25,4,47563,358497,0.13267335570451078,2020H2
2020-10,22-25,1,96210,326926,0.2942867804946685,2020H2
2020-10,22-25,2,151819,326926,0.46438337727803847,2020H2
2020-10,22-25,3,34210,326926,0.10464141732379804,2020H2
2020-10,22-25,4,44687,326926,0.13668842490349498,2020H2
2020-11,22-25,1,96614,328244,0.2943359208393756,2020H2
2020-11,22-25,2,152220,328244,0.4637403882477669,2020H2
2020-11,22-25,3,34392,328244,0.10477571562618053,2020H2
2020-11,22-25,4,45018,328244,0.137147975286677,2020H2
2020-12,22-25,1,97680,337830,0.28913950803658645,2020H2
2020-12,22-25,2,159011,337830,0.4706834798567327,2020H2
2020-12,22-25,3,35144,337830,0.10402865346476038,2020H2
2020-12,22-25,4,45995,337830,0.13614835864192049,2020H2
2021-01,22-25,1,86939,299508,0.2902727139174914,2021H1
2021-01,22-25,2,144425,299508,0.4822074869452569,2021H1
2021-01,22-25,3,29627,299508,0.09891889365225637,2021H1
2021-01,22-25,4,38517,299508,0.1286009054849954,2021H1
2021-02,22-25,1,86211,298854,0.2884719628982714,2021H1
2021-02,22-25,2,143918,298854,0.481566249740676,2021H1
2021-02,22-25,3,29888,298854,0.10000869990028576,2021H1
2021-02,22-25,4,38837,298854,0.1299530874607668,2021H1
2021-03,22-25,1,87363,300338,0.29088227263949284,2021H1
2021-03,22-25,2,143553,300338,0.4779714854597154,2021H1
2021-03,22-25,3,30191,300338,0.10052341029107206,2021H1
2021-03,22-25,4,39231,300338,0.13062283160971971,2021H1
2021-04,22-25,1,91087,311799,0.2921337143480255,2021H1
2021-04,22-25,2,148702,311799,0.47691621846125226,2021H1
2021-04,22-25,3,31153,311799,0.09991372647122024,2021H1
2021-04,22-25,4,40857,311799,0.131036340719502,2021H1
2021-05,22-25,1,94907,323249,0.2936033831504506,2021H1
2021-05,22-25,2,154282,323249,0.47728531256090506,2021H1
2021-05,22-25,3,31779,323249,0.09831120900606034,2021H1
2021-05,22-25,4,42281,323249,0.13080009528258402,2021H1
2021-06,22-25,1,103820,352163,0.2948066662312622,2021H1
2021-06,22-25,2,167016,352163,0.4742576590953621,2021H1
2021-06,22-25,3,34493,352163,0.09794612154030946,2021H1
2021-06,22-25,4,46834,352163,0.13298955313306624,2021H1
2021-07,22-25,1,112801,378997,0.2976303242505877,2021H2
2021-07,22-25,2,180238,378997,0.47556576964989167,2021H2
2021-07,22-25,3,37051,378997,0.09776066829025032,2021H2
2021-07,22-25,4,48907,378997,0.12904323780927027,2021H2
2021-08,22-25,1,113991,378365,0.3012725807091036,2021H2
2021-08,22-25,2,178219,378365,0.4710240112061105,2021H2
2021-08,22-25,3,36823,378365,0.09732136957699576,2021H2
2021-08,22-25,4,49332,378365,0.1303820385077901,2021H2
2021-09,22-25,1,113148,381722,0.29641466826643476,2021H2
2021-09,22-25,2,180110,381722,0.47183552428206915,2021H2
2021-09,22-25,3,37625,381722,0.0985664960363825,2021H2
2021-09,22-25,4,50839,381722,0.1331833114151136,2021H2
2021-10,22-25,1,102336,344999,0.2966269467447732,2021H2
2021-10,22-25,2,161298,344999,0.4675317899472172,2021H2
2021-10,22-25,3,34379,344999,0.09964956420163537,2021H2
2021-10,22-25,4,46986,344999,0.13619169910637421,2021H2
2021-11,22-25,1,103214,346935,0.29750241399685823,2021H2
2021-11,22-25,2,162131,346935,0.467323850288959,2021H2
2021-11,22-25,3,34316,346935,0.09891189992361682,2021H2
2021-11,22-25,4,47274,346935,0.13626183579056594,2021H2
2021-12,22-25,1,105010,353795,0.2968102997498551,2021H2
2021-12,22-25,2,165692,353795,0.46832770389632417,2021H2
2021-12,22-25,3,34970,353795,0.09884255006430277,2021H2
2021-12,22-25,4,48123,353795,0.13601944628951795,2021H2
2022-01,22-25,1,98485,331548,0.2970459782595582,2022H1
2022-01,22-25,2,157249,331548,0.47428728268606657,2022H1
2022-01,22-25,3,32800,331548,0.09892986837501659,2022H1
2022-01,22-25,4,43014,331548,0.12973687067935866,2022H1
2022-02,22-25,1,96483,328199,0.2939771297292192,2022H1
2022-02,22-25,2,155649,328199,0.47425190204723355,2022H1
2022-02,22-25,3,32654,328199,0.09949451399912858,2022H1
2022-02,22-25,4,43413,328199,0.13227645422441872,2022H1
2022-03,22-25,1,98017,330132,0.2969024511407558,2022H1
2022-03,22-25,2,155416,330132,0.4707692680503556,2022H1
2022-03,22-25,3,33015,330132,0.10000545236450874,2022H1
2022-03,22-25,4,43684,330132,0.13232282844437981,2022H1
2022-04,22-25,1,102345,341989,0.29926401141557185,2022H1
2022-04,22-25,2,160788,341989,0.4701554728368456,2022H1
2022-04,22-25,3,33669,341989,0.09845053495872674,2022H1
2022-04,22-25,4,45187,341989,0.1321299807888558,2022H1
2022-05,22-25,1,106850,355705,0.3003893675939332,2022H1
2022-05,22-25,2,167498,355705,0.47089020396114756,2022H1
2022-05,22-25,3,34707,355705,0.09757242658944912,2022H1
2022-05,22-25,4,46650,355705,0.13114800185547013,2022H1
2022-06,22-25,1,114910,383752,0.29943817882382373,2022H1
2022-06,22-25,2,180222,383752,0.46963142863099083,2022H1
2022-06,22-25,3,37548,383752,0.09784444120160937,2022H1
2022-06,22-25,4,51072,383752,0.13308595134357606,2022H1
2022-07,22-25,1,121475,404655,0.3001939924132903,2022H2
2022-07,22-25,2,190590,404655,0.47099380954146125,2022H2
2022-07,22-25,3,39547,404655,0.0977301652024564,2022H2
2022-07,22-25,4,53043,404655,0.13108203284279202,2022H2
2022-08,22-25,1,119783,397474,0.30136059213936006,2022H2
2022-08,22-25,2,185352,397474,0.46632484137327224,2022H2
2022-08,22-25,3,39277,397474,0.09881652636398859,2022H2
2022-08,22-25,4,53062,397474,0.13349804012337915,2022H2
2022-09,22-25,1,118799,400282,0.29678826427368704,2022H2
2022-09,22-25,2,186812,400282,0.4667009758120525,2022H2
2022-09,22-25,3,39920,400282,0.09972969056814945,2022H2
2022-09,22-25,4,54751,400282,0.13678106934611098,2022H2
2022-10,22-25,1,107429,363137,0.29583600679633304,2022H2
2022-10,22-25,2,168346,363137,0.46358812238907077,2022H2
2022-10,22-25,3,36538,363137,0.10061767321974902,2022H2
2022-10,22-25,4,50824,363137,0.13995819759484712,2022H2
2022-11,22-25,1,105854,357670,0.2959543713478905,2022H2
2022-11,22-25,2,165504,357670,0.4627282131573797,2022H2
2022-11,22-25,3,36337,357670,0.1015936477758828,2022H2
2022-11,22-25,4,49975,357670,0.13972376771884698,2022H2
2022-12,22-25,1,106145,361028,0.2940076669953577,2022H2
2022-12,22-25,2,167794,361028,0.46476727566836923,2022H2
2022-12,22-25,3,36394,361028,0.10080658563878701,2022H2
2022-12,22-25,4,50695,361028,0.14041847169748606,2022H2
2023-01,22-25,1,98942,340089,0.2909297272184634,2023H1
2023-01,22-25,2,161150,340089,0.47384655193199426,2023H1
2023-01,22-25,3,34620,340089,0.10179688258073621,2023H1
2023-01,22-25,4,45377,340089,0.1334268382688061,2023H1
2023-02,22-25,1,96551,333656,0.2893728870453401,2023H1
2023-02,22-25,2,157807,333656,0.472963171649843,2023H1
2023-02,22-25,3,33985,333656,0.10185640300189416,2023H1
2023-02,22-25,4,45313,333656,0.13580753830292278,2023H1
2023-03,22-25,1,97004,334150,0.2903007631303307,2023H1
