age_group,year_month,halfyear,share_q1,share_q2,share_q3,share_q4,n_emp_total_age
22-25,2019-01,2019H1,0.3026946317745649,0.46509426243878493,0.10349583328463399,0.12871527250201614,342236
22-25,2019-02,2019H1,0.30013433235058096,0.46327906149599796,0.10497029697149626,0.1316163091819248,340201
22-25,2019-03,2019H1,0.3015381812197301,0.46116929985423427,0.10550383222833498,0.13178868669770066,340272
22-25,2019-04,2019H1,0.3022320639751942,0.46146896712892504,0.10439002981025176,0.13190893908562895,350886
22-25,2019-05,2019H1,0.3038141287632137,0.4612643566688372,0.1042048241178182,0.13071669045013093,360895
22-25,2019-06,2019H1,0.3046783049634726,0.46059242283622565,0.10335512705515143,0.13137414514515033,385738
22-25,2019-07,2019H2,0.3045416021995999,0.46155873976328676,0.10336247080504174,0.13053718723207158,405892
22-25,2019-08,2019H2,0.307225794117943,0.4562040307082415,0.10371074687836437,0.1328594282954511,397548
22-25,2019-09,2019H2,0.30282974778007266,0.45600850281165667,0.10492077610770228,0.13624097330056836,397986
22-25,2019-10,2019H2,0.30199196133918665,0.4529505979203492,0.106057211143476,0.13900022959698813,361503
22-25,2019-11,2019H2,0.302436142369662,0.45306616014930484,0.1061394984152927,0.1383581990657405,362212
22-25,2019-12,2019H2,0.29941869237332075,0.45509611190514726,0.1061551671636632,0.13933002855786877,364523
22-25,2020-01,2020H1,0.29774912249206065,0.47092307025634994,0.10320236230708754,0.12812544494450187,323074
22-25,2020-02,2020H1,0.29504495360987326,0.46956614067247726,0.10463776353058375,0.13075114218706574,320219
22-25,2020-03,2020H1,0.2959894740452279,0.4686419460544818,0.10481369122410993,0.13055488867618034,320731
22-25,2020-04,2020H1,0.29630760782716803,0.4698830490539961,0.10315807658729056,0.1306512665315453,324153
22-25,2020-05,2020H1,0.29405902255400457,0.47279300210114705,0.10256898554588563,0.13057898979896276,315066
22-25,2020-06,2020H1,0.29434014373285144,0.47065904574355033,0.10276238450038724,0.13223842602321098,333118
22-25,2020-07,2020H2,0.29496398829619624,0.4725101282916948,0.1024983119513842,0.13002757146072474,355440
22-25,2020-08,2020H2,0.2980958006356707,0.46894776812083366,0.10192107557730712,0.1310353556661885,355530
22-25,2020-09,2020H2,0.2951154402965715,0.4695074156826975,0.10270378831622022,0.13267335570451078,358497
22-25,2020-10,2020H2,0.2942867804946685,0.46438337727803847,0.10464141732379804,0.13668842490349498,326926
22-25,2020-11,2020H2,0.2943359208393756,0.4637403882477669,0.10477571562618053,0.137147975286677,328244
22-25,2020-12,2020H2,0.28913950803658645,0.4706834798567327,0.10402865346476038,0.13614835864192049,337830
22-25,2021-01,2021H1,0.2902727139174914,0.4822074869452569,0.09891889365225637,0.1286009054849954,299508
22-25,2021-02,2021H1,0.2884719628982714,0.481566249740676,0.10000869990028576,0.1299530874607668,298854
22-25,2021-03,2021H1,0.29088227263949284,0.4779714854597154,0.10052341029107206,0.13062283160971971,300338
22-25,2021-04,2021H1,0.2921337143480255,0.47691621846125226,0.09991372647122024,0.131036340719502,311799
22-25,2021-05,2021H1,0.2936033831504506,0.47728531256090506,0.09831120900606034,0.13080009528258402,323249
22-25,2021-06,2021H1,0.2948066662312622,0.4742576590953621,0.09794612154030946,0.13298955313306624,352163
22-25,2021-07,2021H2,0.2976303242505877,0.47556576964989167,0.09776066829025032,0.12904323780927027,378997
22-25,2021-08,2021H2,0.3012725807091036,0.4710240112061105,0.09732136957699576,0.1303820385077901,378365
22-25,2021-09,2021H2,0.29641466826643476,0.47183552428206915,0.0985664960363825,0.1331833114151136,381722
22-25,2021-10,2021H2,0.2966269467447732,0.4675317899472172,0.09964956420163537,0.13619169910637421,344999
22-25,2021-11,2021H2,0.29750241399685823,0.467323850288959,0.09891189992361682,0.13626183579056594,346935
22-25,2021-12,2021H2,0.2968102997498551,0.46832770389632417,0.09884255006430277,0.13601944628951795,353795
22-25,2022-01,2022H1,0.2970459782595582,0.47428728268606657,0.09892986837501659,0.12973687067935866,331548
22-25,2022-02,2022H1,0.2939771297292192,0.47425190204723355,0.09949451399912858,0.13227645422441872,328199
22-25,2022-03,2022H1,0.2969024511407558,0.4707692680503556,0.10000545236450874,0.13232282844437981,330132
22-25,2022-04,2022H1,0.29926401141557185,0.4701554728368456,0.09845053495872674,0.1321299807888558,341989
22-25,2022-05,2022H1,0.3003893675939332,0.47089020396114756,0.09757242658944912,0.13114800185547013,355705
22-25,2022-06,2022H1,0.29943817882382373,0.46963142863099083,0.09784444120160937,0.13308595134357606,383752
22-25,2022-07,2022H2,0.3001939924132903,0.47099380954146125,0.0977301652024564,0.13108203284279202,404655
22-25,2022-08,2022H2,0.30136059213936006,0.46632484137327224,0.09881652636398859,0.13349804012337915,397474
22-25,2022-09,2022H2,0.29678826427368704,0.4667009758120525,0.09972969056814945,0.13678106934611098,400282
22-25,2022-10,2022H2,0.29583600679633304,0.46358812238907077,0.10061767321974902,0.13995819759484712,363137
22-25,2022-11,2022H2,0.2959543713478905,0.4627282131573797,0.1015936477758828,0.13972376771884698,357670
22-25,2022-12,2022H2,0.2940076669953577,0.46476727566836923,0.10080658563878701,0.14041847169748606,361028
22-25,2023-01,2023H1,0.2909297272184634,0.47384655193199426,0.10179688258073621,0.1334268382688061,340089
22-25,2023-02,2023H1,0.2893728870453401,0.472963171649843,0.10185640300189416,0.13580753830292278,333656
22-25,2023-03,2023H1,0.2903007631303307,0.47261110279814456,0.10159808469250337,0.1354900493790214,334150
22-25,2023-04,2023H1,0.2904934890090759,0.4734830899932685,0.10061570065690212,0.13540772034075346,344648
22-25,2023-05,2023H1,0.2920992588183609,0.47332454685883535,0.10071567251959242,0.1338605218032113,352815
22-25,2023-06,2023H1,0.2907487828729456,0.4736963859475715,0.10024342541087897,0.1353114057686039,380404
22-25,2023-07,2023H2,0.2912161705895152,0.4751186108339148,0.1010411742785185,0.13262404429805147,399837
22-25,2023-08,2023H2,0.2933433823435484,0.46977249211195277,0.1019174022456983,0.1349667232988005,391415
22-25,2023-09,2023H2,0.2880392591065397,0.47042458581184443,0.10229410222537842,0.13924205285623745,392877
22-25,2023-10,2023H2,0.2873102190397379,0.4676703876963955,0.10360900477935589,0.1414103884845107,355278
22-25,2023-11,2023H2,0.28583958427085454,0.46796185518844535,0.10433356932593062,0.1418649912147695,348881
22-25,2023-12,2023H2,0.28476453346777986,0.4692866644448812,0.10366623085490316,0.1422825712324358,351069
22-25,2024-01,2024H1,0.3749397005506591,0.5028534154518287,0.03801823394669377,0.08418865005081841,329605
22-25,2024-02,2024H1,0.37230942467007777,0.5023417827246348,0.038244993163355584,0.08710379944193183,323258
22-25,2024-03,2024H1,0.37193219247628717,0.5033557046979866,0.03733376259937096,0.08737834022635528,323032
22-25,2024-04,2024H1,0.37132614327890584,0.5042537808037597,0.03644333313249382,0.08797674278484063,331940
22-25,2024-05,2024H1,0.37646205697912016,0.5013798529722621,0.036266646311388775,0.08589144373722903,340616
22-25,2024-06,2024H1,0.3768070472476084,0.49997430578282165,0.035939448196401186,0.08727919877316874,369733
22-25,2024-07,2024H2,0.38102860020347973,0.49499522130987494,0.03834770365955173,0.08562847482709363,389228
22-25,2024-08,2024H2,0.38914496458082704,0.48305118208692766,0.04074718528794695,0.08705666804429832,379879
22-25,2024-09,2024H2,0.3768671706657901,0.49516870405442776,0.038261672588395496,0.08970245269138663,383334
22-25,2024-10,2024H2,0.370832417542163,0.49397629199818305,0.04051460137441939,0.09467668908523452,341235
22-25,2024-11,2024H2,0.36980702264354653,0.49299100071780694,0.04115525393162444,0.09604672270702205,337138
22-25,2024-12,2024H2,0.3679600345786753,0.4941163325433557,0.04117685110587073,0.0967467817720983,340094
22-25,2025-01,2025H1,0.3748051355496128,0.5050823183483099,0.03878594694617305,0.08132659915590423,315604
22-25,2025-02,2025H1,0.3701406160474503,0.5063970218718291,0.038628601425686034,0.08483376065503455,312411
22-25,2025-03,2025H1,0.37053254247641093,0.507247914355982,0.037871116040571605,0.08434842712703541,311055
22-25,2025-04,2025H1,0.37108629530121945,0.5077067721840162,0.03620984337398159,0.08499708914078286,321211
