age_group,period,coef,se,pval
22-25,2019H1,-6.506597085108945e-05,0.0024975684873059906,0.9792160813910329
22-25,2019H2,-0.008450292599060731,0.002522337923169505,0.0008075867692638461
22-25,2020H1,0.0071071405653194974,0.002332827765576311,0.0023146355543124386
22-25,2020H2,0.0040050137190826025,0.0023306941873850627,0.08572772085462432
22-25,2021H1,0.013337141321869396,0.0020251812629652898,4.5291770334188186e-11
22-25,2021H2,-0.00776523575183464,0.0018928841169109521,4.090139445200869e-05
22-25,2022H2,-0.01309499427064871,0.0012432295827601953,0.0
22-25,2023H1,0.010628955866148941,0.002069093016540582,2.791474689178841e-07
22-25,2023H2,0.005252308279873751,0.0021632647824081815,0.015184273384360791
22-25,2024H1,-0.02919428526986191,0.0022843412681834226,0.0
22-25,2024H2,-0.03526718351203419,0.002349806874745389,0.0
22-25,2025H1,-0.0547834832617743,0.0024578018354218262,0.0
22-25,2022H1,0.0,0.0,1.0
26-30,2019H1,-0.007609024141313301,0.00228549815401562,0.0008707646663799196
26-30,2019H2,-0.0162085972196715,0.0022693761784716945,9.177103521551544e-13
26-30,2020H1,-0.0029007794927038573,0.0021152001395692266,0.17025120636511826
26-30,2020H2,-0.005392549607892233,0.0020709432939139787,0.009216712558518969
26-30,2021H1,0.0059711914984478505,0.0017589956342504982,0.0006871420972565101
26-30,2021H2,-0.011806394020597005,0.0016025822013563025,1.7430501486614958e-13
26-30,2022H2,-0.016376213518038318,0.0009541102024792376,0.0
26-30,2023H1,0.01799711672998795,0.001797240042646171,0.0
26-30,2023H2,0.009915583968750124,0.001873573003579241,1.2076392397197822e-07
26-30,2024H1,-0.0158889067341026,0.002028178408178092,4.6629367034256575e-15
26-30,2024H2,-0.01951560665472827,0.002073924075466816,0.0
26-30,2025H1,-0.048989726715978,0.002212555054728248,0.0
26-30,2022H1,0.0,0.0,1.0
31-34,2019H1,-0.00929574287378369,0.0023661105660622763,8.540626254460726e-05
31-34,2019H2,-0.012817318068847243,0.0023522560487520897,5.067021691118612e-08
31-34,2020H1,-0.004713370420898692,0.0021718521608438063,0.02999113486432181
31-34,2020H2,-0.004920664111997575,0.0021330937072108896,0.021064855003533278
31-34,2021H1,0.002556157752852722,0.0017923910698479806,0.15383486650729528
31-34,2021H2,-0.00714728787275575,0.0016676307197843107,1.8200785359301364e-05
31-34,2022H2,-0.00907929649424286,0.0009039290678074032,0.0
31-34,2023H1,0.015303871886540196,0.0018668339463366057,2.220446049250313e-16
31-34,2023H2,0.010634565529158799,0.0019320501221498365,3.706670215208874e-08
31-34,2024H1,0.0006493638708870497,0.002146338425690489,0.7622366725278333
31-34,2024H2,-0.002542151035149543,0.0021844294510656565,0.24452142383737252
31-34,2025H1,-0.012889033088753362,0.002337101118706302,3.488565214482264e-08
31-34,2022H1,0.0,0.0,1.0
35-40,2019H1,-0.006344596645091777,0.0021378894749292045,0.0030004584422396174
35-40,2019H2,-0.008396956226814346,0.0021200902956550406,7.474344310587355e-05
35-40,2020H1,-0.0021502395485472874,0.0019464472925015928,0.2692897998495505
35-40,2020H2,-0.002885704488507133,0.0019012687959725652,0.1290703298482423
35-40,2021H1,0.0035586988980694607,0.0015790289595699687,0.024213418863130443
35-40,2021H2,-0.004889610586887037,0.0014494819987381986,0.000742596554469177
35-40,2022H2,-0.007366274523412503,0.0007949668462611802,0.0
35-40,2023H1,0.00448306662947101,0.0016659719836857642,0.007124650152035894
35-40,2023H2,0.0019712264459712902,0.0017289201767540369,0.25422429473183383
35-40,2024H1,-0.002711255949231852,0.0019081389570474343,0.15534870954261115
35-40,2024H2,-0.005411229793761974,0.0019505376962107182,0.005533354175845107
35-40,2025H1,-0.009124127658639746,0.002077961308194306,1.1288164573075576e-05
