age_group,period,coef,se,pval
22-25,2019H1,-0.01340220729317876,0.0023104131370486453,6.600807900269956e-09
22-25,2019H2,-0.02178743392066722,0.00231551822368842,0.0
22-25,2020H1,-0.006230000756873074,0.0019440008482557174,0.0013518905244833679
22-25,2020H2,-0.009332127602975835,0.0018315183856230104,3.4820532546220306e-07
22-25,2021H2,-0.021102377074102518,0.0012196401108730181,0.0
22-25,2022H1,-0.01333714132240944,0.0020251812629653674,4.5291770334188186e-11
22-25,2022H2,-0.026432135592782707,0.0021642794582787603,0.0
22-25,2023H1,-0.0027081854560165146,0.002358993799463396,0.2509579976837708
22-25,2023H2,-0.008084833042364358,0.0024100170445923224,0.0007945755704574786
22-25,2024H1,-0.042531426592046846,0.0024353123184201898,0.0
22-25,2024H2,-0.048604324834192615,0.0024663873651615564,0.0
22-25,2025H1,-0.06812062458348932,0.0025119040913725407,0.0
22-25,2021H1,0.0,0.0,1.0
26-30,2019H1,-0.013580215639849265,0.0020724031060635017,5.643907563523953e-11
26-30,2019H2,-0.022179788718120725,0.0020347108012845772,0.0
26-30,2020H1,-0.00887197099126647,0.0017004872375633272,1.8154249015189805e-07
26-30,2020H2,-0.01136374110629313,0.0015654935967263468,3.9035441545820504e-13
26-30,2021H2,-0.017777585519064325,0.0009569713420041148,0.0
26-30,2022H1,-0.005971191498629271,0.0017589956342508946,0.0006871420969996045
26-30,2022H2,-0.02234740501673535,0.0018632865791713376,0.0
26-30,2023H1,0.012025925231388235,0.002122683688248684,1.4665618719433837e-08
26-30,2023H2,0.003944392470526294,0.00215722482780869,0.06748104629568408
26-30,2024H1,-0.021860098232658217,0.002229781956215389,0.0
26-30,2024H2,-0.025486798153082094,0.00224608927338294,0.0
26-30,2025H1,-0.054960918214432004,0.002334482258222564,0.0
26-30,2021H1,0.0,0.0,1.0
31-34,2019H1,-0.01185190062660473,0.002123005911754538,2.3695069240048383e-08
31-34,2019H2,-0.01537347582177522,0.0020897067267286957,1.8851586958135158e-13
31-34,2020H1,-0.007269528173730676,0.0017361698817096856,2.8253582545323397e-05
31-34,2020H2,-0.007476821864813675,0.0016191490129774937,3.879322874933422e-06
31-34,2021H2,-0.009703445625629642,0.0008795768907397182,0.0
31-34,2022H1,-0.002556157752863364,0.0017923910698480435,0.1538348665055962
31-34,2022H2,-0.011635454247017223,0.0018891213328894084,7.312159766570403e-10
31-34,2023H1,0.012747714133730449,0.0022145584020122956,8.596830136653466e-09
31-34,2023H2,0.008078407776392267,0.0022380698317163734,0.00030673930101166036
31-34,2024H1,-0.0019067938819705365,0.002358022225747019,0.4187215891910683
31-34,2024H2,-0.005098308787912063,0.002369710932013633,0.03144091627715229
31-34,2025H1,-0.015445190841669383,0.0024585384352990964,3.336890763705469e-10
31-34,2021H1,0.0,0.0,1.0
35-40,2019H1,-0.00990329554339873,0.0019063120765260614,2.0472092754353355e-07
35-40,2019H2,-0.011955655124935826,0.0018687931404639722,1.5791945529031182e-10
35-40,2020H1,-0.005708938446758255,0.0015472094330936127,0.0002244057843223679
35-40,2020H2,-0.006444403386674721,0.001433088713844547,6.896413442758487e-06
35-40,2021H2,-0.008448309485056947,0.0007664931200530555,0.0
