"age_group","Mbar","ci_lower","ci_upper","excludes_zero","method","breakdown_mbar","n_pre_periods","n_post_periods"
"22-25",0,Inf,-Inf,TRUE,"C-LF",0,6,6
"22-25",0.5,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",1,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",1.5,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",2,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",2.5,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",3,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",3.5,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"22-25",4,-0.017412344747871,0.017412344747871,FALSE,"C-LF",0,6,6
"26-30",0,-0.0136111334458971,-0.0106780945888687,TRUE,"C-LF",0,6,6
"26-30",0.5,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",1,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",1.5,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",2,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",2.5,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",3,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",3.5,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"26-30",4,-0.0152609678029755,0.0152609678029755,FALSE,"C-LF",0,6,6
"31-34",0,-0.00119690581480609,0.00189909055949232,FALSE,"C-LF",NA,6,6
"31-34",0.5,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",1,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",1.5,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",2,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",2.5,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",3,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",3.5,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"31-34",4,-0.0159427854532171,0.0159427854532171,FALSE,"C-LF",NA,6,6
"35-40",0,-0.00439370637258742,-0.00166363639350398,TRUE,"C-LF",0,6,6
"35-40",0.5,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",1,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",1.5,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",2,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",2.5,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",3,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",3.5,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"35-40",4,-0.0142048953599186,0.0142048953599186,FALSE,"C-LF",0,6,6
"41-49",0,-0.00318088845315307,-0.000816549909430097,TRUE,"C-LF",0,6,6
"41-49",0.5,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",1,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",1.5,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",2,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",2.5,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",3,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",3.5,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"41-49",4,-0.0121751247689652,0.0121751247689652,FALSE,"C-LF",0,6,6
"50+",0,0.00632297116822768,0.00819002810374697,TRUE,"C-LF",0,6,6
"50+",0.5,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",1,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",1.5,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",2,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",2.5,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",3,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",3.5,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
"50+",4,-0.00961438081744209,0.00961438081744209,FALSE,"C-LF",0,6,6
