age_group,period,coef,se,pval
22-25,2019H1,-0.002278895959796254,0.002768553648454342,0.4104307392715314
22-25,2019H2,-0.011696329796515035,0.002795808622248969,2.8703048517986218e-05
22-25,2020H1,0.00588974628464077,0.00258778601852649,0.02284731341885493
22-25,2020H2,0.002330614281616835,0.002585116425102494,0.36729547381046856
22-25,2021H1,0.013561119990567428,0.002246292733347007,1.5690730936768205e-09
22-25,2021H2,-0.009884550067517693,0.002101005010448855,2.5427436700642403e-06
22-25,2022H2,-0.015194947967776387,0.0013735293764059974,0.0
22-25,2023H1,0.011828266260530651,0.0022882751043804077,2.3526344428148604e-07
22-25,2023H2,0.005194585385523117,0.002378406853550081,0.028957816832906103
22-25,2022H1,0.0,0.0,1.0
26-30,2019H1,-0.006643764281408934,0.002518187536090252,0.00833200709844406
26-30,2019H2,-0.016513059478620362,0.0025029448325356997,4.183120516643157e-11
26-30,2020H1,-0.00234161508561705,0.0023347226149706777,0.31588397788644706
26-30,2020H2,-0.005353688725445957,0.002288030299174876,0.019290586561957923
26-30,2021H1,0.007356092293071094,0.0019447844927259165,0.00015527998219178052
26-30,2021H2,-0.013016860959692983,0.001774564280776031,2.2137847111025621e-13
26-30,2022H2,-0.018630099177983347,0.0010516129589548883,0.0
26-30,2023H1,0.01957649550954551,0.0019819597245940178,0.0
26-30,2023H2,0.010065122543592165,0.002055489094736255,9.745931568438948e-07
26-30,2022H1,0.0,0.0,1.0
31-34,2019H1,-0.009708578111034658,0.0026820989877229065,0.0002948687616179946
31-34,2019H2,-0.013727052228047161,0.0026685184390493493,2.6885391690711913e-07
31-34,2020H1,-0.004997080815361775,0.0024696024917213867,0.04302833251539595
31-34,2020H2,-0.005286843885819525,0.0024274129568273785,0.029407961675947947
31-34,2021H1,0.003213002325551009,0.002042225633041858,0.11565296344617781
31-34,2021H2,-0.00795195833397533,0.0019035958839826188,2.949480832237228e-05
31-34,2022H2,-0.010832404376873616,0.001022330907220108,0.0
31-34,2023H1,0.016456829031432658,0.0021187108137414924,7.993605777301127e-15
31-34,2023H2,0.011049572756790266,0.0021820829523997026,4.1105078407710494e-07
31-34,2022H1,0.0,0.0,1.0
35-40,2019H1,-0.007405127575990145,0.0024213937472434494,0.002226652019104991
35-40,2019H2,-0.009815017449311864,0.002402727815898832,4.408721580650976e-05
35-40,2020H1,-0.002824458478994853,0.0022096309559887315,0.20116169739527767
35-40,2020H2,-0.00355686004506004,0.002159516257015286,0.09954507166862236
35-40,2021H1,0.0035645734407052146,0.0017955941317266476,0.047124740991714376
35-40,2021H2,-0.0059303439593605435,0.0016514807307808398,0.00032950821458932467
35-40,2022H2,-0.008595767486520248,0.0008979426185388605,0.0
35-40,2023H1,0.004679767546376324,0.001888242570266884,0.013198367585101067
35-40,2023H2,0.002010526422645042,0.0019482417096991984,0.30208634381766286
35-40,2022H1,0.0,0.0,1.0
41-49,2019H1,-0.0123878390021323,0.002067879465663122,2.09075645685175e-09
41-49,2019H2,-0.012561817155008889,0.0020459995859398662,8.268241646902652e-10
41-49,2020H1,-0.005902324796348683,0.0018656765305137403,0.0015581106620050633
41-49,2020H2,-0.0041842912101406156,0.0018206421745839158,0.021547575872171043
41-49,2021H1,0.0021426593691872622,0.0014897099390670772,0.15034716441734863
41-49,2021H2,-0.003583637900876166,0.0013645707388502736,0.008634379341136311
41-49,2022H2,-0.003981722845226039,0.0007329342253874147,5.554682203090522e-08
41-49,2023H1,0.001415342836528218,0.0015823725157651225,0.37108466128353057
41-49,2023H2,-0.0016424522959109298,0.0016403821342776943,0.3167001850779052
41-49,2022H1,0.0,0.0,1.0
50+,2019H1,-0.015686757788651806,0.0016002646515368268,0.0
50+,2019H2,-0.01584410186967741,0.0015765350631274369,0.0
50+,2020H1,-0.008531111899414759,0.001427359771215821,2.2750252792747006e-09
50+,2020H2,-0.005716207766570579,0.0013857240491774378,3.70625356442833e-05
50+,2021H1,0.0007164273914743426,0.001134995209490341,0.5278991654792615
50+,2021H2,-0.001582170007472524,0.0010319193178213225,0.12521913481478486
50+,2022H2,-0.0003427327315066331,0.0005725872420853928,0.5494606249381389
50+,2023H1,0.006992463051380321,0.001237264058399826,1.5900814442915134e-08
50+,2023H2,0.006930277726591361,0.0012957362972326287,8.867548340063536e-08
50+,2022H1,0.0,0.0,1.0
