ssyk4,ssyk_label,age_group,year,n_employed,pctl_rank_genai,exposure_quartile,high_exposure,young,young_broad
1112,Senior government officials,16-24 years,2021,1,62.529999,Q3,0,1,1
1112,Senior government officials,16-24 years,2023,1,62.529999,Q3,0,1,1
1112,Senior government officials,16-24 years,2024,2,62.529999,Q3,0,1,1
1112,Senior government officials,25-29 years,2020,3,62.529999,Q3,0,0,1
1112,Senior government officials,25-29 years,2021,3,62.529999,Q3,0,0,1
1112,Senior government officials,25-29 years,2022,2,62.529999,Q3,0,0,1
1112,Senior government officials,25-29 years,2024,1,62.529999,Q3,0,0,1
1112,Senior government officials,30-34 years,2020,5,62.529999,Q3,0,0,0
1112,Senior government officials,30-34 years,2021,2,62.529999,Q3,0,0,0
1112,Senior government officials,30-34 years,2022,3,62.529999,Q3,0,0,0
1112,Senior government officials,30-34 years,2023,6,62.529999,Q3,0,0,0
1112,Senior government officials,30-34 years,2024,5,62.529999,Q3,0,0,0
1112,Senior government officials,35-39 years,2020,17,62.529999,Q3,0,0,0
1112,Senior government officials,35-39 years,2021,15,62.529999,Q3,0,0,0
1112,Senior government officials,35-39 years,2022,14,62.529999,Q3,0,0,0
1112,Senior government officials,35-39 years,2023,13,62.529999,Q3,0,0,0
1112,Senior government officials,35-39 years,2024,15,62.529999,Q3,0,0,0
1112,Senior government officials,40-44 years,2020,72,62.529999,Q3,0,0,0
1112,Senior government officials,40-44 years,2021,73,62.529999,Q3,0,0,0
1112,Senior government officials,40-44 years,2022,64,62.529999,Q3,0,0,0
1112,Senior government officials,40-44 years,2023,30,62.529999,Q3,0,0,0
1112,Senior government officials,40-44 years,2024,35,62.529999,Q3,0,0,0
1112,Senior government officials,45-49 years,2020,161,62.529999,Q3,0,0,0
1112,Senior government officials,45-49 years,2021,122,62.529999,Q3,0,0,0
1112,Senior government officials,45-49 years,2022,126,62.529999,Q3,0,0,0
1112,Senior government officials,45-49 years,2023,92,62.529999,Q3,0,0,0
1112,Senior government officials,45-49 years,2024,86,62.529999,Q3,0,0,0
1112,Senior government officials,50-54 years,2020,279,62.529999,Q3,0,0,0
1112,Senior government officials,50-54 years,2021,255,62.529999,Q3,0,0,0
1112,Senior government officials,50-54 years,2022,244,62.529999,Q3,0,0,0
1112,Senior government officials,50-54 years,2023,171,62.529999,Q3,0,0,0
1112,Senior government officials,50-54 years,2024,173,62.529999,Q3,0,0,0
1112,Senior government officials,55-59 years,2020,369,62.529999,Q3,0,0,0
1112,Senior government officials,55-59 years,2021,348,62.529999,Q3,0,0,0
1112,Senior government officials,55-59 years,2022,328,62.529999,Q3,0,0,0
