ssyk4,pctl_rank_genai,pctl_rank_allapps,exposure_quartile,high_exposure
1112,62.529999,47.869999,Q3,0
1113,70.57,59.93,Q3,0
1120,64.889999,51.889999,Q3,0
1211,86.169998,82.150002,Q4 (highest),1
1212,85.93,82.389999,Q4 (highest),1
1221,78.610001,67.260002,Q4 (highest),1
1222,78.839996,67.019997,Q4 (highest),1
1230,66.779999,66.550003,Q3,0
1241,84.75,74.349998,Q4 (highest),1
1242,94.209999,89.010002,Q4 (highest),1
1251,76.0,61.110001,Q4 (highest),1
1252,94.440002,88.529999,Q4 (highest),1
1291,70.089996,63.48,Q3,0
1292,64.18,57.330002,Q3,0
1311,80.730003,79.550003,Q4 (highest),1
1312,91.610001,90.660004,Q4 (highest),1
1321,76.480003,74.110001,Q4 (highest),1
1322,63.950001,67.970001,Q3,0
1331,84.279999,80.260002,Q4 (highest),1
1332,84.040001,80.5,Q4 (highest),1
1341,74.82,73.400002,Q3,0
1342,74.589996,73.169998,Q3,0
1351,66.080002,56.150002,Q3,0
1352,65.839996,56.380001,Q3,0
1361,55.91,52.360001,Q3,0
1362,56.150002,52.130001,Q3,0
1371,49.759998,48.82,Q2,0
1372,49.529999,48.580002,Q2,0
1380,14.3,11.23,Q1 (lowest),0
1411,64.660004,49.290001,Q3,0
1412,64.419998,49.529999,Q3,0
1421,67.260002,56.619999,Q3,0
1422,67.019997,56.860001,Q3,0
1491,63.48,51.650002,Q3,0
1492,63.240002,51.419998,Q3,0
1511,68.68,58.75,Q3,0
1512,68.440002,58.98,Q3,0
1521,59.689999,46.450001,Q3,0
1522,59.459999,46.689999,Q3,0
1531,61.110001,50.709999,Q3,0
1532,60.869999,50.950001,Q3,0
1540,62.060001,45.509998,Q3,0
1591,75.300003,73.879997,Q4 (highest),1
1592,75.059998,73.639999,Q4 (highest),1
1611,69.620003,61.82,Q3,0
1612,69.389999,62.060001,Q3,0
1711,39.130001,6.9699998,Q2,0
1712,39.360001,7.21,Q2,0
1721,32.509998,10.76,Q2,0
1722,32.740002,10.99,Q2,0
1731,52.130001,44.560001,Q3,0
1732,43.380001,27.07,Q2,0
1741,58.98,53.310001,Q3,0
1742,58.75,53.549999,Q3,0
1791,74.349998,72.93,Q3,0
1792,68.199997,58.509998,Q3,0
2111,98.459999,94.919998,Q4 (highest),1
2112,97.75,96.099998,Q4 (highest),1
2113,86.639999,90.900002,Q4 (highest),1
2114,83.809998,87.120003,Q4 (highest),1
2121,99.410004,99.879997,Q4 (highest),1
2122,99.650002,99.650002,Q4 (highest),1
2131,83.099998,83.809998,Q4 (highest),1
2132,85.459999,85.459999,Q4 (highest),1
2133,85.699997,85.699997,Q4 (highest),1
2134,60.400002,60.169998,Q3,0
2135,45.040001,45.040001,Q2,0
2141,92.080002,92.32,Q4 (highest),1
2142,94.919998,93.5,Q4 (highest),1
2143,93.029999,94.440002,Q4 (highest),1
2144,90.900002,91.370003,Q4 (highest),1
2145,98.699997,98.699997,Q4 (highest),1
2146,95.150002,93.970001,Q4 (highest),1
2149,91.370003,91.839996,Q4 (highest),1
2161,89.949997,84.519997,Q4 (highest),1
2162,90.190002,83.57,Q4 (highest),1
2163,91.129997,85.220001,Q4 (highest),1
2164,72.93,83.099998,Q3,0
2171,87.349998,84.989998,Q4 (highest),1
2172,93.260002,92.080002,Q4 (highest),1
2173,80.260002,82.860001,Q4 (highest),1
2179,76.949997,77.419998,Q4 (highest),1
2181,63.709999,65.839996,Q3,0
2182,47.869999,55.91,Q2,0
2183,78.129997,78.370003,Q4 (highest),1
2211,52.360001,53.779999,Q3,0
2212,65.599998,72.220001,Q3,0
2213,65.370003,72.459999,Q3,0
2219,65.129997,71.989998,Q3,0
2221,37.23,24.23,Q2,0
2222,44.560001,41.73,Q2,0
2223,36.290001,25.889999,Q2,0
2224,36.049999,24.940001,Q2,0
2225,37.0,25.41,Q2,0
2226,38.419998,25.65,Q2,0
2227,36.759998,26.6,Q2,0
2228,37.939999,24.700001,Q2,0
2231,37.709999,26.360001,Q2,0
2232,36.52,25.18,Q2,0
2233,38.18,24.469999,Q2,0
2234,37.470001,26.120001,Q2,0
2235,38.650002,40.540001,Q2,0
2239,43.139999,41.25,Q2,0
2241,81.209999,75.059998,Q4 (highest),1
2242,81.440002,75.300003,Q4 (highest),1
2250,41.02,42.669998,Q2,0
2260,33.919998,32.98,Q2,0
2271,58.040001,57.57,Q3,0
2272,41.959999,19.030001,Q2,0
2273,58.27,58.040001,Q3,0
2281,54.490002,51.18,Q3,0
2282,71.279999,55.669998,Q3,0
2283,56.380001,61.580002,Q3,0
2284,53.310001,67.489998,Q3,0
2289,58.509998,57.799999,Q3,0
2311,89.010002,80.970001,Q4 (highest),1
2312,88.769997,81.68,Q4 (highest),1
