geo,nace_r2,2019,2021,2022,2023,2024,exposure,chg_22_24,share_2022
FI,A,83.4,85.2,79.4,73.5,71.8,23.472518185805292,-9.571788413098247,0.031652381901534785
FI,B,8.0,4.7,6.3,6.6,7.0,16.044999870652173,11.111111111111116,0.0025114610324895354
FI,C,322.6,316.6,327.4,335.9,324.3,41.9672017302857,-0.9468540012217419,0.1305162447677895
FI,D,13.7,14.9,15.6,17.0,13.9,67.25626921178458,-10.897435897435892,0.006218855889974088
FI,E,10.3,13.2,15.8,15.5,15.8,43.12416500142478,0.0,0.006298584811640423
FI,F,186.3,182.0,177.6,175.8,167.4,33.01603241082589,-5.743243243243235,0.070799282439705
FI,G,278.6,283.5,281.0,272.5,268.9,42.002213355241544,-4.306049822064062,0.11201913494119992
FI,H,137.9,129.3,130.4,127.8,130.7,31.892197370420234,0.23006134969323355,0.051983256926450075
FI,I,95.2,84.0,97.6,95.3,100.6,33.36853158097852,3.073770491803285,0.03890771377317122
FI,J,122.5,125.8,133.6,137.8,139.3,69.94376154569089,4.266467065868285,0.053258919673111416
FI,K,51.5,45.0,47.1,48.3,51.0,68.56561831946341,8.280254777070063,0.018776161052421768
FI,L,23.8,25.0,27.0,26.2,24.4,61.05965340293153,-9.629629629629633,0.010763404424955152
FI,M,171.3,177.3,184.5,182.5,167.8,66.49610401719697,-9.051490514905147,0.07354993023719354
FI,N,115.7,124.8,135.9,138.9,132.5,37.631120757457055,-2.5018395879323085,0.05417580227227427
FI,O,112.5,115.6,120.5,123.6,121.4,63.52670337103472,0.7468879668049766,0.04803667530396651
FI,P,183.8,177.9,179.6,188.1,187.5,65.78849237147993,4.398663697104688,0.07159657165636835
FI,Q,413.4,400.6,402.0,404.4,427.0,50.39298593094576,6.218905472636815,0.16025513254933227
FI,R,64.9,61.0,61.1,58.0,60.3,61.69561329985401,-1.3093289689034449,0.02435718556906518
FI,S,75.3,79.9,78.9,77.1,71.7,51.15256757552544,-9.125475285171103,0.031453059597368944
FI,T,8.7,8.4,7.2,8.1,7.1,35.02000021818182,-1.388888888888895,0.002870241179988041
SE,A,65.7,66.2,70.9,65.3,66.2,25.064862757610797,-6.629055007052187,0.014281685601482555
SE,B,9.3,10.0,10.1,11.1,10.0,16.044999870652173,-0.990099009900991,0.002034485537023608
SE,C,499.8,483.7,482.6,502.7,483.7,45.26471397692664,0.22793203481143998,0.09721215051164289
SE,D,30.6,32.8,33.4,31.2,29.7,59.45786699851046,-11.077844311377238,0.006727902666988961
SE,E,26.0,22.1,24.0,25.1,29.2,34.23366841530009,21.666666666666657,0.0048344210780759
SE,F,349.0,330.7,319.8,313.4,309.8,32.317568927600796,-3.1269543464665372,0.06441866086536137
SE,G,553.0,516.5,514.7,514.4,513.2,47.1877168512347,-0.2914319020788758,0.10367818870356942
SE,H,237.4,195.0,192.0,215.2,218.2,36.12996010432104,13.645833333333336,0.0386753686246072
SE,I,162.8,126.1,156.4,155.8,166.2,37.12248444041262,6.265984654731449,0.031504310692127946
SE,J,252.1,283.5,306.6,312.6,297.6,69.8806011910678,-2.935420743639916,0.06175972927241963
SE,K,98.5,106.7,118.2,117.5,118.4,65.72072787194895,0.16920473773265332,0.023809523809523808
SE,L,72.6,78.5,83.7,88.6,82.9,57.07582016547393,-0.9557945041815952,0.0168600435097897
SE,M,427.1,450.8,495.8,508.3,522.8,66.25131917473662,5.4457442517143795,0.09987108210458463
SE,N,213.2,214.8,234.8,226.0,227.2,43.995437262172686,-3.236797274275993,0.047296752880509225
SE,O,354.9,392.0,409.0,405.5,411.1,63.581182443469956,0.513447432762848,0.0823865925388768
SE,P,567.6,545.4,556.2,580.8,557.3,63.104303303500174,0.19777058612009402,0.11203770848440898
SE,Q,735.0,701.2,723.2,723.6,725.6,54.296392450492306,0.33185840707963266,0.1456772218193538
SE,R,135.2,103.8,111.6,120.5,121.9,61.83563537378577,9.22939068100359,0.022480058013052934
SE,S,120.3,116.2,121.4,123.3,115.4,53.21997253127603,-4.94233937397035,0.024454113286600593
