variant,Mbar,lb,ub,method
A_pre_launch,0.0,-0.28,-0.088,C-LF
A_pre_launch,0.0025,-0.292,-0.076,C-LF
A_pre_launch,0.005,-0.304,-0.06,C-LF
A_pre_launch,0.0075,-0.316,-0.044,C-LF
A_pre_launch,0.01,-0.332,-0.028,C-LF
A_pre_launch,0.015,-0.36,0.004,C-LF
A_pre_launch,0.02,-0.392,0.04,C-LF
A_pre_launch,0.03,-0.464,0.116,C-LF
A_pre_launch,0.04,-0.536,0.192,C-LF
A_pre_launch,0.05,-0.612,0.272,C-LF
A_pre_launch,0.075,-0.808,0.472,C-LF
A_pre_launch,0.1,-1.004,0.676,C-LF
A_pre_launch,0.15,-1.412,1.084,C-LF
A_pre_launch,0.2,-1.82,1.492,C-LF
B_pre_ratehike,0.0,-0.184,-0.028,C-LF
B_pre_ratehike,0.0025,-0.204,-0.008,C-LF
B_pre_ratehike,0.005,-0.22,0.012,C-LF
B_pre_ratehike,0.0075,-0.24,0.032,C-LF
B_pre_ratehike,0.01,-0.26,0.056,C-LF
B_pre_ratehike,0.015,-0.308,0.104,C-LF
B_pre_ratehike,0.02,-0.36,0.152,C-LF
"B_pre_ratehike",0.0045,-0.216,0.00800000000000001,"C-LF"
"B_pre_ratehike",0.0035,-0.208,0,"C-LF"
"A_pre_launch",0.011,-0.336,-0.024,"C-LF"
"A_pre_launch",0.012,-0.344,-0.016,"C-LF"
"A_pre_launch",0.014,-0.356,-0.004,"C-LF"
"A_pre_launch",0.013,-0.348,-0.00800000000000001,"C-LF"
