pair,n_occ,unweighted,ad_weighted_2122,employment_weighted_2024,spearman
Hansen H1 x DAIOE pctl_rank_genai,369,0.7590248975244585,0.7850179546309418,0.7928906119198854,0.8004826552477784
Hansen H1 x Dingel-Neiman teleworkable,369,0.6819618075540124,0.6794059204684777,0.6733744240323076,0.6948661745891458
Hansen H1 x l50 Platsbanken remote_share,369,0.6946537112136947,0.8243633391262506,0.865522991835205,0.7301146152557926
Hansen H2 x DAIOE pctl_rank_genai,364,0.7723696173763284,0.7682404064839001,0.7914096866180111,0.7982229391921845
Hansen H2 x Dingel-Neiman teleworkable,364,0.69306648879103,0.7102262317312814,0.6596152211982734,0.6722347705738586
Hansen H2 x l50 Platsbanken remote_share,364,0.6883193994203909,0.8183874538159646,0.8537580641014162,0.7405289727293763
Hansen H1 x Hansen H2,364,0.9003393262564242,0.9016168304324531,0.9346366020198397,0.8605236141308915
"off-diagonal share, median cuts DAIOE x Hansen H1",369,0.15176151761517614,0.06266270249203917,0.08321894280384246,
"off-diagonal share, median cuts DAIOE x Hansen H2",364,0.16483516483516483,0.1830584914288013,0.1295625850865931,
share of DAIOE Q4 occupations also RemoteHigh (H1),91,0.7472527472527473,0.7512528398733669,,
h1 distribution: count,369,369.0,,,
h1 distribution: mean,369,0.08002928152180083,,,
h1 distribution: std,369,0.08225769224642446,,,
h1 distribution: min,369,0.0035575334134797863,,,
h1 distribution: 10%,369,0.011006268789217764,,,
h1 distribution: 25%,369,0.020437647101438253,,,
h1 distribution: 50%,369,0.042466077015546624,,,
h1 distribution: 75%,369,0.11936917881812005,,,
h1 distribution: 90%,369,0.22680030225923353,,,
h1 distribution: max,369,0.315149762963465,,,
h2 distribution: count,364,364.0,,,
h2 distribution: mean,364,0.08884380343119183,,,
h2 distribution: std,364,0.09658329088654251,,,
h2 distribution: min,364,0.0023,,,
h2 distribution: 10%,364,0.0072287500000000025,,,
h2 distribution: 25%,364,0.013758333333333334,,,
h2 distribution: 50%,364,0.04286666666666667,,,
h2 distribution: 75%,364,0.13993125,,,
h2 distribution: 90%,364,0.24591249999999998,,,
h2 distribution: max,364,0.3947,,,
