export_file,script,exhibit_scripts,manifest_rows,used_for,status
2026-09-18_1640_s40-s47/40_log.txt,40,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/42_log.txt,42,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/42_summary.txt,42,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/43_log.txt,43,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/43_summary.txt,43,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/45_log.txt,45,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/47_log.txt,47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/asof_confusion_T2021.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/asof_matchrates_T2021.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/bridge_inputs.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/coverage_by_month_age.csv,40,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/coverage_by_quartile.csv,40,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/coverage_summary.txt,40,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/edu_exposure_groups_2019.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/edu_exposure_groups_2019_young.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/edu_exposure_groups_2021.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/edu_match_rates.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/entrant_split_coverage.csv,40,19_tab_register_coverage.py,M014 M015 OA108 OA109,Online Appendix Part IV coverage tables; Section 2,read by the package
2026-09-18_1640_s40-s47/excluded_counts.csv,40,19_tab_register_coverage.py,,Online Appendix Part IV coverage tables,read by the package
2026-09-18_1640_s40-s47/extensive_lpm.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/frozen_es.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/frozen_pooled.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/olsplus1_pooled.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/poisson_es.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/poisson_pooled.csv,40/42/43/45/47,,,,not read by any exhibit or manifest row
2026-09-18_1640_s40-s47/vintage_composition.csv,40,19_tab_register_coverage.py,,Online Appendix Part IV coverage tables,read by the package
2026-09-18_1716_s49/49_log.txt,49,,,,not read by any exhibit or manifest row
2026-09-18_1716_s49/49_summary.txt,49,,,,not read by any exhibit or manifest row
2026-09-18_1716_s49/attrition_by_frozen_quartile.csv,49,,,,not read by any exhibit or manifest row
2026-09-18_1716_s49/match_rate_definitions.csv,49,,OA150 OA151 OA152 OA153 OA155,VI.1 text,read by the package
2026-09-18_1736_s45/45_log.txt,45,,,,not read by any exhibit or manifest row
2026-09-18_1736_s45/45_summary.txt,45,,,,not read by any exhibit or manifest row
2026-09-18_1736_s45/asof_confusion_T2021.csv,45,,,,not read by any exhibit or manifest row
2026-09-18_1736_s45/asof_confusion_T2022.csv,45,,,,not read by any exhibit or manifest row
2026-09-18_1736_s45/asof_es_T2021.csv,45,,,,not read by any exhibit or manifest row
2026-09-18_1736_s45/asof_es_T2022.csv,45,,,,not read by any exhibit or manifest row
2026-09-18_1736_s45/asof_estimates.csv,45,19_tab_register_coverage.py 20_fig_backtest.py,,Online Appendix Part IV coverage tables; Online Appendix Figure A8,read by the package
2026-09-18_1736_s45/asof_matchrates_T2021.csv,45,,,,not read by any exhibit or manifest row
