year,age_group,q_true,q_asof,n_emp
2022,22-25,0,0,406078
2022,22-25,0,1,2351
2022,22-25,0,2,3092
2022,22-25,0,3,1277
2022,22-25,0,4,985
2022,22-25,1,0,102488
2022,22-25,1,1,885688
2022,22-25,1,2,121934
2022,22-25,1,3,17673
2022,22-25,1,4,14127
2022,22-25,2,0,133091
2022,22-25,2,1,127183
2022,22-25,2,2,1607413
2022,22-25,2,3,40436
2022,22-25,2,4,28258
2022,22-25,3,0,37434
2022,22-25,3,1,32863
2022,22-25,3,2,76668
2022,22-25,3,3,251228
2022,22-25,3,4,26620
2022,22-25,4,0,56191
2022,22-25,4,1,36322
2022,22-25,4,2,91914
2022,22-25,4,3,34851
2022,22-25,4,4,348548
2022,26-30,0,0,310557
2022,26-30,0,1,3339
2022,26-30,0,2,4355
2022,26-30,0,3,1630
2022,26-30,0,4,1658
2022,26-30,1,0,67515
2022,26-30,1,1,1325319
2022,26-30,1,2,119673
2022,26-30,1,3,19365
2022,26-30,1,4,13144
2022,26-30,2,0,68212
2022,26-30,2,1,129236
2022,26-30,2,2,2135442
2022,26-30,2,3,51118
2022,26-30,2,4,36533
2022,26-30,3,0,31680
2022,26-30,3,1,45908
2022,26-30,3,2,110914
2022,26-30,3,3,778557
2022,26-30,3,4,68747
2022,26-30,4,0,73590
2022,26-30,4,1,51689
2022,26-30,4,2,132061
2022,26-30,4,3,94461
2022,26-30,4,4,1413273
2022,31-34,0,0,242120
2022,31-34,0,1,3007
2022,31-34,0,2,3597
2022,31-34,0,3,1475
2022,31-34,0,4,1850
2022,31-34,1,0,50271
2022,31-34,1,1,1136768
2022,31-34,1,2,80896
2022,31-34,1,3,13664
2022,31-34,1,4,9976
2022,31-34,2,0,48589
2022,31-34,2,1,91087
2022,31-34,2,2,1756392
2022,31-34,2,3,40678
2022,31-34,2,4,28346
2022,31-34,3,0,19272
2022,31-34,3,1,29396
2022,31-34,3,2,77138
2022,31-34,3,3,896075
2022,31-34,3,4,69498
2022,31-34,4,0,45045
2022,31-34,4,1,26082
2022,31-34,4,2,72800
2022,31-34,4,3,82057
2022,31-34,4,4,1598490
2022,35-40,0,0,308140
2022,35-40,0,1,4005
2022,35-40,0,2,4567
2022,35-40,0,3,2523
2022,35-40,0,4,3094
2022,35-40,1,0,63539
2022,35-40,1,1,1467713
2022,35-40,1,2,93050
2022,35-40,1,3,17430
2022,35-40,1,4,12390
2022,35-40,2,0,59673
2022,35-40,2,1,103802
2022,35-40,2,2,2245537
2022,35-40,2,3,51696
2022,35-40,2,4,36430
2022,35-40,3,0,21579
2022,35-40,3,1,31897
2022,35-40,3,2,85314
2022,35-40,3,3,1384870
2022,35-40,3,4,101354
2022,35-40,4,0,44949
2022,35-40,4,1,24283
2022,35-40,4,2,72446
2022,35-40,4,3,113677
2022,35-40,4,4,2315173
2022,41-49,0,0,397116
2022,41-49,0,1,5161
2022,41-49,0,2,5429
2022,41-49,0,3,3956
2022,41-49,0,4,5503
2022,41-49,1,0,74303
2022,41-49,1,1,2110909
2022,41-49,1,2,111084
2022,41-49,1,3,24690
2022,41-49,1,4,15520
2022,41-49,2,0,57753
2022,41-49,2,1,115163
2022,41-49,2,2,3123564
2022,41-49,2,3,73532
2022,41-49,2,4,49466
2022,41-49,3,0,23019
2022,41-49,3,1,36233
2022,41-49,3,2,99845
2022,41-49,3,3,2348815
2022,41-49,3,4,152544
2022,41-49,4,0,35911
2022,41-49,4,1,24207
2022,41-49,4,2,74742
2022,41-49,4,3,156791
2022,41-49,4,4,3699463
2022,50+,0,0,898146
2022,50+,0,1,161410
2022,50+,0,2,285032
2022,50+,0,3,249656
2022,50+,0,4,302335
2022,50+,1,0,70305
2022,50+,1,1,4409916
2022,50+,1,2,150183
2022,50+,1,3,42721
2022,50+,1,4,31223
2022,50+,2,0,55711
2022,50+,2,1,143477
2022,50+,2,2,5870622
2022,50+,2,3,111886
2022,50+,2,4,74931
2022,50+,3,0,40261
2022,50+,3,1,46033
2022,50+,3,2,124512
2022,50+,3,3,4239580
2022,50+,3,4,183940
2022,50+,4,0,39498
2022,50+,4,1,29608
2022,50+,4,2,80665
2022,50+,4,3,190865
2022,50+,4,4,5827328
2023,22-25,0,0,375381
2023,22-25,0,1,13788
2023,22-25,0,2,18529
2023,22-25,0,3,4755
2023,22-25,0,4,3921
2023,22-25,1,0,224832
2023,22-25,1,1,683525
2023,22-25,1,2,171848
2023,22-25,1,3,24137
2023,22-25,1,4,18509
2023,22-25,2,0,311776
2023,22-25,2,1,198351
2023,22-25,2,2,1329813
2023,22-25,2,3,56380
2023,22-25,2,4,40615
2023,22-25,3,0,80868
2023,22-25,3,1,51223
2023,22-25,3,2,111248
2023,22-25,3,3,154578
2023,22-25,3,4,32084
2023,22-25,4,0,121000
2023,22-25,4,1,59282
2023,22-25,4,2,142141
2023,22-25,4,3,40949
2023,22-25,4,4,213376
2023,26-30,0,0,264767
2023,26-30,0,1,53663
2023,26-30,0,2,68586
2023,26-30,0,3,19728
