year_month,age_group,vintage,n_emp,share
2023-01,22-25,2021,162,0.00044425065609240413
2023-01,22-25,2022,1622,0.004447991136925182
2023-01,22-25,2023,362875,0.9951077582069824
2023-01,26-30,2021,321,0.0005700839142210185
2023-01,26-30,2022,3119,0.00553922656839675
2023-01,26-30,2023,559635,0.9938906895173822
2023-01,31-34,2021,292,0.000537932533680656
2023-01,31-34,2022,2637,0.004857972915465376
2023-01,31-34,2023,539890,0.994604094550854
2023-01,35-40,2021,433,0.0005808190218900361
2023-01,35-40,2022,3120,0.0041851162778219686
2023-01,35-40,2023,741946,0.995234064700288
2023-01,41-49,2021,477,0.0004459014922275724
2023-01,41-49,2022,3162,0.002955850143445669
2023-01,41-49,2023,1066104,0.9965982483643268
2023-01,50+,2021,1109,0.0005408856380475248
2023-01,50+,2022,6622,0.0032297066683054185
2023-01,50+,2023,2042610,0.9962294076936471
2023-02,22-25,2021,100,0.00028785593386222063
2023-02,22-25,2022,1396,0.0040184688367166
2023-02,22-25,2023,345900,0.9956936752294212
2023-02,26-30,2021,194,0.00035113757715071764
2023-02,26-30,2022,2809,0.0050842549186410615
2023-02,26-30,2023,549487,0.9945646075042083
2023-02,31-34,2021,226,0.0004202063473470291
2023-02,31-34,2022,2433,0.004523725854404079
2023-02,31-34,2023,535172,0.9950560677982488
2023-02,35-40,2021,363,0.0004903682489935968
2023-02,35-40,2022,2951,0.003986437197741334
2023-02,35-40,2023,736946,0.9955231945532651
2023-02,41-49,2021,384,0.000361302948758962
2023-02,41-49,2022,2958,0.002783161777158879
2023-02,41-49,2023,1059478,0.9968555352740821
2023-02,50+,2021,654,0.0003211860507031961
2023-02,50+,2022,6329,0.0031082362613157923
2023-02,50+,2023,2029220,0.996570577687981
2023-03,22-25,2021,88,0.00025040548615656036
2023-03,22-25,2022,1338,0.0038073015963349744
2023-03,22-25,2023,350004,0.9959422929175085
2023-03,26-30,2021,210,0.00037745480428069694
2023-03,26-30,2022,2634,0.004734361687977885
2023-03,26-30,2023,553514,0.9948881835077414
2023-03,31-34,2021,229,0.000423115013377086
2023-03,31-34,2022,2284,0.0042200641508876174
2023-03,31-34,2023,538711,0.9953568208357353
2023-03,35-40,2021,378,0.0005076237567918178
2023-03,35-40,2022,2732,0.003668857416812821
2023-03,35-40,2023,741536,0.9958235188263954
2023-03,41-49,2021,406,0.00037948464863086427
2023-03,41-49,2022,2779,0.002597506991490571
2023-03,41-49,2023,1066687,0.9970230083598786
2023-03,50+,2021,697,0.0003397363314617777
2023-03,50+,2022,5788,0.002821225088236398
2023-03,50+,2023,2045106,0.9968390385803019
2023-04,22-25,2021,78,0.00021678891152511
2023-04,22-25,2022,1218,0.003385242233815179
2023-04,22-25,2023,358501,0.9963979688546597
2023-04,26-30,2021,206,0.0003676339365385302
2023-04,26-30,2022,2421,0.0043205910697076775
2023-04,26-30,2023,557713,0.9953117749937538
2023-04,31-34,2021,207,0.0003810589757797442
2023-04,31-34,2022,2081,0.0038308392685876703
2023-04,31-34,2023,540935,0.9957881017556326
2023-04,35-40,2021,340,0.0004554075629801871
2023-04,35-40,2022,2548,0.0034128778543338727
2023-04,35-40,2023,743696,0.9961317145826859
2023-04,41-49,2021,360,0.00033596443256540576
2023-04,41-49,2022,2602,0.0024282762598199603
2023-04,41-49,2023,1068580,0.9972357593076147
2023-04,50+,2021,693,0.00033728060334778983
2023-04,50+,2022,5307,0.0025828977806157585
2023-04,50+,2023,2048669,0.9970798216160365
2023-05,22-25,2021,90,0.0002461080742590096
2023-05,22-25,2022,1135,0.0031036962698219547
2023-05,22-25,2023,364468,0.9966501956559191
2023-05,26-30,2021,197,0.0003469213809231983
2023-05,26-30,2022,2218,0.0039059473243028115
2023-05,26-30,2023,565437,0.995747131294774
2023-05,31-34,2021,219,0.0003983107260167836
2023-05,31-34,2022,1866,0.003393825638115608
2023-05,31-34,2023,547737,0.9962078636358677
2023-05,35-40,2021,335,0.00044427469172641165
2023-05,35-40,2022,2402,0.003185515849333853
2023-05,35-40,2023,751301,0.9963702094589397
2023-05,41-49,2021,360,0.0003326191261541191
2023-05,41-49,2022,2420,0.002235939681369356
2023-05,41-49,2023,1079539,0.9974314411924765
2023-05,50+,2021,672,0.00032390537335878305
2023-05,50+,2022,4919,0.0023709680529045442
2023-05,50+,2023,2069089,0.9973051265737367
2023-06,22-25,2021,111,0.0002822158264601491
2023-06,22-25,2022,1128,0.00286792299321665
2023-06,22-25,2023,392077,0.9968498611803231
2023-06,26-30,2021,205,0.0003501496249128896
2023-06,26-30,2022,2061,0.0035202847655876365
2023-06,26-30,2023,583198,0.9961295656094995
2023-06,31-34,2021,195,0.00034892397215049894
2023-06,31-34,2022,1709,0.0030580054790010397
2023-06,31-34,2023,556957,0.9965930705488485
2023-06,35-40,2021,332,0.00043499737298273244
2023-06,35-40,2022,2178,0.002853687585410817
2023-06,35-40,2023,760713,0.9967113150416065
2023-06,41-49,2021,342,0.0003138420878757846
2023-06,41-49,2022,2202,0.0020207025657967186
2023-06,41-49,2023,1087176,0.9976654553463274
2023-06,50+,2021,624,0.00029915589138148176
2023-06,50+,2022,4550,0.0021813450413233045
2023-06,50+,2023,2080695,0.9975194990672952
2023-07,22-25,2021,152,0.00037066751855166545
2023-07,22-25,2022,1068,0.0026044270382445966
2023-07,22-25,2023,408851,0.9970249054432038
2023-07,26-30,2021,217,0.0003733821540536913
2023-07,26-30,2022,1813,0.003119547674190518
2023-07,26-30,2023,579144,0.9965070701717558
2023-07,31-34,2021,177,0.0003218363216835858
2023-07,31-34,2022,1470,0.0026728779258467297
2023-07,31-34,2023,548322,0.9970052857524697
2023-07,35-40,2021,286,0.0003814940695012832
2023-07,35-40,2022,1883,0.002511724940108099
2023-07,35-40,2023,747515,0.9971067809903906
2023-07,41-49,2021,300,0.0002802795321200344
2023-07,41-49,2022,1926,0.0017993945962106208
2023-07,41-49,2023,1068134,0.9979203258716693
2023-07,50+,2021,557,0.0002737213722826888
2023-07,50+,2022,3865,0.0018993412995917276
2023-07,50+,2023,2030494,0.9978269373281256
2023-08,22-25,2021,177,0.00044077217308152044
2023-08,22-25,2022,898,0.002236233962865567
2023-08,22-25,2023,400493,0.9973229938640529
2023-08,26-30,2021,211,0.0003671186924310913
2023-08,26-30,2022,1480,0.0025750505440664223
2023-08,26-30,2023,573055,0.9970578307635025
2023-08,31-34,2021,175,0.0003217284354621951
2023-08,31-34,2022,1214,0.0022318761180063133
2023-08,31-34,2023,542548,0.9974463954465315
2023-08,35-40,2021,254,0.00034260895369383706
2023-08,35-40,2022,1550,0.0020907239300214466
2023-08,35-40,2023,739566,0.9975666671162847
2023-08,41-49,2021,272,0.00025722961809912986
2023-08,41-49,2022,1578,0.001492310063825099
2023-08,41-49,2023,1055571,0.9982504603180757
2023-08,50+,2021,539,0.00027052977157550215
2023-08,50+,2022,3286,0.0016492779766179963
2023-08,50+,2023,1988562,0.9980801922518066
2023-09,22-25,2021,147,0.00036293697488327996
2023-09,22-25,2022,752,0.001856657177634194
2023-09,22-25,2023,404130,0.9977804058474825
2023-09,26-30,2021,197,0.00033767106381811697
2023-09,26-30,2022,1260,0.002159723555384911
2023-09,26-30,2023,581951,0.9975026053807969
2023-09,31-34,2021,174,0.0003147982306168417
2023-09,31-34,2022,1053,0.0019050720508019213
2023-09,31-34,2023,551508,0.9977801297185812
2023-09,35-40,2021,263,0.0003488618878336075
2023-09,35-40,2022,1263,0.0016753329442351567
2023-09,35-40,2023,752354,0.9979758051679313
2023-09,41-49,2021,276,0.00025685481281705514
2023-09,41-49,2022,1340,0.0012470487288943981
2023-09,41-49,2023,1072921,0.9984960964582885
2023-09,50+,2021,550,0.00027113457000275574
2023-09,50+,2022,2867,0.0014133505676325465
2023-09,50+,2023,2025096,0.9983155148623647
2023-10,22-25,2021,83,0.00022499261319432586
2023-10,22-25,2022,415,0.0011249630659716293
2023-10,22-25,2023,368403,0.998650044320834
2023-10,26-30,2021,176,0.00030963183718995033
2023-10,26-30,2022,920,0.0016185300580383768
2023-10,26-30,2023,567321,0.9980718381047716
2023-10,31-34,2021,163,0.0002977794422572778
2023-10,31-34,2022,786,0.0014359180467130082
2023-10,31-34,2023,546436,0.9982663025110298
2023-10,35-40,2021,254,0.0003382576004751587
2023-10,35-40,2022,1060,0.0014116262067073553
2023-10,35-40,2023,749593,0.9982501161928174
2023-10,41-49,2021,280,0.0002605097058473264
2023-10,41-49,2022,1083,0.0010076143265451947
2023-10,41-49,2023,1073453,0.9987318759676075
2023-10,50+,2021,530,0.0002602266623328289
2023-10,50+,2022,2386,0.001171510974200245
2023-10,50+,2023,2033770,0.998568262363467
2023-11,22-25,2021,70,0.00019322071326046151
2023-11,22-25,2022,295,0.0008142872915976592
2023-11,22-25,2023,361915,0.9989924919951418
2023-11,26-30,2021,154,0.0002732831959227567
2023-11,26-30,2022,661,0.001172988263019105
2023-11,26-30,2023,562703,0.9985537285410582
2023-11,31-34,2021,167,0.0003069796511093546
2023-11,31-34,2022,592,0.0010882152901601073
2023-11,31-34,2023,543251,0.9986048050587305
2023-11,35-40,2021,248,0.0003315188912297212
2023-11,35-40,2022,766,0.0010239656075885744
2023-11,35-40,2023,747058,0.9986445155011817
2023-11,41-49,2021,250,0.00023338638983929014
2023-11,41-49,2022,864,0.0008065833632845867
2023-11,41-49,2023,1070071,0.9989600302468761
2023-11,50+,2021,524,0.000257456915273091
2023-11,50+,2022,1891,0.000929105012941632
2023-11,50+,2023,2032877,0.9988134380717852
2023-12,22-25,2021,61,0.00016684627713987188
2023-12,22-25,2022,253,0.0006920017723997965
2023-12,22-25,2023,365292,0.9991411519504604
2023-12,26-30,2021,163,0.0002875986745759243
2023-12,26-30,2022,546,0.0009633673393770225
2023-12,26-30,2023,566053,0.9987490339860471
2023-12,31-34,2021,170,0.00031039116590225236
2023-12,31-34,2022,498,0.0009092635330548333
2023-12,31-34,2023,547028,0.9987803453010429
2023-12,35-40,2021,255,0.00033832237213072777
2023-12,35-40,2022,641,0.0008504495707286138
2023-12,35-40,2023,752823,0.9988112280571406
2023-12,41-49,2021,272,0.00025099058231660616
2023-12,41-49,2022,771,0.0007114475697283212
2023-12,41-49,2023,1082663,0.9990375618479551
2023-12,50+,2021,551,0.00026614114658049683
2023-12,50+,2022,1617,0.0007810349074785179
2023-12,50+,2023,2068162,0.998952823945941
2024-01,22-25,2021,81,0.00022936559176322676
2024-01,22-25,2022,203,0.0005748298163942596
2024-01,22-25,2023,352864,0.9991958045918425
2024-01,26-30,2021,132,0.00024764642094638454
2024-01,26-30,2022,449,0.0008423730530676262
2024-01,26-30,2023,532437,0.998909980525986
2024-01,31-34,2021,166,0.00031046839581353944
2024-01,31-34,2022,386,0.0007219325348435314
2024-01,31-34,2023,534124,0.998967599069343
2024-01,35-40,2021,217,0.0002855815532741201
2024-01,35-40,2022,484,0.0006369653077634753
2024-01,35-40,2023,759152,0.9990774531389625
2024-01,41-49,2021,291,0.00027559349675112204
2024-01,41-49,2022,586,0.0005549752202617097
2024-01,41-49,2023,1055026,0.9991694312829872
2024-01,50+,2021,506,0.00024466274980622805
2024-01,50+,2022,1129,0.0005458977164648843
2024-01,50+,2023,2066518,0.9992094395337289
2024-02,22-25,2021,72,0.00021180083661330462
2024-02,22-25,2022,151,0.00044419342123068055
2024-02,22-25,2023,339719,0.999344005742156
2024-02,26-30,2021,138,0.0002635121587947183
2024-02,26-30,2022,316,0.0006034046534719636
2024-02,26-30,2023,523241,0.9991330831877333
2024-02,31-34,2021,173,0.0003264255645935813
2024-02,31-34,2022,325,0.0006132272167220458
2024-02,31-34,2023,529485,0.9990603472186844
