year,age_group,exposure_quartile_2022,n_workers,coded_cascade
2019,22-25,1,92199,1.0
2020,22-25,1,90390,1.0
2021,22-25,1,94046,1.0
2022,22-25,1,99110,1.0
2023,22-25,1,95007,1.0
2024,22-25,1,89924,1.0
2025,22-25,1,77204,1.0
2019,22-25,2,148702,1.0
2020,22-25,2,147689,1.0
2021,22-25,2,155360,1.0
2022,22-25,2,164199,1.0
2023,22-25,2,158508,1.0
2024,22-25,2,148561,1.0
2025,22-25,2,124866,1.0
2019,22-25,3,53105,1.0
2020,22-25,3,45795,1.0
2021,22-25,3,40712,1.0
2022,22-25,3,36874,1.0
2023,22-25,3,31058,1.0
2024,22-25,3,26631,1.0
2025,22-25,3,21165,1.0
2019,22-25,4,83900,1.0
2020,22-25,4,69842,1.0
2021,22-25,4,59235,1.0
2022,22-25,4,49731,1.0
2023,22-25,4,37251,1.0
2024,22-25,4,28268,1.0
2025,22-25,4,19904,1.0
2019,26-30,1,127330,1.0
2020,26-30,1,128200,1.0
2021,26-30,1,129121,1.0
2022,26-30,1,130964,1.0
2023,26-30,1,123101,1.0
2024,26-30,1,117992,1.0
2025,26-30,1,111339,1.0
2019,26-30,2,197735,1.0
2020,26-30,2,200285,1.0
2021,26-30,2,201826,1.0
2022,26-30,2,204550,1.0
2023,26-30,2,195695,1.0
2024,26-30,2,190765,1.0
2025,26-30,2,184265,1.0
2019,26-30,3,102061,1.0
2020,26-30,3,97765,1.0
2021,26-30,3,92069,1.0
2022,26-30,3,85887,1.0
2023,26-30,3,75183,1.0
2024,26-30,3,64864,1.0
2025,26-30,3,53831,1.0
2019,26-30,4,167724,1.0
2020,26-30,4,161933,1.0
2021,26-30,4,154784,1.0
2022,26-30,4,145724,1.0
2023,26-30,4,125705,1.0
2024,26-30,4,104821,1.0
2025,26-30,4,82648,1.0
2019,31-34,1,89530,1.0
2020,31-34,1,93591,1.0
2021,31-34,1,100233,1.0
2022,31-34,1,108180,1.0
2023,31-34,1,107207,1.0
2024,31-34,1,104972,1.0
2025,31-34,1,99411,1.0
2019,31-34,2,138346,1.0
2020,31-34,2,144981,1.0
2021,31-34,2,154527,1.0
2022,31-34,2,164967,1.0
2023,31-34,2,164787,1.0
2024,31-34,2,163320,1.0
2025,31-34,2,156172,1.0
2019,31-34,3,85788,1.0
2020,31-34,3,86611,1.0
2021,31-34,3,88618,1.0
2022,31-34,3,90260,1.0
2023,31-34,3,87258,1.0
2024,31-34,3,83006,1.0
2025,31-34,3,75367,1.0
2019,31-34,4,135526,1.0
2020,31-34,4,139032,1.0
2021,31-34,4,144793,1.0
2022,31-34,4,150851,1.0
2023,31-34,4,147546,1.0
2024,31-34,4,140059,1.0
2025,31-34,4,127892,1.0
2019,35-40,1,118796,1.0
2020,35-40,1,122397,1.0
2021,35-40,1,127804,1.0
2022,35-40,1,136059,1.0
2023,35-40,1,136471,1.0
2024,35-40,1,137806,1.0
2025,35-40,1,137859,1.0
2019,35-40,2,178173,1.0
2020,35-40,2,184009,1.0
2021,35-40,2,191982,1.0
2022,35-40,2,204108,1.0
2023,35-40,2,208163,1.0
2024,35-40,2,212374,1.0
2025,35-40,2,214901,1.0
2019,35-40,3,129112,1.0
2020,35-40,3,128851,1.0
2021,35-40,3,129549,1.0
2022,35-40,3,131581,1.0
2023,35-40,3,131182,1.0
2024,35-40,3,130783,1.0
2025,35-40,3,129248,1.0
2019,35-40,4,198663,1.0
2020,35-40,4,199804,1.0
2021,35-40,4,203007,1.0
2022,35-40,4,208823,1.0
2023,35-40,4,209871,1.0
2024,35-40,4,210914,1.0
2025,35-40,4,209873,1.0
2019,41-49,1,183731,1.0
2020,41-49,1,182457,1.0
2021,41-49,1,184490,1.0
2022,41-49,1,188322,1.0
2023,41-49,1,183821,1.0
2024,41-49,1,178972,1.0
2025,41-49,1,173336,1.0
2019,41-49,2,262197,1.0
2020,41-49,2,262235,1.0
2021,41-49,2,265440,1.0
2022,41-49,2,270128,1.0
2023,41-49,2,267020,1.0
2024,41-49,2,264330,1.0
2025,41-49,2,260444,1.0
2019,41-49,3,211209,1.0
2020,41-49,3,210948,1.0
2021,41-49,3,209971,1.0
2022,41-49,3,209120,1.0
2023,41-49,3,204467,1.0
2024,41-49,3,199241,1.0
2025,41-49,3,193628,1.0
2019,41-49,4,308734,1.0
2020,41-49,4,310881,1.0
2021,41-49,4,312779,1.0
2022,41-49,4,314547,1.0
2023,41-49,4,310697,1.0
2024,41-49,4,304394,1.0
2025,41-49,4,297729,1.0
2019,50+,1,331876,1.0
2020,50+,1,349045,1.0
2021,50+,1,367758,1.0
2022,50+,1,391197,1.0
2023,50+,1,389913,1.0
2024,50+,1,390266,1.0
2025,50+,1,383547,1.0
2019,50+,2,425728,1.0
2020,50+,2,448877,1.0
2021,50+,2,474013,1.0
2022,50+,2,502511,1.0
2023,50+,2,509392,1.0
2024,50+,2,516660,1.0
2025,50+,2,515092,1.0
2019,50+,3,302052,1.0
2020,50+,3,321001,1.0
2021,50+,3,342008,1.0
2022,50+,3,364078,1.0
2023,50+,3,375727,1.0
2024,50+,3,386862,1.0
2025,50+,3,390998,1.0
2019,50+,4,391531,1.0
2020,50+,4,418847,1.0
2021,50+,4,449178,1.0
2022,50+,4,482371,1.0
2023,50+,4,503369,1.0
2024,50+,4,523907,1.0
2025,50+,4,535158,1.0
