year,age_group,n,asof_match,asof_match_rate
2019,22-25,4536544,4478393,0.987181651935923
2019,26-30,7429163,7009394,0.9434971341993708
2019,31-34,5671053,5389151,0.9502910658743623
2019,35-40,8047887,7692611,0.9558547479605516
2019,41-49,12748487,12245983,0.9605832441135956
2019,50+,23026848,21687982,0.941856306169216
2020,22-25,4115973,4115973,1.0
2020,26-30,7161810,7161810,1.0
2020,31-34,5728108,5728108,1.0
2020,35-40,8017718,8017718,1.0
2020,41-49,12522336,12522336,1.0
2020,50+,22747120,22747120,1.0
2021,22-25,4186391,4186391,1.0
2021,26-30,7057270,7057270,1.0
2021,31-34,6010867,6010867,1.0
2021,35-40,8216142,8216142,1.0
2021,41-49,12584741,12584741,1.0
2021,50+,23029953,23029953,1.0
2022,22-25,4484713,4451818,0.9926650824701603
2022,26-30,7087976,7022647,0.9907831234191538
2022,31-34,6424569,6373371,0.992030905108187
2022,35-40,8669131,8614912,0.9937457399132623
2022,41-49,12824719,12775616,0.9961712221530936
2022,50+,23659844,23631886,0.9988183354040712
2023,22-25,4482909,4403675,0.9823253159945919
2023,26-30,6799211,6633993,0.97570041582766
2023,31-34,6538495,6404098,0.9794452698977364
2023,35-40,8965048,8818695,0.9836751571213004
2023,41-49,12850415,12731723,0.9907635667797499
2023,50+,24494991,24428935,0.9973032853941445
