age_group,coef,se,pvalue,n_obs,status,variant,label
22-25,0.0080816930088088,0.0125571448493437,0.519839262339773,11208600,ok,A0_47L_anchor,"47L exactly, on 47L's own sample"
26-30,0.0130763471994544,0.0092473317649022,0.157342215001344,11208600,ok,A0_47L_anchor,"47L exactly, on 47L's own sample"
31-34,0.009091583350719,0.0088851029039384,0.306194881834469,11208600,ok,A0_47L_anchor,"47L exactly, on 47L's own sample"
35-40,-0.0044245878478714,0.0083428496522423,0.595872814330672,11208600,ok,A0_47L_anchor,"47L exactly, on 47L's own sample"
41-49,-0.0193200345371677,0.0089128411726143,0.0301843493654126,11208600,ok,A0_47L_anchor,"47L exactly, on 47L's own sample"
50+,0.0356706231812686,0.0143715561308943,0.0130636538785426,11208600,ok,A0_47L_anchor,"47L exactly, on 47L's own sample"
22-25,0.0085040254237268,0.0126623275503225,0.501838064427653,11075844,ok,A_occ_age_cont,"occupation, age-specific, continuous  (= 47L)"
26-30,0.0130539557925077,0.0092989059550012,0.160373557556118,11075844,ok,A_occ_age_cont,"occupation, age-specific, continuous  (= 47L)"
31-34,0.0091737631347448,0.0089195250947719,0.303713026513723,11075844,ok,A_occ_age_cont,"occupation, age-specific, continuous  (= 47L)"
35-40,-0.0043070650220203,0.0083728808980704,0.606967760252913,11075844,ok,A_occ_age_cont,"occupation, age-specific, continuous  (= 47L)"
41-49,-0.0191935692988384,0.0089450062218946,0.0318945164479805,11075844,ok,A_occ_age_cont,"occupation, age-specific, continuous  (= 47L)"
50+,0.0358375021628048,0.0144098363134866,0.0128819386823115,11075844,ok,A_occ_age_cont,"occupation, age-specific, continuous  (= 47L)"
22-25,-0.0277761348014367,0.0138443041384558,0.044821882451306,11075844,ok,B_occ_firm_cont,"occupation, firm incumbents, continuous"
26-30,-0.020312440722124,0.0092691159214426,0.0284220783781161,11075844,ok,B_occ_firm_cont,"occupation, firm incumbents, continuous"
31-34,-0.0230672094019363,0.0083546095185262,0.0057621877742357,11075844,ok,B_occ_firm_cont,"occupation, firm incumbents, continuous"
35-40,-0.0376123851052508,0.0078154485163654,1.49002416821708e-06,11075844,ok,B_occ_firm_cont,"occupation, firm incumbents, continuous"
41-49,-0.0493347750989893,0.0070601410539329,2.79252186061706e-12,11075844,ok,B_occ_firm_cont,"occupation, firm incumbents, continuous"
50+,,,,11075844,dropped,B_occ_firm_cont,"occupation, firm incumbents, continuous"
22-25,0.0232823515040076,0.0106407135508692,0.0286663833037827,11075844,ok,C_edu_age_cont,"education, age-specific, continuous"
26-30,0.0189108171571521,0.0067960317852327,0.0053920864454146,11075844,ok,C_edu_age_cont,"education, age-specific, continuous"
31-34,0.0029882537763498,0.0066474064790376,0.653044474120797,11075844,ok,C_edu_age_cont,"education, age-specific, continuous"
35-40,-0.0194660144045375,0.0064161828552659,0.0024141977057619,11075844,ok,C_edu_age_cont,"education, age-specific, continuous"
41-49,-0.0172646153207273,0.006724418561632,0.0102449260645484,11075844,ok,C_edu_age_cont,"education, age-specific, continuous"
50+,0.0258378824208262,0.0138271314573462,0.0616734051505905,11075844,ok,C_edu_age_cont,"education, age-specific, continuous"
22-25,-0.006679492459267,0.0107981813852279,0.536195923347754,11075844,ok,D_edu_firm_quart,"education, firm incumbents, quartile  (47j's exposure, inside 47L's specification)"
26-30,0.0014250252771698,0.0077911263280436,0.854873635627239,11075844,ok,D_edu_firm_quart,"education, firm incumbents, quartile  (47j's exposure, inside 47L's specification)"
31-34,-0.0080151479240402,0.0072018487645671,0.265738829652597,11075844,ok,D_edu_firm_quart,"education, firm incumbents, quartile  (47j's exposure, inside 47L's specification)"
35-40,-0.0249440794318674,0.0070140206721985,0.0003760905514098,11075844,ok,D_edu_firm_quart,"education, firm incumbents, quartile  (47j's exposure, inside 47L's specification)"
41-49,-0.0245696528033036,0.0065650314461813,0.0001821960343179,11075844,ok,D_edu_firm_quart,"education, firm incumbents, quartile  (47j's exposure, inside 47L's specification)"
50+,,,,11075844,dropped,D_edu_firm_quart,"education, firm incumbents, quartile  (47j's exposure, inside 47L's specification)"
