young_band,outcome,term,coef,se,n_obs,n_firms,status
22-25,stock,rbw_x_high_x_young,0.0213660363717715,0.0078271336837797,26410806,111459,ok
22-25,stock,q1_x_high_x_young,-0.125421817446925,0.0116446014339472,26410806,111459,ok
22-25,stock,q2_x_high_x_young,-0.121427875163474,0.0092575232754116,26410806,111459,ok
22-25,stock,q3_x_high_x_young,-0.0897179929924711,0.0125160082874341,26410806,111459,ok
22-25,stock,interim_x_high_x_young,0.0071140329702753,0.0134711021356591,26410806,111459,ok
22-25,stock,post_x_high_x_young,-0.0194054521995371,0.0184312438896748,26410806,111459,ok
26-30,stock,rbw_x_high_x_young,0.0222218554957965,0.0043303173607099,30535812,128193,ok
26-30,stock,q1_x_high_x_young,-0.045757041545449,0.0035098931336161,30535812,128193,ok
26-30,stock,q2_x_high_x_young,-0.0518538000234026,0.0028519862954991,30535812,128193,ok
26-30,stock,q3_x_high_x_young,-0.0403605019423152,0.0026319203784961,30535812,128193,ok
26-30,stock,interim_x_high_x_young,0.018768346688592,0.0078045157987555,30535812,128193,ok
26-30,stock,post_x_high_x_young,-0.0172057332215361,0.0120663488245464,30535812,128193,ok
22-25,hires,rbw_x_high_x_young,0.0523285417376132,0.0177762484637274,21536928,97563,ok
22-25,hires,q1_x_high_x_young,0.0018656371504122,0.0252419417574214,21536928,97563,ok
22-25,hires,q2_x_high_x_young,-0.0941003103630273,0.0301180670922224,21536928,97563,ok
22-25,hires,q3_x_high_x_young,0.150023557714565,0.0266394962335074,21536928,97563,ok
22-25,hires,interim_x_high_x_young,0.0252804995643026,0.0211372850350662,21536928,97563,ok
22-25,hires,post_x_high_x_young,0.0491400704403614,0.034088995923616,21536928,97563,ok
22-25,seps,rbw_x_high_x_young,0.00807870444372,0.0174337569713003,22229208,100763,ok
22-25,seps,q1_x_high_x_young,0.0315873994723585,0.0307439062625897,22229208,100763,ok
22-25,seps,q2_x_high_x_young,-0.0402884402436468,0.0278387102370584,22229208,100763,ok
22-25,seps,q3_x_high_x_young,0.16327139987316,0.0249307655141335,22229208,100763,ok
22-25,seps,interim_x_high_x_young,0.0412351832781922,0.0185344311863904,22229208,100763,ok
22-25,seps,post_x_high_x_young,0.0867851505059653,0.0243107584180972,22229208,100763,ok
