"term","rb_x_high_x_young","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000119421597894576,5.69144100236552e-05,-4.37764820404406e-06,-1.451654387333e-05,1.392908653534e-05,3.36808394520947e-06,-2.19067883228454e-05,7.28309956954094e-06,-3.85198615809375e-05,1.23363478341952e-05
"post_x_high_x_young",5.69144100236552e-05,0.000192222296832102,1.5802986904417e-05,-0.000109487548711139,2.61396467704797e-05,9.34463947850705e-06,-5.27550780840144e-07,5.48493755544294e-06,-3.75208744823621e-05,6.62066203830955e-06
"post_x_high_x_female",-4.37764820404406e-06,1.5802986904417e-05,1.36705222194364e-05,-1.23924164781837e-05,-7.21207129779478e-06,-2.18846620668647e-07,-7.03905337337674e-06,-2.30250109975619e-06,-3.67616458706176e-07,-5.55777545151086e-06
"post_x_high_x_young_x_female",-1.451654387333e-05,-0.000109487548711139,-1.23924164781837e-05,0.000170977778331926,-5.87100310770599e-06,-1.13681517070384e-05,2.17401406714799e-06,-9.93993527897058e-06,1.53111266027533e-05,-2.60727565425108e-06
"q1_x_high_x_young",1.392908653534e-05,2.61396467704797e-05,-7.21207129779478e-06,-5.87100310770599e-06,0.000124066772308784,-1.50858080415854e-06,6.52434989547024e-05,-1.62143951237294e-06,-1.96062597058497e-05,7.42750373241148e-07
"q1_x_high_x_young_x_female",3.36808394520947e-06,9.34463947850705e-06,-2.18846620668647e-07,-1.13681517070384e-05,-1.50858080415854e-06,5.44211988176691e-05,-1.94189945684834e-05,3.08880535257895e-05,-1.7938098230173e-05,-4.36623343666485e-06
"q2_x_high_x_young",-2.19067883228454e-05,-5.27550780840144e-07,-7.03905337337674e-06,2.17401406714799e-06,6.52434989547024e-05,-1.94189945684834e-05,9.10186025587069e-05,-1.33574686421195e-05,5.05400921576885e-05,9.0786984830729e-06
"q2_x_high_x_young_x_female",7.28309956954094e-06,5.48493755544294e-06,-2.30250109975619e-06,-9.93993527897058e-06,-1.62143951237294e-06,3.08880535257895e-05,-1.33574686421195e-05,3.29000932151198e-05,-1.0533898613493e-05,1.04781407739181e-05
"q3_x_high_x_young",-3.85198615809375e-05,-3.75208744823621e-05,-3.67616458706176e-07,1.53111266027533e-05,-1.96062597058497e-05,-1.7938098230173e-05,5.05400921576885e-05,-1.0533898613493e-05,0.000154213979439158,-7.57762868899425e-06
"q3_x_high_x_young_x_female",1.23363478341952e-05,6.62066203830955e-06,-5.55777545151086e-06,-2.60727565425108e-06,7.42750373241148e-07,-4.36623343666485e-06,9.0786984830729e-06,1.04781407739181e-05,-7.57762868899425e-06,4.8152958599115e-05
