"term","rb_x_high_x_young","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000245724017151388,5.06141354782446e-05,-1.62434401543631e-05,7.54316945437396e-06,-4.31657127100253e-05,-1.03874825179632e-05,-6.45116248959613e-05,5.1383377860366e-09,-3.61660966000535e-05,1.02085500536815e-05
"post_x_high_x_young",5.06141354782446e-05,0.000416999201018806,1.56681884314505e-05,-0.000239314487058659,3.79053197553922e-05,-1.59287283769857e-06,2.72372143048744e-05,-1.2119212418875e-05,-1.67407318743021e-05,3.37227930643851e-06
"post_x_high_x_female",-1.62434401543631e-05,1.56681884314505e-05,2.40883511570792e-05,-2.38085155069191e-05,2.55946354013937e-06,5.13486784532194e-06,-5.12344515100784e-06,1.07071559367421e-06,-5.94826454462596e-06,-2.78153980433461e-06
"post_x_high_x_young_x_female",7.54316945437396e-06,-0.000239314487058659,-2.38085155069191e-05,0.000407915745769688,-3.69438149878108e-05,-3.11733535240406e-05,-3.15174021375675e-05,-1.88132704840984e-05,-9.46134589752768e-06,6.64336143360377e-06
"q1_x_high_x_young",-4.31657127100253e-05,3.79053197553922e-05,2.55946354013937e-06,-3.69438149878108e-05,0.000293526660551083,-2.74525468363807e-05,0.000258246658915686,-5.70188998147753e-05,0.000106574628784913,-4.49170014328625e-05
"q1_x_high_x_young_x_female",-1.03874825179632e-05,-1.59287283769857e-06,5.13486784532194e-06,-3.11733535240406e-05,-2.74525468363807e-05,0.000113642496451304,-7.21716130374371e-05,7.23385485234032e-05,-8.23917413341558e-05,1.92518308988594e-05
"q2_x_high_x_young",-6.45116248959613e-05,2.72372143048744e-05,-5.12344515100784e-06,-3.15174021375675e-05,0.000258246658915686,-7.21716130374371e-05,0.00037394403561847,-8.47163112153794e-05,0.000242904495440408,-5.34876877050748e-05
"q2_x_high_x_young_x_female",5.1383377860366e-09,-1.2119212418875e-05,1.07071559367421e-06,-1.88132704840984e-05,-5.70188998147753e-05,7.23385485234032e-05,-8.47163112153794e-05,7.11873331470933e-05,-6.55644456731668e-05,3.56586547404282e-05
"q3_x_high_x_young",-3.61660966000535e-05,-1.67407318743021e-05,-5.94826454462596e-06,-9.46134589752768e-06,0.000106574628784913,-8.23917413341558e-05,0.000242904495440408,-6.55644456731668e-05,0.000289908357058805,-5.05274710153406e-05
"q3_x_high_x_young_x_female",1.02085500536815e-05,3.37227930643851e-06,-2.78153980433461e-06,6.64336143360377e-06,-4.49170014328625e-05,1.92518308988594e-05,-5.34876877050748e-05,3.56586547404282e-05,-5.05274710153406e-05,7.56656535342507e-05
