"term","rb_x_high_x_young","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000250708017171812,0.000143899198026647,-1.13215438663216e-05,-3.9114299106177e-05,1.30165012105762e-05,1.43791858271994e-05,-5.27440219853585e-05,1.43505338539789e-05,-4.07411542711329e-05,1.2185511076628e-05
"post_x_high_x_young",0.000143899198026647,0.000478885339060054,1.34235734887249e-05,-0.000281391134061025,2.79191314610869e-06,2.9208016716522e-05,-4.33729510377804e-05,2.55867134646816e-05,-6.86053981375923e-05,2.34728069877067e-05
"post_x_high_x_female",-1.13215438663216e-05,1.34235734887249e-05,3.17614443270216e-05,-1.23439234604715e-05,-2.33149448266327e-06,-1.16511564082569e-05,-3.16800193477724e-07,-8.20138454156964e-06,-9.33247206609717e-07,-6.93152883788043e-06
"post_x_high_x_young_x_female",-3.9114299106177e-05,-0.000281391134061025,-1.23439234604715e-05,0.000393625355252774,1.87232143936011e-05,-2.82860629998904e-05,1.51013312869273e-05,-2.0994163173166e-05,2.54608384664412e-05,-2.88189266764297e-05
"q1_x_high_x_young",1.30165012105762e-05,2.79191314610869e-06,-2.33149448266327e-06,1.87232143936011e-05,0.000125967980459197,-3.18854051378572e-05,8.85039601135131e-05,-2.45810936553827e-05,6.53972735095664e-05,-1.56217158690558e-05
"q1_x_high_x_young_x_female",1.43791858271994e-05,2.9208016716522e-05,-1.16511564082569e-05,-2.82860629998904e-05,-3.18854051378572e-05,6.73624505108728e-05,-3.48747974358564e-05,4.8983688179984e-05,-2.50728748404674e-05,1.74898698342722e-05
"q2_x_high_x_young",-5.27440219853585e-05,-4.33729510377804e-05,-3.16800193477724e-07,1.51013312869273e-05,8.85039601135131e-05,-3.48747974358564e-05,0.00012754377240735,-3.15011933424362e-05,9.9889058658456e-05,-9.66708639920142e-06
"q2_x_high_x_young_x_female",1.43505338539789e-05,2.55867134646816e-05,-8.20138454156964e-06,-2.0994163173166e-05,-2.45810936553827e-05,4.8983688179984e-05,-3.15011933424362e-05,5.42164012272237e-05,-2.00157707970191e-05,2.29770630186415e-05
"q3_x_high_x_young",-4.07411542711329e-05,-6.86053981375923e-05,-9.33247206609717e-07,2.54608384664412e-05,6.53972735095664e-05,-2.50728748404674e-05,9.9889058658456e-05,-2.00157707970191e-05,0.000149906716457859,-2.46071673964438e-05
"q3_x_high_x_young_x_female",1.2185511076628e-05,2.34728069877067e-05,-6.93152883788043e-06,-2.88189266764297e-05,-1.56217158690558e-05,1.74898698342722e-05,-9.66708639920142e-06,2.29770630186415e-05,-2.46071673964438e-05,5.74899795107544e-05
