young_band,term,coef,se,n_obs,status
22-25,q1_x_high_x_young,-0.148763646236308,0.0123359280116065,10781089,ok
22-25,q2_x_high_x_young,-0.126264370666219,0.009884676822299,10781089,ok
22-25,q3_x_high_x_young,-0.0910821224948455,0.0122546175797622,10781089,ok
22-25,rbw_x_high_x_young,0.0039215308305195,0.0078679781221484,10781089,ok
22-25,trend_x_high_x_young,0.0006033368185607,0.0007856113815443,10781089,ok
26-30,q1_x_high_x_young,-0.0416241679866066,0.0043819258229695,12401071,ok
26-30,q2_x_high_x_young,-0.039221355620036,0.003450560255501,12401071,ok
26-30,q3_x_high_x_young,-0.0378653083053962,0.0030651718777829,12401071,ok
26-30,rbw_x_high_x_young,-0.0010617499799771,0.003429521951591,12401071,ok
26-30,trend_x_high_x_young,0.0018741396543418,0.000439415596405,12401071,ok
