"term","pq_2019Q1_x_high_x_young","pq_2019Q2_x_high_x_young","pq_2019Q3_x_high_x_young","pq_2019Q4_x_high_x_young","pq_2020Q1_x_high_x_young","pq_2020Q2_x_high_x_young","pq_2020Q3_x_high_x_young","pq_2020Q4_x_high_x_young","pq_2021Q1_x_high_x_young","pq_2021Q2_x_high_x_young","pq_2021Q3_x_high_x_young","pq_2021Q4_x_high_x_young","pq_2022Q2_x_high_x_young","pq_2022Q3_x_high_x_young","pq_2022Q4_x_high_x_young","pq_2023Q1_x_high_x_young","pq_2023Q2_x_high_x_young","pq_2023Q3_x_high_x_young","pq_2023Q4_x_high_x_young","pq_2024Q1_x_high_x_young","pq_2024Q2_x_high_x_young","pq_2024Q3_x_high_x_young","pq_2024Q4_x_high_x_young","pq_2025Q1_x_high_x_young","pq_2025Q2_x_high_x_young"
"pq_2019Q1_x_high_x_young",0.00012824310117574,0.000123163632028075,0.000117531457069601,0.000110674328617509,8.32870427589794e-05,7.99343926905086e-05,7.39540514083168e-05,6.77454840514645e-05,3.55917654604538e-05,3.40860869281712e-05,3.26916728282365e-05,3.0506411925017e-05,8.86839056860214e-06,1.29966177331878e-05,1.54501753798334e-05,-3.78185302516969e-07,2.34951198769775e-06,1.67779887452431e-06,-1.25735644995755e-06,-1.77683323087774e-05,-1.65664675870638e-05,-1.49023423952143e-05,-1.606530770153e-05,-2.61177542923696e-05,8.34151218314032e-06
"pq_2019Q2_x_high_x_young",0.000123163632028075,0.000125346990014461,0.000120379310602761,0.00011287531870533,8.37309048650447e-05,8.4217291946187e-05,7.90957183859835e-05,7.13817302206988e-05,3.76339054697094e-05,3.80624568514725e-05,3.79916329451479e-05,3.39596560689432e-05,1.08324165096729e-05,1.59502907594151e-05,1.73335844281925e-05,-2.26990778107821e-06,3.90242513466269e-06,4.37144327355405e-06,2.36437662179642e-08,-1.9991348702629e-05,-1.67232856038666e-05,-1.32436512594744e-05,-1.53695104195538e-05,-2.9725050863713e-05,8.33466590098527e-06
"pq_2019Q3_x_high_x_young",0.000117531457069601,0.000120379310602761,0.000123283810121324,0.000113347487720598,8.17585417399784e-05,8.43921861277084e-05,8.29340570185559e-05,7.16694530974289e-05,3.57351391606298e-05,3.74319858393335e-05,4.25611647709931e-05,3.61109142264222e-05,1.15962030543714e-05,2.11684972636068e-05,1.97998395475178e-05,-3.53846713998826e-06,3.79262926695302e-06,8.44705286537015e-06,1.58155516616976e-06,-2.20099001751443e-05,-1.69396744652205e-05,-8.89512103131064e-06,-1.31931833141115e-05,-3.01045843085923e-05,8.69783609359658e-06
"pq_2019Q4_x_high_x_young",0.000110674328617509,0.00011287531870533,0.000113347487720598,0.000112979350163065,8.27087117523915e-05,8.18123743197652e-05,7.76715484325779e-05,7.12808032098257e-05,3.51572602697305e-05,3.56275928992393e-05,3.71326325285058e-05,3.66712519608648e-05,9.76492770015198e-06,1.60338893885461e-05,2.00965490534561e-05,-2.08326959593046e-06,2.74863877221987e-06,4.37681633358749e-06,3.53224377229184e-06,-1.94906316836894e-05,-1.62110440261605e-05,-1.1452402280411e-05,-1.03511711084236e-05,-2.9361651129008e-05,2.94363637678751e-06
"pq_2020Q1_x_high_x_young",8.32870427589794e-05,8.37309048650447e-05,8.17585417399784e-05,8.27087117523915e-05,7.38129468182143e-05,6.65278155344439e-05,5.99829084549696e-05,5.47218293975475e-05,3.0939303218123e-05,2.73958558439995e-05,2.42083881234773e-05,2.44888616298978e-05,4.44156752545567e-06,5.91848084525292e-06,9.55235605988532e-06,-1.4813616756338e-06,-1.11599381215077e-06,-2.82086567419112e-06,-1.61600931942131e-06,-1.17237137710996e-05,-1.19853423914197e-05,-1.12181462941167e-05,-8.92140181613208e-06,-1.66495575552552e-05,5.57678089487293e-06
"pq_2020Q2_x_high_x_young",7.99343926905086e-05,8.4217291946187e-05,8.43921861277084e-05,8.18123743197652e-05,6.65278155344439e-05,7.58092496822036e-05,6.87666419697937e-05,5.91720192710285e-05,3.24721151434903e-05,3.35055637504807e-05,3.27026184652351e-05,2.85962009865384e-05,8.25816261996774e-06,1.32343714668816e-05,1.3765751318048e-05,-1.89904307461028e-06,3.4621743335051e-06,6.88868655162672e-06,3.87229769261952e-06,-1.07108916296338e-05,-7.3784754025031e-06,-1.16491312413988e-06,-2.54903096330706e-06,-1.28672725539578e-05,7.75567542910562e-06
"pq_2020Q3_x_high_x_young",7.39540514083168e-05,7.90957183859835e-05,8.29340570185559e-05,7.76715484325779e-05,5.99829084549696e-05,6.87666419697937e-05,7.15963080293218e-05,6.0381180545948e-05,3.22493932888468e-05,3.36305168854141e-05,3.751207249584e-05,3.02848177754636e-05,9.25348434803676e-06,1.78252481017895e-05,1.5812935028191e-05,-3.28919506128504e-06,4.73608754769467e-06,1.06456396830084e-05,4.68273658788886e-06,-1.31135646603262e-05,-8.00581238581895e-06,4.09283855888596e-07,-3.99437709209916e-06,-1.66872309845275e-05,7.70052792461135e-06
"pq_2020Q4_x_high_x_young",6.77454840514645e-05,7.13817302206988e-05,7.16694530974289e-05,7.12808032098257e-05,5.47218293975475e-05,5.91720192710285e-05,6.0381180545948e-05,5.90944368998157e-05,3.22851361972934e-05,3.23871067324307e-05,3.23287971773895e-05,2.97265080912382e-05,6.97377957611054e-06,1.20130530612862e-05,1.52152258310068e-05,-2.30958449898186e-06,2.87447260335135e-06,5.50417944194905e-06,4.48025831799401e-06,-1.32612101202582e-05,-9.97211219837723e-06,-5.68327469783511e-06,-5.48631557563127e-06,-1.99158967012793e-05,2.6797579950395e-06
"pq_2021Q1_x_high_x_young",3.55917654604538e-05,3.76339054697094e-05,3.57351391606298e-05,3.51572602697305e-05,3.0939303218123e-05,3.24721151434903e-05,3.22493932888468e-05,3.22851361972934e-05,2.96296427534106e-05,2.48566291215943e-05,1.93844273197377e-05,1.53943662842659e-05,1.06164908621501e-06,7.59122676724124e-07,2.76758374925836e-06,-1.11936441038888e-06,1.06501500951826e-06,6.71536592924521e-07,-4.69060952252293e-07,-6.29463426144457e-06,-5.73380848161467e-06,-5.02286720856172e-06,-3.91867501648858e-06,-7.63658289029615e-06,2.93859064444223e-06
"pq_2021Q2_x_high_x_young",3.40860869281712e-05,3.80624568514725e-05,3.74319858393335e-05,3.56275928992393e-05,2.73958558439995e-05,3.35055637504807e-05,3.36305168854141e-05,3.23871067324307e-05,2.48566291215943e-05,2.82382557522893e-05,2.39578853666808e-05,1.94355998694909e-05,5.10765108132002e-06,6.23419368806622e-06,7.20185626315109e-06,-3.18550356192793e-06,1.66789967850919e-06,3.364796310167e-06,1.40810863659858e-06,-8.11255824536777e-06,-5.22552485470379e-06,-2.48072260890991e-06,-2.8162942855448e-06,-1.07581347870519e-05,6.00561485819149e-07
