ssyk3,score3,n_weight,n_ssyk4,item
111,65.4230051401734,3460,2,book
112,64.889999,21917,1,book
121,86.02352046084157,19868,2,book
122,78.74479599168832,9625,2,book
123,66.779999,11445,1,book
124,91.04858053076923,4680,2,book
125,86.42175266530226,32737,2,book
129,66.07600155161825,25398,2,book
131,88.51731721708445,12327,2,book
132,68.05790142277728,12451,2,book
133,84.13587710656789,7019,2,book
134,74.65566447034537,12595,2,book
135,65.87812877346137,4582,2,book
136,56.099330086836225,18794,2,book
137,49.593338883746775,17092,2,book
138,14.3,866,1,book
141,64.43951855595668,14127,2,book
142,67.04448171259993,5254,2,book
149,63.2787789694323,1374,2,book
151,68.49316429188326,15006,2,book
152,59.511139950792334,5995,2,book
153,60.89500665734817,11411,2,book
154,62.060001,1068,1,book
159,75.11386035747596,21014,2,book
161,69.44928929644632,5431,2,book
171,39.27606255778895,1592,2,book
172,32.666078421401274,7850,2,book
173,45.02624402905783,10221,2,book
174,58.771258199165175,1677,2,book
179,69.95235359111958,7342,2,book
211,89.21063330696332,7281,4,book
212,99.57814405265226,2545,2,book
213,67.83834243149904,7905,5,book
214,92.6866620976243,103591,7,book
216,88.76076880649362,13059,4,book
217,87.03458191293214,15620,4,book
218,62.29346075331377,9883,3,book
221,57.28842726710147,52130,4,book
222,37.6232772047097,102257,8,book
223,39.66754416981539,27789,6,book
224,81.24465465281435,12152,2,book
225,41.02,2984,1,book
226,33.919998,7675,1,book
227,49.337704757094315,24421,3,book
228,57.59165354093425,10297,5,book
231,89.23789762195955,46868,5,book
232,48.349998,12360,1,book
233,74.110001,37389,1,book
234,69.76826204097179,217662,3,book
235,69.06057595812723,46498,3,book
241,94.94713198341549,55775,6,book
242,92.26382284129885,137321,3,book
243,86.91935956992639,42795,2,book
251,97.4390975190702,142998,7,book
261,78.61898971636214,26763,6,book
262,84.82766098017301,13063,3,book
264,92.08005701050816,17986,3,book
265,63.29460732676952,14778,5,book
266,54.07927052859009,52833,4,book
267,59.466489471048824,4853,2,book
311,55.199635587182485,116606,8,book
312,32.55609952270251,27530,2,book
315,39.692127238982756,5741,5,book
321,50.40227660219161,31940,5,book
323,41.25,381,1,book
324,29.67,2766,1,book
325,28.01,4448,1,book
331,83.61266730196704,66547,4,book
332,75.1199582658955,139788,4,book
333,70.10636075817524,35687,6,book
334,73.60516898762855,19157,3,book
335,69.82814237865321,54678,6,book
336,31.559999,18896,1,book
341,46.220001,22588,1,book
342,38.75833577099438,30270,4,book
343,56.85599544182351,8182,4,book
344,68.61768533193863,7887,2,book
345,31.142901268615557,3626,2,book
351,76.99722913848572,47059,5,book
352,49.19559658727901,4921,2,book
411,89.24917824262953,187335,8,book
421,59.26324588930233,2150,2,book
422,76.05389360380511,64650,6,book
432,50.239505076514774,102111,3,book
441,55.439999,4126,1,book
442,20.92,18251,1,book
443,56.619999,2673,1,book
511,33.972739119120654,9780,3,book
512,34.16,43002,1,book
513,21.68048228099275,24417,2,book
514,46.11612074659787,13374,5,book
515,19.756176431904706,48858,2,book
516,37.84292586117597,4711,2,book
522,42.833336869821714,206463,7,book
523,48.110001,10012,1,book
524,64.9439583510361,8059,2,book
531,51.1710202807055,135847,2,book
532,26.123307275607367,204078,6,book
533,29.910000000000004,72861,1,book
534,31.245633896665257,193778,4,book
535,27.780001,12759,1,book
541,25.59004862259897,45241,5,book
611,15.68367900267181,20473,3,book
612,32.182620541237114,9894,3,book
613,13.36,5023,1,book
621,29.430000000000003,5932,1,book
622,11.9963,600,2,book
711,24.954310015165202,103810,7,book
712,12.038258221893482,37233,6,book
713,7.784890999915858,24958,3,book
721,16.215368384813612,26155,5,book
722,18.097318318734203,57766,4,book
723,14.866630752657935,63301,3,book
731,42.763043049934296,4566,3,book
732,37.23403958418681,7323,3,book
741,27.161241066085996,43398,3,book
742,34.400002,10135,1,book
752,14.422876847622478,11104,3,book
753,23.912725280677723,2774,4,book
761,28.709190575146017,8047,4,book
811,5.612732103153135,9952,6,book
812,6.416555171272063,16430,3,book
813,22.774482134839392,5666,2,book
814,11.384205426939655,13920,3,book
815,11.40693674756354,5233,2,book
816,22.75015863010478,14888,4,book
817,11.222503797811525,17318,4,book
818,15.183235864378878,7897,2,book
819,34.124031499678395,20833,4,book
821,26.368602645410704,52252,5,book
831,12.731775857262335,7174,2,book
832,17.61677261613692,20859,2,book
833,22.77575773932951,88234,2,book
834,7.812878276117205,36824,4,book
835,1.7699999999999998,1436,1,book
911,11.233867091320953,90851,2,book
912,2.25,7027,1,book
921,2.9599999999999995,3672,1,book
931,1.0599999,7325,1,book
932,4.6100001,9414,1,book
933,18.048977035490605,10538,2,book
941,5.8876295322637375,69933,3,book
952,54.959999,239,1,book
961,26.6,9154,1,book
962,20.406231001860636,42996,3,book
ALL,4669540.0,4669540,423,n_workers
ALL,423.0,4669540,423,n_ssyk4
ALL,145.0,4669540,423,n_ssyk3
ALL,30.0,4669540,423,n_ssyk3_single_occupation
ALL,0.0787709281856457,4669540,423,employment_share_in_single_groups
ALL,51.519989601028485,4669540,423,mean_score
ALL,804.3107808286443,4669540,423,variance_total
ALL,760.5873887641849,4669540,423,variance_between
ALL,43.723392064459404,4669540,423,variance_within
ALL,0.9456386845649225,4669540,423,share_between
ALL,0.05436131543507748,4669540,423,share_within
ALL,4.2638783732441485,4669540,423,mean_abs_difference
