source,route,matched,with_outcome,high_with_outcome
ITFtg_Stora_2021,occupation,4163,4143,1373
ITFtg_Stora_2021,education,4173,4153,1191
ITFtg_Stora_2023,occupation,3597,3587,1169
ITFtg_Stora_2023,education,3611,3601,1030
ai_fouftg_2019_2021,occupation,12532,12532,4971
ai_fouftg_2019_2021,education,12591,12591,4562
ai_fouoff_2019_2021,occupation,1006,1006,341
ai_fouoff_2019_2021,education,1010,1010,375
ai_fufi_2019,occupation,3824,3823,1366
ai_fufi_2019,education,3841,3840,1217
ai_itftg_2019,occupation,3812,3812,1220
ai_itftg_2019,education,3829,3829,1019
BITA_2024,occupation,2310,2285,712
BITA_2024,education,2321,2296,723
