band,term,coef,se,spec,t,edu_share_of_baseline,edu_baseline_on_balance_sheet_sample
22-25,baseline_on_balance_sheet_sample,-0.0886804635801669,0.0115610562158994,credit,-7.670619528534829,1.02,-0.0695
22-25,post_x_high_x_young,-0.10620900183137,0.0173921990682641,credit,-6.10670343724226,1.02,-0.0695
22-25,post_x_young_x_lev,-0.0075279716363306,0.0087689562767907,credit,-0.8584797778334595,1.02,-0.0695
22-25,post_x_high_x_young_x_lev,0.0318659615217865,0.0267113477880746,credit,1.1929746778263732,1.02,-0.0695
26-30,baseline_on_balance_sheet_sample,-0.0571756676478102,0.0087760765929437,credit,-6.514946290895138,1.05,-0.0516
26-30,post_x_high_x_young,-0.0924767731860132,0.0146597619953349,credit,-6.308204267943887,1.05,-0.0516
26-30,post_x_young_x_lev,-0.0186097886366101,0.0071659059716872,credit,-2.596990347087747,1.05,-0.0516
26-30,post_x_high_x_young_x_lev,0.0649753572464662,0.0200348022220625,credit,3.2431244654321953,1.05,-0.0516
22-25,full_panel_baseline,-0.0657758539610084,0.0125241201574103,full panel,-5.251934118668607,,
26-30,full_panel_baseline,-0.0498353100330262,0.0079976603921087,full panel,-6.231236085267981,,
