young_band,spec,n_firms,n_exposed_firms,floor,n_scored,term,coef,se,n_obs,status,t,tercile_low,tercile_high
22-25,floor_5,104217,27228,5,262089,rb_x_high_x_young,0.0159026409405227,0.0074886603471222,24884226,ok,2.1235628541537324,,
22-25,floor_5,104217,27228,5,262089,q1_x_high_x_young,-0.134787464953136,0.0114145829314069,24884226,ok,-11.808356535066396,,
22-25,floor_5,104217,27228,5,262089,q2_x_high_x_young,-0.130545915915884,0.0091294443157106,24884226,ok,-14.29943722765593,,
22-25,floor_5,104217,27228,5,262089,q3_x_high_x_young,-0.107186315695762,0.0118105653718988,24884226,ok,-9.075460176596906,,
22-25,floor_5,104217,27228,5,262089,interim_x_high_x_young,-0.0179179369340303,0.0096626258479721,24884226,ok,-1.8543548323141112,,
22-25,floor_5,104217,27228,5,262089,post_x_high_x_young,-0.0577798336502001,0.0154935051191686,24884226,ok,-3.7292938689977104,,
22-25,floor_60,52333,13421,60,68054,rb_x_high_x_young,0.0172829200114704,0.0081753935757211,13774374,ok,2.114016878991172,,
22-25,floor_60,52333,13421,60,68054,q1_x_high_x_young,-0.135367376894392,0.0127103353149053,13774374,ok,-10.650181410686141,,
22-25,floor_60,52333,13421,60,68054,q2_x_high_x_young,-0.135967230810868,0.0102056958252345,13774374,ok,-13.32268109291253,,
22-25,floor_60,52333,13421,60,68054,q3_x_high_x_young,-0.112032838192828,0.0131125316274591,13774374,ok,-8.543951799377838,,
22-25,floor_60,52333,13421,60,68054,interim_x_high_x_young,-0.0128026550059111,0.0105700554011921,13774374,ok,-1.2112192907207662,,
22-25,floor_60,52333,13421,60,68054,post_x_high_x_young,-0.053724408122713,0.0169224895864099,13774374,ok,-3.1747342994885317,,
26-30,floor_5,117090,32985,5,262089,rb_x_high_x_young,0.0183900247256397,0.0044229201167001,28077246,ok,4.157892125657545,,
26-30,floor_5,117090,32985,5,262089,q1_x_high_x_young,-0.0479646267899153,0.0034729535357405,28077246,ok,-13.810903686532717,,
26-30,floor_5,117090,32985,5,262089,q2_x_high_x_young,-0.0530060156588674,0.0028452154852973,28077246,ok,-18.629877396906103,,
26-30,floor_5,117090,32985,5,262089,q3_x_high_x_young,-0.0439262776938786,0.0025510388230449,28077246,ok,-17.218976558517657,,
26-30,floor_5,117090,32985,5,262089,interim_x_high_x_young,-0.0079610883383595,0.0057058017212049,28077246,ok,-1.3952620030193317,,
26-30,floor_5,117090,32985,5,262089,post_x_high_x_young,-0.0482395072048235,0.0103523581787355,28077246,ok,-4.659760256741404,,
26-30,floor_60,57113,15887,60,68054,rb_x_high_x_young,0.0193958804667062,0.0046851933794042,15024474,ok,4.139824954071097,,
26-30,floor_60,57113,15887,60,68054,q1_x_high_x_young,-0.0484298130703998,0.0037399541070224,15024474,ok,-12.949306778782283,,
26-30,floor_60,57113,15887,60,68054,q2_x_high_x_young,-0.0548467215623994,0.0030860589915852,15024474,ok,-17.77241514564392,,
26-30,floor_60,57113,15887,60,68054,q3_x_high_x_young,-0.0456244138977097,0.0027476540805026,15024474,ok,-16.604860932626607,,
26-30,floor_60,57113,15887,60,68054,interim_x_high_x_young,-0.0092159562464071,0.0060831861935406,15024474,ok,-1.5149883553117305,,
26-30,floor_60,57113,15887,60,68054,post_x_high_x_young,-0.0498315524081441,0.0109881431693232,15024474,ok,-4.5350294076313356,,
22-25,tercile_2,39215,11170,5,170488,rb_x_high_x_young,0.0294698568750579,0.0153800128986973,8036496,ok,1.9161139245568526,1.0,3.0
22-25,tercile_2,39215,11170,5,170488,q1_x_high_x_young,-0.11362299846076,0.0078838254761375,8036496,ok,-14.412165617398598,1.0,3.0
22-25,tercile_2,39215,11170,5,170488,q2_x_high_x_young,-0.0777175212412719,0.0069239421856608,8036496,ok,-11.22446131948093,1.0,3.0
22-25,tercile_2,39215,11170,5,170488,q3_x_high_x_young,-0.0457281037371007,0.0072897365921749,8036496,ok,-6.272943220772491,1.0,3.0
22-25,tercile_2,39215,11170,5,170488,interim_x_high_x_young,-0.0389826827852025,0.0154749162069489,8036496,ok,-2.5190884566921015,1.0,3.0
22-25,tercile_2,39215,11170,5,170488,post_x_high_x_young,-0.057759348069524,0.022274165791771,8036496,ok,-2.5931093720628895,1.0,3.0
26-30,tercile_2,45195,13579,5,170488,rb_x_high_x_young,0.0278134501784422,0.0119671100080234,9448542,ok,2.3241576420534744,1.0,3.0
26-30,tercile_2,45195,13579,5,170488,q1_x_high_x_young,-0.0291447443730503,0.0053110886216932,9448542,ok,-5.487527407094709,1.0,3.0
