young_band,outcome,arm,floor,level,n_firms,share_not_2019,share_three_digit,term,coef,se,n_obs,status,t,edu_coef,edu_se
22-25,stock,backward,5,uniform3,104217,0.06338764020008548,1.0,rb_x_high_x_young,0.0159026409405227,0.0074886603471222,24884226,ok,2.1235628541537324,,
22-25,stock,backward,5,uniform3,104217,0.06338764020008548,1.0,q1_x_high_x_young,-0.134787464953136,0.0114145829314069,24884226,ok,-11.808356535066396,,
22-25,stock,backward,5,uniform3,104217,0.06338764020008548,1.0,q2_x_high_x_young,-0.130545915915884,0.0091294443157106,24884226,ok,-14.29943722765593,,
22-25,stock,backward,5,uniform3,104217,0.06338764020008548,1.0,q3_x_high_x_young,-0.107186315695762,0.0118105653718988,24884226,ok,-9.075460176596906,,
22-25,stock,backward,5,uniform3,104217,0.06338764020008548,1.0,interim_x_high_x_young,-0.0179179369340303,0.0096626258479721,24884226,ok,-1.8543548323141112,,
22-25,stock,backward,5,uniform3,104217,0.06338764020008548,1.0,post_x_high_x_young,-0.0577798336502001,0.0154935051191686,24884226,ok,-3.7292938689977104,-0.0408,0.015
26-30,stock,backward,5,uniform3,117090,0.06345408010274257,1.0,rb_x_high_x_young,0.0183900247256397,0.0044229201167001,28077246,ok,4.157892125657545,,
26-30,stock,backward,5,uniform3,117090,0.06345408010274257,1.0,q1_x_high_x_young,-0.0479646267899153,0.0034729535357405,28077246,ok,-13.810903686532717,,
26-30,stock,backward,5,uniform3,117090,0.06345408010274257,1.0,q2_x_high_x_young,-0.0530060156588674,0.0028452154852973,28077246,ok,-18.629877396906103,,
26-30,stock,backward,5,uniform3,117090,0.06345408010274257,1.0,q3_x_high_x_young,-0.0439262776938786,0.0025510388230449,28077246,ok,-17.218976558517657,,
26-30,stock,backward,5,uniform3,117090,0.06345408010274257,1.0,interim_x_high_x_young,-0.0079610883383595,0.0057058017212049,28077246,ok,-1.3952620030193317,,
26-30,stock,backward,5,uniform3,117090,0.06345408010274257,1.0,post_x_high_x_young,-0.0482395072048235,0.0103523581787355,28077246,ok,-4.659760256741404,-0.0394,0.0102
22-25,stock,backward,5,mixed43,104217,0.06338764020008548,0.0025317437276058154,rb_x_high_x_young,0.0162200888297282,0.0074421123652618,24884226,ok,2.179500662397968,,
