young_band,shape,period,coef,se,t,n_firms,n_obs,status
22-25,quarter,2022Q4,0.028919566014878,0.0049940878666754,5.79076035242647,104217,24884226,ok
22-25,quarter,2023Q1,-0.0050789103846059,0.0101145190596459,-0.5021405718507498,104217,24884226,ok
22-25,quarter,2023Q2,-0.0140402486312299,0.0108108628166099,-1.2987167508645419,104217,24884226,ok
22-25,quarter,2023Q3,-0.0206240502769089,0.0112194952410953,-1.8382333459500166,104217,24884226,ok
22-25,quarter,2023Q4,-0.03033834621833,0.0120742724776545,-2.5126438279802183,104217,24884226,ok
22-25,quarter,2024Q1,-0.0261970063887341,0.014481649283149,-1.8089794799282435,104217,24884226,ok
22-25,quarter,2024Q2,-0.0396961796351299,0.0150286876092694,-2.6413603547555327,104217,24884226,ok
22-25,quarter,2024Q3,-0.0691252229102997,0.0145552602349468,-4.749157472590689,104217,24884226,ok
22-25,quarter,2024Q4,-0.0717052038445452,0.0169117956458173,-4.239952122545879,104217,24884226,ok
22-25,quarter,2025Q1,-0.0239193905312154,0.0233662852085702,-1.0236710849717068,104217,24884226,ok
22-25,quarter,2025Q2,-0.0750846953141707,0.0244791573949122,-3.067290842689563,104217,24884226,ok
22-25,month,2022-12,-0.0036820303179977,0.0060303665989997,-0.610581505709531,104217,24884226,ok
22-25,month,2023-01,-0.0016952754117465,0.0115051186261382,-0.14734966816378972,104217,24884226,ok
22-25,month,2023-02,-0.0088022727680046,0.0105579002691206,-0.8337143317927713,104217,24884226,ok
22-25,month,2023-03,-0.0177520529706595,0.0100910489408355,-1.7591880759612786,104217,24884226,ok
22-25,month,2023-04,-0.0065957929154846,0.0128116494657072,-0.51482776930008,104217,24884226,ok
22-25,month,2023-05,-0.0148166776631327,0.0125821143567014,-1.1775983942826862,104217,24884226,ok
22-25,month,2023-06,-0.0250934741519273,0.0107818121310753,-2.327389296610259,104217,24884226,ok
22-25,month,2023-07,-0.0257255667917744,0.0114963266304737,-2.237720588381925,104217,24884226,ok
22-25,month,2023-08,-0.0242542371659087,0.0118240054830889,-2.0512707982585043,104217,24884226,ok
22-25,month,2023-09,-0.0174213928966848,0.0116630279750869,-1.493728123939872,104217,24884226,ok
22-25,month,2023-10,-0.0316980884612985,0.0122579505458713,-2.585920733052312,104217,24884226,ok
22-25,month,2023-11,-0.0441781432487495,0.0127816674419566,-3.456367758695713,104217,24884226,ok
22-25,month,2023-12,-0.0373008980591851,0.0128592173816127,-2.90071292460779,104217,24884226,ok
22-25,month,2024-01,-0.0238998682330699,0.0178335270071667,-1.340164972608354,104217,24884226,ok
22-25,month,2024-02,-0.0287189339856544,0.0159554963689603,-1.7999398653321745,104217,24884226,ok
22-25,month,2024-03,-0.0385740275558798,0.014649973804586,-2.633044131710642,104217,24884226,ok
22-25,month,2024-04,-0.0242796803525417,0.0162519694303139,-1.493953114830142,104217,24884226,ok
22-25,month,2024-05,-0.0432145152248068,0.0159869504605175,-2.703111849350657,104217,24884226,ok
22-25,month,2024-06,-0.0556083145765351,0.0149193143925753,-3.727270108618997,104217,24884226,ok
22-25,month,2024-07,-0.0623885205298421,0.0149872135503014,-4.162783183174663,104217,24884226,ok
22-25,month,2024-08,-0.0762738869157379,0.0149233628432358,-5.111038826634842,104217,24884226,ok
22-25,month,2024-09,-0.0742118310764756,0.0146100518285444,-5.079504983786859,104217,24884226,ok
22-25,month,2024-10,-0.072645571429638,0.0159587042500718,-4.552097105835592,104217,24884226,ok
22-25,month,2024-11,-0.0731955277483016,0.0224310970802714,-3.2631274113060895,104217,24884226,ok
22-25,month,2024-12,-0.0913171002149986,0.0165267896659349,-5.525398583804927,104217,24884226,ok
22-25,month,2025-01,-0.0419503497728471,0.024515938039374,-1.7111460187846954,104217,24884226,ok
22-25,month,2025-02,0.0007428117940258,0.0312397088165376,0.02377780786588421,104217,24884226,ok
22-25,month,2025-03,-0.0417367328859589,0.023578202995847,-1.7701405358716393,104217,24884226,ok
22-25,month,2025-04,-0.0393557881366244,0.0213325989593205,-1.8448660761716205,104217,24884226,ok
22-25,month,2025-05,-0.0643187221900332,0.0208458151359387,-3.085450090130855,104217,24884226,ok
22-25,month,2025-06,-0.122313592975476,0.0418126723038818,-2.9252756696950146,104217,24884226,ok
26-30,quarter,2022Q4,0.0077383397337696,0.002478114805006,3.122672007825265,117090,28077246,ok
26-30,quarter,2023Q1,-0.0038589958145376,0.0053539260436807,-0.7207786926927049,117090,28077246,ok
26-30,quarter,2023Q2,-0.0041605514174899,0.0062613024754219,-0.66448657189486,117090,28077246,ok
26-30,quarter,2023Q3,-0.0104723671657391,0.0066224615603677,-1.5813405740867208,117090,28077246,ok
26-30,quarter,2023Q4,-0.0168498014039247,0.0070644573956546,-2.3851515353874366,117090,28077246,ok
26-30,quarter,2024Q1,-0.0214744272194747,0.0085951140211905,-2.498445880593484,117090,28077246,ok
26-30,quarter,2024Q2,-0.0247849131185796,0.0097721471970713,-2.536281189666034,117090,28077246,ok
26-30,quarter,2024Q3,-0.0372898340165844,0.0099691989526088,-3.7405045474417156,117090,28077246,ok
26-30,quarter,2024Q4,-0.0457119373302369,0.0104556438678171,-4.371986833918484,117090,28077246,ok
26-30,quarter,2025Q1,-0.0716538405088977,0.0127750232862871,-5.608900970522066,117090,28077246,ok
26-30,quarter,2025Q2,-0.0901477036570656,0.015856214007165,-5.68532334492523,117090,28077246,ok
26-30,month,2022-12,-2.27256817860975e-05,0.0030660045387363,-0.007412148775051791,117090,28077246,ok
26-30,month,2023-01,-0.0013638176297917,0.0055270917480026,-0.24675140055067135,117090,28077246,ok
26-30,month,2023-02,-0.0026128994434484,0.0058107135496666,-0.449669291235036,117090,28077246,ok
26-30,month,2023-03,-0.0103868649766768,0.0055767531750387,-1.8625290829022068,117090,28077246,ok
26-30,month,2023-04,-0.0023842625981897,0.0063014467331696,-0.3783674922838594,117090,28077246,ok
26-30,month,2023-05,-0.0004726855130646,0.0075044177904485,-0.06298763292020153,117090,28077246,ok
26-30,month,2023-06,-0.0108302626467139,0.0064036686317253,-1.691259068756025,117090,28077246,ok
26-30,month,2023-07,-0.0104023471368216,0.0066086545845935,-1.5740491508017667,117090,28077246,ok
26-30,month,2023-08,-0.0111288130094191,0.0067919685902217,-1.6385253938660866,117090,28077246,ok
26-30,month,2023-09,-0.0110687974423408,0.0068963364298956,-1.605025734295327,117090,28077246,ok
26-30,month,2023-10,-0.0171882514752111,0.0068677393706503,-2.502752441169526,117090,28077246,ok
26-30,month,2023-11,-0.0217935170993779,0.007812321881225,-2.7896337901480064,117090,28077246,ok
26-30,month,2023-12,-0.0167583608891036,0.0075638761015503,-2.2155784500051223,117090,28077246,ok
26-30,month,2024-01,-0.017884826625753,0.0087703313968582,-2.039241827527736,117090,28077246,ok
26-30,month,2024-02,-0.0199956539886173,0.0090160397110956,-2.217786814316004,117090,28077246,ok
26-30,month,2024-03,-0.0293377366874504,0.0088021301822341,-3.333026901449904,117090,28077246,ok
26-30,month,2024-04,-0.0203735408424195,0.0099028613330843,-2.057338799075565,117090,28077246,ok
26-30,month,2024-05,-0.0218871055838626,0.0105071262056395,-2.083072493420238,117090,28077246,ok
26-30,month,2024-06,-0.0332151042545502,0.0097913799093279,-3.3922802058683628,117090,28077246,ok
26-30,month,2024-07,-0.0323606757602709,0.0100595568588476,-3.2169086784184713,117090,28077246,ok
26-30,month,2024-08,-0.0379926069146813,0.0100715503203467,-3.772269978925494,117090,28077246,ok
26-30,month,2024-09,-0.0426357909716632,0.0100669105921223,-4.23524084986184,117090,28077246,ok
26-30,month,2024-10,-0.0448940123846744,0.0105255401247935,-4.2652454745694275,117090,28077246,ok
26-30,month,2024-11,-0.0490674311720265,0.010725566190534,-4.574810345707591,117090,28077246,ok
26-30,month,2024-12,-0.0483398722643036,0.0107877474241984,-4.480997780488503,117090,28077246,ok
26-30,month,2025-01,-0.0722494364393166,0.0130014661054193,-5.557022250683054,117090,28077246,ok
26-30,month,2025-02,-0.0662587280259105,0.013463258990371,-4.921447925297962,117090,28077246,ok
26-30,month,2025-03,-0.0791525367168245,0.012852653062676,-6.158458983591708,117090,28077246,ok
26-30,month,2025-04,-0.0736069323175524,0.0132737474660616,-5.545301543949895,117090,28077246,ok
