"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30","gpt_x_high_31_34","rb_x_high_31_34","q1_x_high_31_34","q2_x_high_31_34","q3_x_high_31_34","gpt_x_high_35_40","rb_x_high_35_40","q1_x_high_35_40","q2_x_high_35_40","q3_x_high_35_40","gpt_x_high_50_64","rb_x_high_50_64","q1_x_high_50_64","q2_x_high_50_64","q3_x_high_50_64","gpt_x_high_65_69","rb_x_high_65_69","q1_x_high_65_69","q2_x_high_65_69","q3_x_high_65_69"
"gpt_x_high_22_25",0.000152857159058282,6.26093617429334e-05,2.30342972519683e-05,-3.95389578858841e-06,-2.06480154993871e-05,7.15202694176594e-05,2.95191144032889e-05,9.65745556545448e-06,2.16122376936023e-06,-5.09378995977682e-06,4.12988145020604e-05,1.90257967933416e-05,8.50846051725068e-06,3.51600370397612e-06,5.87284551631167e-07,2.62300542941835e-05,6.62224865938769e-06,3.30806259226783e-06,1.98788568961695e-06,-5.69250229653455e-08,-3.7591145413593e-06,5.47562254555928e-06,1.50053077777959e-06,-1.39767659862818e-07,9.70180111648198e-09,7.01780674812531e-06,4.87064471529835e-05,-2.95560352898289e-06,-2.3510116058066e-05,-5.13309959793683e-06
"rb_x_high_22_25",6.26093617429334e-05,0.000106679541359836,4.84675089474528e-06,-2.42510526908357e-05,-2.20515845047003e-05,4.4585577552425e-05,3.91089831075903e-05,9.44418378820644e-06,-1.53465866249069e-06,-2.62094520631409e-06,1.74103113430226e-05,1.5500140292652e-05,6.9539372728414e-06,1.43654923970735e-06,1.6561030943077e-06,5.68835591609234e-06,5.94750213526419e-06,2.61778354121164e-06,3.07542087809403e-07,4.96010764720579e-07,-1.31233544773252e-06,3.70497307285317e-06,-4.52140267461035e-07,8.32430347367891e-08,-5.66172752032779e-07,-1.97802319731516e-05,-7.47583414453472e-05,-2.04663766065267e-05,9.07738742374615e-07,-3.93359854044316e-06
"q1_x_high_22_25",2.30342972519683e-05,4.84675089474528e-06,0.000131811525853742,5.87180993841895e-05,-4.3115908606691e-05,-3.43709973638063e-06,-1.14439221413968e-05,3.03135250283513e-05,1.44568017985665e-05,-5.9340715047611e-06,-1.03736334444663e-05,-5.21790425910964e-06,9.4482851069326e-06,4.25011199889199e-06,-8.31803013558175e-07,-4.50597248647466e-06,-4.16252703224289e-06,3.26999489590229e-06,1.80185906125541e-06,3.45773404444681e-07,-9.34681168587401e-07,-1.72071147070753e-06,-3.24291939811697e-06,2.67215154859956e-07,4.30549237549341e-07,-4.43811071108026e-05,-0.000147548301988418,-3.03750273365925e-05,2.28221817386016e-05,-1.2535251345364e-06
"q2_x_high_22_25",-3.95389578858841e-06,-2.42510526908357e-05,5.87180993841895e-05,8.40789849239431e-05,4.16876658301398e-05,-9.80435400007649e-06,-1.70761026541004e-05,7.27122070521909e-06,1.57680252654425e-05,7.99668419958333e-06,-5.00909021529347e-06,-2.8890146037546e-06,-9.12092038827831e-07,1.75289013978428e-06,8.00000366924836e-07,2.48457536811552e-06,1.44675039158245e-06,8.67302685158037e-07,1.28094963746922e-06,5.18747181005032e-07,-1.24702400749794e-06,-4.82787307391654e-06,-1.7304083099635e-06,-5.35394585224594e-07,-1.94210603045934e-07,-3.1042818647481e-05,-0.000112910041714398,-3.29013388900821e-05,6.10370456605115e-06,3.18917988534568e-06
"q3_x_high_22_25",-2.06480154993871e-05,-2.20515845047003e-05,-4.3115908606691e-05,4.16876658301398e-05,0.000137896711312812,-6.42477032542462e-06,-1.56496331675645e-06,-1.84722710818426e-05,1.89541963940696e-06,2.45277131665065e-05,1.06473292700691e-05,1.19054454935607e-05,-1.03850131134475e-05,-5.04120321628608e-06,3.85988390652459e-06,4.3899609051602e-06,6.83057121507508e-06,-3.20301880933856e-06,-1.59872144780076e-06,1.34303210601673e-06,-5.01807398365562e-07,-2.10558022002991e-06,7.58529519821751e-07,-2.50436019756067e-07,-1.83835959959875e-06,8.31995900124512e-05,0.000169682257218083,8.0702242395128e-07,-1.04607769497383e-05,2.69762921071433e-06
"gpt_x_high_26_30",7.15202694176594e-05,4.4585577552425e-05,-3.43709973638063e-06,-9.80435400007649e-06,-6.42477032542462e-06,7.56304457804458e-05,3.1779095411364e-05,5.29385465727318e-06,3.91873023436298e-07,-3.03095208833496e-06,3.89908403440298e-05,1.81374154956882e-05,5.8976629982009e-06,2.19908760158836e-06,-7.31643282876001e-08,2.44338163011524e-05,6.36708123098388e-06,1.7098745283552e-06,4.84960696784969e-07,-4.33373726842297e-07,-3.6906445993469e-06,2.36768845073222e-06,1.06514473456838e-06,5.61720414975869e-07,9.17897215373529e-08,-1.06794253350634e-06,-3.1387521366691e-06,-9.99024990763994e-06,-4.29917413083829e-06,-2.62596829428642e-06
"rb_x_high_26_30",2.95191144032889e-05,3.91089831075903e-05,-1.14439221413968e-05,-1.70761026541004e-05,-1.56496331675645e-06,3.1779095411364e-05,4.66875148244175e-05,3.18063100418144e-06,-5.1827865993188e-06,-2.44215758607314e-06,2.338882875632e-05,1.9880942677375e-05,3.61124441624131e-06,-7.83031741636058e-07,-3.50548879504813e-07,8.07419750756519e-06,7.31878959395722e-06,7.72975999772127e-07,-1.25689127542785e-06,-4.62794196783228e-07,3.04777708708445e-08,7.14738656911802e-06,1.86158690108585e-07,-4.44073702522082e-08,-5.99721621961699e-07,1.9378870768369e-05,2.44934435851164e-05,-1.24099658401676e-05,-6.78462252167618e-06,-3.75943163969401e-06
"q1_x_high_26_30",9.65745556545448e-06,9.44418378820644e-06,3.03135250283513e-05,7.27122070521909e-06,-1.84722710818426e-05,5.29385465727318e-06,3.18063100418144e-06,1.51648011829564e-05,7.37902530629253e-06,8.52268079233092e-08,-5.1442964983892e-07,-1.11626798859731e-06,6.15865354737531e-06,3.49726922649874e-06,1.32396306882101e-06,-1.75605637166304e-06,-8.30858070801624e-07,2.71827337990234e-06,1.66029165688321e-06,9.06441607975867e-07,5.7088387803573e-07,1.39765959403539e-06,-1.05756716281327e-06,-3.01088736411029e-07,-4.00239328776732e-07,-1.25907965401141e-05,-3.91712167546172e-05,-1.27671493875409e-05,-2.08685323168833e-06,-4.4053882839677e-06
"q2_x_high_26_30",2.16122376936023e-06,-1.53465866249069e-06,1.44568017985665e-05,1.57680252654425e-05,1.89541963940696e-06,3.91873023436298e-07,-5.1827865993188e-06,7.37902530629253e-06,8.37737620817892e-06,3.52764852961061e-06,-1.97125277881505e-06,-2.62770993230961e-06,2.50401985137106e-06,3.05581407457528e-06,1.6603758644335e-06,-1.95162758336117e-07,1.29473527792707e-07,1.80765122799709e-06,1.83237107992111e-06,9.49711583730723e-07,1.60547351415297e-07,-2.11383863449812e-07,-3.76904109885947e-07,-6.45674907984663e-07,-3.71768570330098e-07,-1.50064655683533e-05,-2.72110866957406e-05,-9.32573092396887e-06,-1.0650748055586e-05,-2.4182020006454e-06
"q3_x_high_26_30",-5.09378995977682e-06,-2.62094520631409e-06,-5.9340715047611e-06,7.99668419958333e-06,2.45277131665065e-05,-3.03095208833496e-06,-2.44215758607314e-06,8.52268079233092e-08,3.52764852961061e-06,8.49494587021409e-06,-8.50294963665715e-07,-5.51788372714763e-07,-2.48439893813873e-07,6.63812532333703e-07,3.00925367491673e-06,-1.08262142034577e-06,3.35712274964626e-07,5.03181889877662e-07,7.18491969319722e-07,1.47443084616498e-06,5.96473364665169e-07,-8.5226247896117e-07,-3.89216560383078e-07,-4.09257832855948e-07,-1.09307629435819e-06,9.52868644613924e-06,2.00456271369362e-05,-4.05159250057218e-06,-6.1580349296022e-06,-4.35118686679713e-06
