"term","gpt_x_high_22_25","rb_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","gpt_x_high_31_34","rb_x_high_31_34","gpt_x_high_35_40","rb_x_high_35_40","gpt_x_high_50p","rb_x_high_50p"
"gpt_x_high_22_25",0.000178666751656031,4.91734328118048e-05,7.51745425612131e-05,2.1501371285318e-05,3.86314126955311e-05,1.30261424992773e-05,2.48903863648575e-05,3.75300116609963e-06,-5.05583560140489e-06,4.66217112190427e-06
"rb_x_high_22_25",4.91734328118048e-05,0.000109737097119415,4.39430404383603e-05,3.92312556685524e-05,1.9880758171152e-05,1.56745978870334e-05,7.56179464908437e-06,7.02221977688943e-06,-3.19154957419281e-06,-2.78021370411851e-06
"gpt_x_high_26_30",7.51745425612131e-05,4.39430404383603e-05,7.75243084715864e-05,2.8983170037283e-05,3.80263609821974e-05,1.47864803547864e-05,2.27804083743066e-05,4.60469928750952e-06,-3.66232174335458e-06,1.18266267211123e-06
"rb_x_high_26_30",2.1501371285318e-05,3.92312556685524e-05,2.8983170037283e-05,4.20254803648692e-05,2.17943450810523e-05,1.71647885277316e-05,7.22453766992334e-06,6.13481301499922e-06,2.81581861763161e-06,8.10330840578127e-06
"gpt_x_high_31_34",3.86314126955311e-05,1.9880758171152e-05,3.80263609821974e-05,2.17943450810523e-05,4.2940761867818e-05,2.07723282518857e-05,1.97842322533729e-05,6.4551205808234e-06,2.40679342710512e-06,7.33513472201431e-06
"rb_x_high_31_34",1.30261424992773e-05,1.56745978870334e-05,1.47864803547864e-05,1.71647885277316e-05,2.07723282518857e-05,2.95538140892525e-05,1.25230133936835e-05,9.74623666904684e-06,3.44241557270119e-06,8.57011650784327e-06
"gpt_x_high_35_40",2.48903863648575e-05,7.56179464908437e-06,2.27804083743066e-05,7.22453766992334e-06,1.97842322533729e-05,1.25230133936835e-05,2.8555016633978e-05,9.74726655560958e-06,-7.26248804014543e-07,-5.92771988947383e-07
"rb_x_high_35_40",3.75300116609963e-06,7.02221977688943e-06,4.60469928750952e-06,6.13481301499922e-06,6.4551205808234e-06,9.74623666904684e-06,9.74726655560958e-06,1.3934525893078e-05,-1.25608701455133e-06,2.51670490335806e-06
"gpt_x_high_50p",-5.05583560140489e-06,-3.19154957419281e-06,-3.66232174335458e-06,2.81581861763161e-06,2.40679342710512e-06,3.44241557270119e-06,-7.26248804014543e-07,-1.25608701455133e-06,4.27401663417934e-05,3.66046795893243e-05
"rb_x_high_50p",4.66217112190427e-06,-2.78021370411851e-06,1.18266267211123e-06,8.10330840578127e-06,7.33513472201431e-06,8.57011650784327e-06,-5.92771988947383e-07,2.51670490335806e-06,3.66046795893243e-05,6.41749843964107e-05
