"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30","gpt_x_high_31_34","rb_x_high_31_34","q1_x_high_31_34","q2_x_high_31_34","q3_x_high_31_34","gpt_x_high_35_40","rb_x_high_35_40","q1_x_high_35_40","q2_x_high_35_40","q3_x_high_35_40","gpt_x_high_50p","rb_x_high_50p","q1_x_high_50p","q2_x_high_50p","q3_x_high_50p"
"gpt_x_high_22_25",0.000155929491006844,6.39521395137547e-05,2.3634768484653e-05,-4.54595737921921e-06,-2.24208080003183e-05,7.10292651228034e-05,2.88511162737178e-05,9.71365281892434e-06,2.19490819299395e-06,-5.12819297306596e-06,3.9769069815391e-05,1.77726661564669e-05,8.23842819933277e-06,3.53017956545868e-06,6.40708672845482e-07,2.51959522102589e-05,5.88787833518707e-06,3.18371501917549e-06,2.04839794550941e-06,1.21943996080075e-08,-2.54310219699453e-06,9.664309533618e-06,1.75075818371183e-06,-2.38585572341464e-06,-6.49217815898132e-07
"rb_x_high_22_25",6.39521395137547e-05,0.000111063296684994,5.4147721519834e-06,-2.54017875982661e-05,-2.44323868081235e-05,4.4625192422085e-05,3.88120076094206e-05,9.72927375518653e-06,-1.53347633150896e-06,-2.72671793563211e-06,1.65136217741273e-05,1.45633501780044e-05,6.90018202686075e-06,1.43869115929465e-06,1.69572539219286e-06,5.69616366443109e-06,5.93731050817082e-06,2.73829544594775e-06,3.80231833518017e-07,5.4878230112663e-07,-5.08887786538999e-06,-6.54594239662566e-06,-2.34376564110438e-06,1.42818234787466e-06,-9.53897118045945e-07
"q1_x_high_22_25",2.3634768484653e-05,5.4147721519834e-06,0.000136651928443113,6.04765099308934e-05,-4.45113841690786e-05,-3.40442033616212e-06,-1.05470139875107e-05,3.03124629424986e-05,1.41186283105738e-05,-5.71645006024164e-06,-1.03191250584495e-05,-4.77355860947589e-06,9.23118330589854e-06,3.95054928260469e-06,-6.50807324669352e-07,-4.38876757897282e-06,-3.41845346480337e-06,3.22485500666872e-06,1.60728881796621e-06,4.0077368486056e-07,-5.63890307818718e-06,-1.38014297511777e-05,-5.79811247436666e-06,3.61531175745082e-06,6.90566777631185e-08
"q2_x_high_22_25",-4.54595737921921e-06,-2.54017875982661e-05,6.04765099308934e-05,8.63940680476961e-05,4.32313929346229e-05,-1.03021844003095e-05,-1.69338973574616e-05,7.06696680952892e-06,1.54029571059971e-05,7.96899108855659e-06,-5.24999233985679e-06,-2.86458542608821e-06,-9.20487256047104e-07,1.60034289033221e-06,8.26836605995864e-07,2.16077896471616e-06,1.51867234413379e-06,8.77904079626444e-07,1.19947217757148e-06,5.13227691636628e-07,-3.86473733120388e-06,-1.19635158128662e-05,-4.29283634689683e-06,2.93977538087393e-07,-2.27882601117872e-07
"q3_x_high_22_25",-2.24208080003183e-05,-2.44323868081235e-05,-4.45113841690786e-05,4.32313929346229e-05,0.000142558519388895,-7.21632808429143e-06,-2.50356532583679e-06,-1.84583030131636e-05,1.86585336624713e-06,2.41953158179955e-05,1.02288308680432e-05,1.12620670611692e-05,-1.00071339566211e-05,-4.87471054942651e-06,3.66619479576903e-06,4.30976836835427e-06,6.52968709593288e-06,-2.92623401223093e-06,-1.47382036423351e-06,1.23373371158615e-06,1.15012643488161e-05,1.4968725269928e-05,1.14812920487009e-06,-7.68604321086535e-07,-2.06512160556672e-06
"gpt_x_high_26_30",7.10292651228034e-05,4.4625192422085e-05,-3.40442033616212e-06,-1.03021844003095e-05,-7.21632808429143e-06,7.40516930485908e-05,3.05850647417079e-05,5.44297016107187e-06,4.78372637658133e-07,-2.90323866324672e-06,3.67303759845317e-05,1.6573374001003e-05,5.62991384231097e-06,2.15287625689514e-06,-1.04546889491254e-08,2.25996213494702e-05,5.26467354470533e-06,1.54074373155038e-06,5.00446594866666e-07,-3.59694408727034e-07,-3.27750059446458e-06,1.64407475050174e-06,1.34814437498014e-07,4.12318546973667e-07,-2.87633519530413e-07
"rb_x_high_26_30",2.88511162737178e-05,3.88120076094206e-05,-1.05470139875107e-05,-1.69338973574616e-05,-2.50356532583679e-06,3.05850647417079e-05,4.41857354741532e-05,3.4766527797835e-06,-4.75444701435576e-06,-2.29620851515192e-06,2.14930267021705e-05,1.784371945165e-05,3.53204570189101e-06,-5.95350508944334e-07,-2.43612400318618e-07,6.81423448033809e-06,6.10802057622406e-06,7.30750390536201e-07,-1.10902166758357e-06,-3.40333918640648e-07,2.60283154226999e-06,7.65480446384546e-06,-9.22304475399102e-07,1.77335933706343e-07,-1.05620756370615e-06
"q1_x_high_26_30",9.71365281892434e-06,9.72927375518653e-06,3.03124629424986e-05,7.06696680952892e-06,-1.84583030131636e-05,5.44297016107187e-06,3.4766527797835e-06,1.48839674878208e-05,7.17652497712642e-06,2.73704079851235e-07,-6.4818469171531e-07,-1.12397188744901e-06,5.88098602753818e-06,3.3170152425444e-06,1.37155818774282e-06,-1.93495089113124e-06,-7.45736957891927e-07,2.55883378076583e-06,1.53451522779887e-06,9.03001450017793e-07,-6.97467421900077e-07,-1.81343462407724e-06,-2.14142319804742e-06,-7.16618503886892e-08,-9.00727544394937e-07
"q2_x_high_26_30",2.19490819299395e-06,-1.53347633150896e-06,1.41186283105738e-05,1.54029571059971e-05,1.86585336624713e-06,4.78372637658133e-07,-4.75444701435576e-06,7.17652497712642e-06,8.08682419905327e-06,3.46648255803139e-06,-2.00038534629528e-06,-2.52937119805762e-06,2.36668891245336e-06,2.9214994618964e-06,1.61970454470734e-06,-3.07397411174471e-07,2.10482712780351e-07,1.70375205937112e-06,1.73343670022513e-06,9.00775863936163e-07,-1.4604401602509e-06,-1.71323568367735e-06,-1.03824941437727e-06,-1.78378908219813e-06,-6.66707295233522e-07
"q3_x_high_26_30",-5.12819297306596e-06,-2.72671793563211e-06,-5.71645006024164e-06,7.96899108855659e-06,2.41953158179955e-05,-2.90323866324672e-06,-2.29620851515192e-06,2.73704079851235e-07,3.46648255803139e-06,8.18850024774227e-06,-9.0241819949693e-07,-5.94152567061047e-07,-1.36662227548056e-07,6.72693053826058e-07,2.87886896929876e-06,-9.97815573948828e-07,4.21199593082376e-07,5.51839353737931e-07,6.99393396274283e-07,1.38707368493372e-06,1.77335640879838e-06,1.19946325839123e-06,-7.45025735410862e-07,-8.69265118717764e-07,-1.54899037066222e-06
