dimension,exposed,gender,cell,person_months,persons_avg,share,mean_score,scored_share,year
track,0,men,business_law_social,225653.0,18804.416666666668,0.1283810884910288,61.06107390248105,0.9833682689793621,2023
track,0,men,engineering,674958.0,56246.5,0.3840048336415994,38.95327262178299,0.9835782374607013,2023
track,0,men,health_education_care,183150.0,15262.5,0.10419979507089171,41.118664431001726,0.9906579306579306,2023
track,0,men,ict,20663.0,1721.9166666666667,0.011755830551732653,71.0994320506432,1.0,2023
track,0,men,na,3210.0,267.5,0.001826269954559445,,0.0,2023
track,0,men,other,650047.0,54170.583333333336,0.36983218229018805,39.817279987595434,0.9063898456573141,2023
track,0,women,business_law_social,304655.0,25387.916666666668,0.19364654000341966,62.841959342042614,0.9804303228241782,2023
track,0,women,engineering,102259.0,8521.583333333334,0.06499844589522473,48.25282899484187,0.9716895334395994,2023
track,0,women,health_education_care,486208.0,40517.333333333336,0.30904628816852725,44.13660775898034,0.9855987560879295,2023
track,0,women,ict,9991.0,832.5833333333334,0.0063505361184755405,72.20909730910991,1.0,2023
track,0,women,na,3883.0,323.5833333333333,0.0024681344958503177,,0.0,2023
track,0,women,other,666257.0,55521.416666666664,0.4234900553185025,43.16883130652075,0.9539472005547409,2023
track,1,men,business_law_social,110326.0,9193.833333333334,0.2924797658592451,66.03736826825566,0.9880173304570092,2023
track,1,men,engineering,137309.0,11442.416666666666,0.3640130537712515,53.43709650443,0.9798483711919831,2023
track,1,men,health_education_care,15261.0,1271.75,0.04045767730886591,46.64812575897248,0.9623877858593801,2023
track,1,men,ict,25534.0,2127.8333333333335,0.06769191615258384,76.04922749616803,1.0,2023
track,1,men,na,1567.0,130.58333333333334,0.004154195684620462,,0.0,2023
track,1,men,other,87212.0,7267.666666666667,0.23120339122343317,46.72304603651856,0.9238866211071871,2023
track,1,women,business_law_social,158233.0,13186.083333333334,0.4419916201117318,67.28370735064486,0.9878154367293801,2023
track,1,women,engineering,42020.0,3501.6666666666665,0.11737430167597765,61.10587489136438,0.9795811518324608,2023
track,1,women,health_education_care,37337.0,3111.4166666666665,0.10429329608938548,48.232591630490305,0.9649409433002116,2023
track,1,women,ict,10547.0,878.9166666666666,0.029460893854748604,77.03020142241749,1.0,2023
track,1,women,na,1930.0,160.83333333333334,0.005391061452513966,,0.0,2023
track,1,women,other,107933.0,8994.416666666666,0.3014888268156425,48.33915715953199,0.9467169447712933,2023
level,0,men,below_upper_secondary,176274.0,14689.5,0.10028782242056437,32.21591356512229,1.0,2023
level,0,men,na,54500.0,4541.666666666667,0.03100676402600927,,0.0,2023
level,0,men,post_secondary,355942.0,29661.833333333332,0.2025065981824916,59.29999032355073,0.9288058166779981,2023
level,0,men,upper_secondary,1170965.0,97580.41666666667,0.6661988153709347,39.750479772610745,0.9993441306956229,2023
level,0,women,below_upper_secondary,96142.0,8011.833333333333,0.06111032364152492,32.90269364916125,1.0,2023
level,0,women,na,22639.0,1886.5833333333333,0.014389929655306553,,0.0,2023
level,0,women,post_secondary,649716.0,54143.0,0.41297617102907164,56.366923701349556,0.9573290483842171,2023
level,0,women,upper_secondary,804756.0,67063.0,0.5115235756740969,43.060960091792154,0.9999229580146032,2023
level,1,men,below_upper_secondary,13773.0,1147.75,0.03651291459111527,33.149309037689065,1.0,2023
level,1,men,na,7359.0,613.25,0.019509078521456277,,0.0,2023
level,1,men,post_secondary,212189.0,17682.416666666668,0.5625236937612835,66.83595977806289,0.9742305209035341,2023
level,1,men,upper_secondary,143888.0,11990.666666666666,0.3814543131261449,45.232322976569286,0.9997150561547871,2023
level,1,women,below_upper_secondary,7036.0,586.3333333333334,0.0196536312849162,33.471941707676564,1.0,2023
level,1,women,na,6157.0,513.0833333333334,0.01719832402234637,,0.0,2023
level,1,women,post_secondary,240347.0,20028.916666666668,0.6713603351955307,65.37343759092292,0.9766213017012902,2023
level,1,women,upper_secondary,104460.0,8705.0,0.2917877094972067,47.30124604216313,1.0,2023
