"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.53828298221627e-05,-5.73792261584601e-07,-4.09530161738941e-05,1.93751055611098e-05,-1.30073035350919e-06,-4.53934758906687e-06,3.20097437793023e-05,2.33787144193339e-07,-1.16575787709572e-07,4.74232351258938e-06,9.24007042160627e-07,-3.81765388384789e-06,-1.82904356402235e-05,4.16501706616942e-07,4.27366364101763e-06,-1.60240769856861e-05,9.08493313404953e-07,2.28970859960422e-06
"rb_x_high_x_female",-5.73792261584601e-07,4.43064263131505e-06,-1.01933638527143e-06,7.85500104423676e-07,3.09354736483038e-07,-3.47609002833188e-07,1.91373350987143e-06,1.40343482593937e-06,-2.0162924770831e-06,-3.05263442227812e-06,-8.13685051233134e-08,6.75812353762413e-07,-2.33437186509932e-06,-5.63479480563411e-07,8.72890976552731e-07,2.63168448093328e-07,-3.56748629455528e-07,4.78963467307052e-07
"rb_x_high_x_young_x_female",-4.09530161738941e-05,-1.01933638527143e-06,8.82234701297067e-05,5.83423906539155e-07,-2.59253182690236e-07,-3.27086426066754e-06,-7.91284251239379e-08,-2.22660283796098e-06,-7.41699360395542e-06,-4.43465229839222e-06,-2.37438034766593e-07,5.55031982585799e-06,3.47666180990585e-06,6.35414514093817e-10,-9.76272164321505e-06,-1.1432131811769e-07,-2.26021746370209e-07,-7.44449821004679e-06
"interim_x_high_x_young",1.93751055611098e-05,7.85500104423676e-07,5.83423906539155e-07,0.000118800857752373,-5.52734161181104e-06,-4.53036583677063e-05,0.000146888633883568,-1.52144184522651e-06,-4.79331387795762e-05,4.85878583078723e-06,-3.87185166943515e-07,9.22660691574712e-06,-1.09240118509728e-05,-7.92679808635631e-07,7.15728853802358e-06,-2.28189384464938e-05,-7.48368024898523e-07,-2.99383733775998e-06
"interim_x_high_x_female",-1.30073035350919e-06,3.09354736483038e-07,-2.59253182690236e-07,-5.52734161181104e-06,5.13619313519981e-06,-2.53482657490929e-06,-5.74845252949517e-07,6.95375744605421e-06,-4.44890726797416e-06,-2.23512286659214e-06,-4.32660745814835e-07,1.94246934084515e-06,-2.22519453264151e-06,-1.10946777923911e-07,-6.94037169057856e-08,8.49573670701357e-07,8.65928767264229e-08,-2.34196634955857e-06
"interim_x_high_x_young_x_female",-4.53934758906687e-06,-3.47609002833188e-07,-3.27086426066754e-06,-4.53036583677063e-05,-2.53482657490929e-06,8.24790466339853e-05,-5.74664090350957e-05,-5.51132901106421e-06,8.29059779986867e-05,2.13466292861489e-08,5.14959766692503e-07,-1.10915405303154e-05,6.87630238353455e-06,-2.34588719020704e-07,4.69819178255776e-07,7.10539124494752e-06,-4.58195765527995e-09,9.50347981820521e-06
"post_x_high_x_young",3.20097437793023e-05,1.91373350987143e-06,-7.91284251239379e-08,0.000146888633883568,-5.74845252949517e-07,-5.74664090350957e-05,0.000319757838380122,1.65998094788581e-05,-0.000128456666825099,2.51256566549437e-05,-4.57089113851377e-07,1.04217188532358e-05,-1.22353410153649e-06,-1.38912710652031e-07,3.90591409295167e-06,-3.64977172288787e-05,5.90976370372517e-07,-4.97787348768278e-06
"post_x_high_x_female",2.33787144193339e-07,1.40343482593937e-06,-2.22660283796098e-06,-1.52144184522651e-06,6.95375744605421e-06,-5.51132901106421e-06,1.65998094788581e-05,1.53934909691718e-05,-1.69610989759939e-05,-5.62000969480146e-06,-1.37234659216676e-06,3.09606175404681e-06,-5.74106041934742e-06,-4.689115081705e-07,-8.89366686900304e-07,-7.56567049017996e-07,-2.7719875649627e-07,-4.50835997190031e-06
"post_x_high_x_young_x_female",-1.16575787709572e-07,-2.0162924770831e-06,-7.41699360395542e-06,-4.79331387795762e-05,-4.44890726797416e-06,8.29059779986867e-05,-0.000128456666825099,-1.69610989759939e-05,0.000201584373784524,-6.68672802419048e-06,3.88039864987509e-06,-8.17339440393735e-06,-5.09350124720981e-06,1.69627562103748e-06,-1.18194384009355e-06,3.97512397428316e-07,2.45366536036863e-06,2.23890142302552e-06
"q1_x_high_x_young",4.74232351258938e-06,-3.05263442227812e-06,-4.43465229839222e-06,4.85878583078723e-06,-2.23512286659214e-06,2.13466292861489e-08,2.51256566549437e-05,-5.62000969480146e-06,-6.68672802419048e-06,0.000108858507573575,-8.1436433605209e-07,7.588843443696e-06,5.86636026635062e-05,1.39571561942854e-07,1.01864690072153e-06,-2.6677491554261e-05,-1.7174853992326e-06,-1.98008883095794e-06
