"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.00022210477922005,2.03900608917379e-06,-0.000146794684124295,1.10828103873228e-05,-6.30166570470773e-06,1.7699287523641e-05,4.35514423123868e-06,-4.97394428633343e-06,3.2101751537782e-05,-1.18415045189242e-06,3.62186936461255e-07,-1.06235725960903e-05,-6.23860405721387e-05,5.17123369419545e-07,1.32845205328294e-05,-5.06945181362723e-05,1.23691314221651e-06,1.34560071330931e-05
"rb_x_high_x_female",2.03900608917379e-06,9.72576017111251e-06,-4.46786695064742e-06,-6.84572742065329e-07,-7.2744640917426e-07,4.01629061803862e-06,-1.71760553268655e-06,-7.23188479739537e-07,1.33350341237479e-06,-3.88597871553701e-06,5.74571744485784e-07,-2.35200728438049e-06,-5.00001560530157e-07,-8.59831004227087e-07,-8.69102872213606e-07,6.30626556574831e-06,-6.52636329360641e-07,-3.79127754754029e-07
"rb_x_high_x_young_x_female",-0.000146794684124295,-4.46786695064742e-06,0.000278369750410052,-1.51886034957368e-06,2.70616907075875e-06,-3.10128926190589e-05,2.04932747113463e-05,5.12527103991178e-07,-7.39605613249373e-05,-3.03112190026455e-05,5.20113935670955e-07,1.84639466009847e-05,-1.83403070562489e-06,-2.57069694773664e-07,-2.49656446681075e-05,1.27836702819253e-05,4.17092644143187e-08,-1.70293828856027e-05
"interim_x_high_x_young",1.10828103873228e-05,-6.84572742065329e-07,-1.51886034957368e-06,0.000274194678454891,-1.75297994149525e-05,-0.000136931700589281,0.000274342351544406,-1.84687067839691e-05,-0.000106098976584777,-2.5112557104185e-05,4.26056099487218e-07,4.23484653022421e-07,2.42540155950144e-05,-1.12651956669002e-06,6.19079880567649e-06,2.61368099459581e-05,-8.4845979424444e-07,-3.80165096576635e-06
"interim_x_high_x_female",-6.30166570470773e-06,-7.2744640917426e-07,2.70616907075875e-06,-1.75297994149525e-05,1.86927914837923e-05,-1.26521138885595e-05,-1.19813060054146e-05,2.23093959853611e-05,-1.18958335182164e-05,3.16855585927014e-06,-1.08235671853501e-06,4.89882284842862e-06,-5.42950452093348e-06,-6.28092602996145e-08,1.35570497748123e-06,-9.7367023016461e-06,-1.79768767854416e-07,3.02232425509493e-07
"interim_x_high_x_young_x_female",1.7699287523641e-05,4.01629061803862e-06,-3.10128926190589e-05,-0.000136931700589281,-1.26521138885595e-05,0.000258837712045606,-0.000135778083668694,-2.08467940553464e-05,0.000237468446576212,-2.76482703518918e-05,3.12884586106145e-06,-3.24757748288996e-05,-8.20613564560427e-06,-1.73204394846571e-06,-7.80138774625644e-07,1.56509850828939e-05,-1.62637043277535e-07,2.5633503878904e-05
"post_x_high_x_young",4.35514423123868e-06,-1.71760553268655e-06,2.04932747113463e-05,0.000274342351544406,-1.19813060054146e-05,-0.000135778083668694,0.000626706486276028,1.03091709952847e-06,-0.000300119595770979,7.63732437124746e-06,4.5196510852815e-08,-1.12517423662135e-05,4.89803253631934e-05,-2.50938456396107e-07,-2.023171140448e-05,1.99769120288878e-05,4.00018009992384e-06,-9.93064929525615e-06
"post_x_high_x_female",-4.97394428633343e-06,-7.23188479739537e-07,5.12527103991178e-07,-1.84687067839691e-05,2.23093959853611e-05,-2.08467940553464e-05,1.03091709952847e-06,3.74930212450595e-05,-3.4594722628939e-05,4.48161458032416e-06,-2.51418688674041e-06,9.83741863198916e-06,-9.10779669667583e-06,-4.95378341044555e-07,1.72992085736082e-06,-1.4759766108961e-05,-1.13582129025736e-06,-2.30872653799981e-06
"post_x_high_x_young_x_female",3.2101751537782e-05,1.33350341237479e-06,-7.39605613249373e-05,-0.000106098976584777,-1.18958335182164e-05,0.000237468446576212,-0.000300119595770979,-3.4594722628939e-05,0.000554858888663532,-4.03586496798433e-05,6.79534111887712e-06,-3.98620379780509e-05,-3.61539772065887e-05,1.53503412425793e-06,-1.07739043855598e-06,-1.0930377141284e-05,2.95036980453571e-06,2.68726186378976e-05
"q1_x_high_x_young",-1.18415045189242e-06,-3.88597871553701e-06,-3.03112190026455e-05,-2.5112557104185e-05,3.16855585927014e-06,-2.76482703518918e-05,7.63732437124746e-06,4.48161458032416e-06,-4.03586496798433e-05,0.000276632254007806,-2.13790856044627e-07,-1.97659692500357e-05,0.000236105549085703,3.72426092488643e-06,-4.98231658940753e-05,9.21152110904022e-05,1.53448667154774e-06,-4.29445634872756e-05
"q1_x_high_x_female",3.62186936461255e-07,5.74571744485784e-07,5.20113935670955e-07,4.26056099487218e-07,-1.08235671853501e-06,3.12884586106145e-06,4.5196510852815e-08,-2.51418688674041e-06,6.79534111887712e-06,-2.13790856044627e-07,2.55026199352187e-06,-6.78420957543478e-06,2.02101666411709e-06,1.55574423715968e-06,-4.03760870141646e-06,3.86283368371718e-06,1.32784640266188e-06,-7.16120923095498e-07
"q1_x_high_x_young_x_female",-1.06235725960903e-05,-2.35200728438049e-06,1.84639466009847e-05,4.23484653022421e-07,4.89882284842862e-06,-3.24757748288996e-05,-1.12517423662135e-05,9.83741863198916e-06,-3.98620379780509e-05,-1.97659692500357e-05,-6.78420957543478e-06,0.000115560793789284,-6.16836289702471e-05,-1.35618289513393e-06,6.40875124091783e-05,-7.56403833109908e-05,-3.30115935024771e-06,1.21515616963184e-05
"q2_x_high_x_young",-6.23860405721387e-05,-5.00001560530157e-07,-1.83403070562489e-06,2.42540155950144e-05,-5.42950452093348e-06,-8.20613564560427e-06,4.89803253631934e-05,-9.10779669667583e-06,-3.61539772065887e-05,0.000236105549085703,2.02101666411709e-06,-6.16836289702471e-05,0.000344464748516444,-1.48831303295866e-08,-6.87703742310916e-05,0.000224146616598737,-2.93970988571447e-06,-4.34956443617031e-05
"q2_x_high_x_female",5.17123369419545e-07,-8.59831004227087e-07,-2.57069694773664e-07,-1.12651956669002e-06,-6.28092602996145e-08,-1.73204394846571e-06,-2.50938456396107e-07,-4.95378341044555e-07,1.53503412425793e-06,3.72426092488643e-06,1.55574423715968e-06,-1.35618289513393e-06,-1.48831303295866e-08,2.5901085224681e-06,-3.1373722091587e-06,-7.94047814196009e-07,1.43478585071946e-06,-2.5168005842397e-06
"q2_x_high_x_young_x_female",1.32845205328294e-05,-8.69102872213606e-07,-2.49656446681075e-05,6.19079880567649e-06,1.35570497748123e-06,-7.80138774625644e-07,-2.023171140448e-05,1.72992085736082e-06,-1.07739043855598e-06,-4.98231658940753e-05,-4.03760870141646e-06,6.40875124091783e-05,-6.87703742310916e-05,-3.1373722091587e-06,6.9850154669327e-05,-5.5638210476393e-05,-3.58483615231324e-06,3.86992427129704e-05
"q3_x_high_x_young",-5.06945181362723e-05,6.30626556574831e-06,1.27836702819253e-05,2.61368099459581e-05,-9.7367023016461e-06,1.56509850828939e-05,1.99769120288878e-05,-1.4759766108961e-05,-1.0930377141284e-05,9.21152110904022e-05,3.86283368371718e-06,-7.56403833109908e-05,0.000224146616598737,-7.94047814196009e-07,-5.5638210476393e-05,0.000268540149423352,-3.90977639943129e-06,-3.90456224158113e-05
