"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000732464617190164,-4.78595336307637e-07,-0.000632354385128473,-0.000161185118984016,1.25002119720135e-05,0.000160137979633606,-0.000245742712517836,1.54604755342471e-05,0.000218421555668853,0.000101228877151466,3.93645373095354e-07,-6.33185587949674e-05,-2.35796843260491e-05,3.19326889668774e-06,5.85505675950767e-06,-7.41088768041621e-05,1.32261648207803e-06,4.61876940340615e-05
"rb_x_high_x_female",-4.78595336307637e-07,1.95936315718472e-05,-1.95245713849302e-05,-4.4580699890512e-06,-2.00667696909008e-06,6.95199678891162e-06,-9.15713476990362e-06,-3.09095743457579e-06,1.09482364391027e-05,-1.02397441409394e-06,1.04779196339605e-06,-8.99520415744285e-06,7.90858215441566e-06,-1.83474995653115e-06,1.74204414879896e-06,1.29780647185442e-05,-4.22232536466576e-07,3.65901872638796e-06
"rb_x_high_x_young_x_female",-0.000632354385128473,-1.95245713849302e-05,0.000987144688280027,0.000136042322321003,-2.73531203691344e-06,-0.000278080287773265,0.000245721919401121,-1.58524045927371e-05,-0.00037156077439759,-5.09895255838939e-05,6.46508173035848e-06,0.000109765860352341,-3.83864112869047e-05,6.24737230536294e-06,-4.94307191664902e-05,-5.10875049975584e-05,-2.00750417016798e-06,-7.82228702574052e-05
"interim_x_high_x_young",-0.000161185118984016,-4.4580699890512e-06,0.000136042322321003,0.0010009271209624,2.54178987765391e-06,-0.000738126606503009,0.000971809159333913,3.01352238942232e-06,-0.000670741608860774,0.000143609005306779,3.95212768349892e-06,8.90531378807294e-05,5.50636941366763e-05,4.4502966725737e-07,4.39558336569468e-05,-6.74282558055335e-05,-9.79371672062927e-06,-5.94987111975662e-06
"interim_x_high_x_female",1.25002119720135e-05,-2.00667696909008e-06,-2.73531203691344e-06,2.54178987765391e-06,2.42767350407803e-05,-1.03673137711524e-05,2.82373814026609e-05,2.50687332000707e-05,-2.63618176215599e-05,9.02480089034377e-07,-4.30453967798706e-07,1.0925237243523e-05,1.23104496652023e-05,8.9073878991191e-07,1.63189949826742e-06,1.52488663343753e-05,9.35642028215511e-07,1.6321289391558e-06
"interim_x_high_x_young_x_female",0.000160137979633606,6.95199678891162e-06,-0.000278080287773265,-0.000738126606503009,-1.03673137711524e-05,0.000906652173296928,-0.000699663278498027,-7.21052180017237e-06,0.000823406217001778,-8.64395505401203e-05,-8.60832210125505e-06,-6.42133141468861e-05,2.30172856220643e-05,-3.40970338606335e-06,-6.7135601258263e-06,9.29081800734872e-05,4.67325485554707e-06,5.40097222322435e-05
"post_x_high_x_young",-0.000245742712517836,-9.15713476990362e-06,0.000245721919401121,0.000971809159333913,2.82373814026609e-05,-0.000699663278498027,0.00178733693449156,3.98344786035542e-05,-0.00128618430665692,0.000178330744942685,1.40260471296955e-05,0.000198623490340286,9.31937314772434e-05,-2.06350881633131e-06,7.59620486131714e-05,-0.000138420041531728,-1.17404990711456e-05,-1.58849762190068e-05
"post_x_high_x_female",1.54604755342471e-05,-3.09095743457579e-06,-1.58524045927371e-05,3.01352238942232e-06,2.50687332000707e-05,-7.21052180017237e-06,3.98344786035542e-05,4.84760077892455e-05,-4.38628893046039e-05,-2.98612567014077e-06,-4.05056325825858e-06,1.68954652208417e-05,6.55100538051966e-06,1.37208080050435e-06,-4.40365811644074e-06,1.57189346375416e-05,-1.05541242600346e-06,-5.42421870519566e-06
"post_x_high_x_young_x_female",0.000218421555668853,1.09482364391027e-05,-0.00037156077439759,-0.000670741608860774,-2.63618176215599e-05,0.000823406217001778,-0.00128618430665692,-4.38628893046039e-05,0.00167342871136215,-0.000102276906345487,-1.01365664517154e-05,-0.00012533259149554,-2.40968901123291e-05,-7.88299834828459e-06,-3.7196682926409e-05,4.41443767900435e-05,6.46586517756289e-06,5.03183932711907e-05
"q1_x_high_x_young",0.000101228877151466,-1.02397441409394e-06,-5.09895255838939e-05,0.000143609005306779,9.02480089034377e-07,-8.64395505401203e-05,0.000178330744942685,-2.98612567014077e-06,-0.000102276906345487,0.000581114999018052,1.98831843476238e-05,-5.13068950907062e-05,0.000216791686572183,1.6956090275936e-05,-7.98527615694205e-05,-0.000137773917855509,1.37726593155136e-06,-4.97857605562029e-05
"q1_x_high_x_female",3.93645373095354e-07,1.04779196339605e-06,6.46508173035848e-06,3.95212768349892e-06,-4.30453967798706e-07,-8.60832210125505e-06,1.40260471296955e-05,-4.05056325825858e-06,-1.01365664517154e-05,1.98831843476238e-05,7.01911867445384e-06,-3.85431541888396e-06,4.07955525548281e-06,4.16615713297566e-06,-4.35679955022536e-06,-1.10869034342229e-05,3.19645144516676e-06,-6.89852070710891e-06
"q1_x_high_x_young_x_female",-6.33185587949674e-05,-8.99520415744285e-06,0.000109765860352341,8.90531378807294e-05,1.0925237243523e-05,-6.42133141468861e-05,0.000198623490340286,1.68954652208417e-05,-0.00012533259149554,-5.13068950907062e-05,-3.85431541888396e-06,0.000291641558690097,-0.000134605899590942,-5.39808496952367e-07,0.000159348414256724,-0.000224849718686986,-6.94308457062881e-06,4.18176424193997e-05
"q2_x_high_x_young",-2.35796843260491e-05,7.90858215441566e-06,-3.83864112869047e-05,5.50636941366763e-05,1.23104496652023e-05,2.30172856220643e-05,9.31937314772434e-05,6.55100538051966e-06,-2.40968901123291e-05,0.000216791686572183,4.07955525548281e-06,-0.000134605899590942,0.000332539693635416,4.43167011555256e-06,-0.000112001794475187,0.000265627432772607,6.01371071890903e-06,-2.5706640636035e-05
"q2_x_high_x_female",3.19326889668774e-06,-1.83474995653115e-06,6.24737230536294e-06,4.4502966725737e-07,8.9073878991191e-07,-3.40970338606335e-06,-2.06350881633131e-06,1.37208080050435e-06,-7.88299834828459e-06,1.6956090275936e-05,4.16615713297566e-06,-5.39808496952367e-07,4.43167011555256e-06,8.57476546173608e-06,-1.09452688024034e-05,4.85672354833009e-06,3.55576836189779e-06,-6.10724412172769e-06
"q2_x_high_x_young_x_female",5.85505675950767e-06,1.74204414879896e-06,-4.94307191664902e-05,4.39558336569468e-05,1.63189949826742e-06,-6.7135601258263e-06,7.59620486131714e-05,-4.40365811644074e-06,-3.7196682926409e-05,-7.98527615694205e-05,-4.35679955022536e-06,0.000159348414256724,-0.000112001794475187,-1.09452688024034e-05,0.000233134852025595,-8.77325621075696e-05,-2.90235553410713e-06,8.96772722922536e-05
"q3_x_high_x_young",-7.41088768041621e-05,1.29780647185442e-05,-5.10875049975584e-05,-6.74282558055335e-05,1.52488663343753e-05,9.29081800734872e-05,-0.000138420041531728,1.57189346375416e-05,4.41443767900435e-05,-0.000137773917855509,-1.10869034342229e-05,-0.000224849718686986,0.000265627432772607,4.85672354833009e-06,-8.77325621075696e-05,0.000859711045507704,1.64771659369989e-05,-0.000111521335947854
"q3_x_high_x_female",1.32261648207803e-06,-4.22232536466576e-07,-2.00750417016798e-06,-9.79371672062927e-06,9.35642028215511e-07,4.67325485554707e-06,-1.17404990711456e-05,-1.05541242600346e-06,6.46586517756289e-06,1.37726593155136e-06,3.19645144516676e-06,-6.94308457062881e-06,6.01371071890903e-06,3.55576836189779e-06,-2.90235553410713e-06,1.64771659369989e-05,5.27426950128881e-06,-5.63366072165511e-06
"q3_x_high_x_young_x_female",4.61876940340615e-05,3.65901872638796e-06,-7.82228702574052e-05,-5.94987111975662e-06,1.6321289391558e-06,5.40097222322435e-05,-1.58849762190068e-05,-5.42421870519566e-06,5.03183932711907e-05,-4.97857605562029e-05,-6.89852070710891e-06,4.18176424193997e-05,-2.5706640636035e-05,-6.10724412172769e-06,8.96772722922536e-05,-0.000111521335947854,-5.63366072165511e-06,0.000241677720937577
