track,band_vs_ref,coef,se,t,n_firms,status
all,22-25,-0.0240985450805136,0.0130060365593822,-1.8528738536514082,110653,ok
all,26-30,-0.0090340446222709,0.0088197983912383,-1.0242915111580593,110653,ok
ict,22-25,-0.119400046864873,0.0500054736354791,-2.387739544979695,6837,ok
ict,26-30,-0.140737453027022,0.0349704247824344,-4.024470789320072,6837,ok
engineering,22-25,-0.0252902277858295,0.0221672236379878,-1.140883865243721,48374,ok
engineering,26-30,-0.0177329952258917,0.0158267204829153,-1.1204466045277157,48374,ok
business_law_social,22-25,-0.0732978405068049,0.0215240507817648,-3.405392472354828,37689,ok
business_law_social,26-30,-0.0170502951470476,0.0157408990805692,-1.0831843250996214,37689,ok
health_education_care,22-25,-0.0250636112254489,0.0233362667654335,-1.0740197426339848,25379,ok
health_education_care,26-30,-0.0437691089123881,0.0168105099593013,-2.6036752613903027,25379,ok
other,22-25,-0.0029365400184246,0.0182799886766089,-0.16064233246392545,72889,ok
other,26-30,-0.0421305462000098,0.0099677671282388,-4.226678418344412,72889,ok
