"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30"
"gpt_x_high_22_25",0.000169156986983987,6.20644683755601e-05,2.40539055873702e-05,-2.13303154909826e-06,-1.8688454797634e-05,7.87693086869725e-05,3.07197857940597e-05,8.34289465359233e-06,1.17984073070175e-06,-5.45919193139975e-06
"rb_x_high_22_25",6.20644683755601e-05,0.000101868954129837,5.71692503313839e-06,-2.0821096110104e-05,-1.87251232316932e-05,4.36049511386924e-05,3.66163823307363e-05,9.30672966100035e-06,-2.78609164505859e-07,-1.34071058947229e-06
"q1_x_high_22_25",2.40539055873702e-05,5.71692503313839e-06,0.000144994219667749,6.17820075560725e-05,-5.4050333782729e-05,-3.20354676195879e-06,-1.09933291385238e-05,3.34066320241561e-05,1.44237949968611e-05,-9.78517495661959e-06
"q2_x_high_22_25",-2.13303154909826e-06,-2.0821096110104e-05,6.17820075560725e-05,9.03882148643998e-05,4.05354119462667e-05,-7.80450494685181e-06,-1.55587390207297e-05,6.73911509709993e-06,1.64277148473283e-05,6.68385560249719e-06
"q3_x_high_22_25",-1.8688454797634e-05,-1.87251232316932e-05,-5.4050333782729e-05,4.05354119462667e-05,0.000153911724464967,-5.38487194161445e-06,-2.19559986245817e-07,-2.26982839378308e-05,5.83058346948956e-07,2.89623418810215e-05
"gpt_x_high_26_30",7.87693086869725e-05,4.36049511386924e-05,-3.20354676195879e-06,-7.80450494685181e-06,-5.38487194161445e-06,7.77888436620909e-05,3.19562560242677e-05,4.36915058648906e-06,2.27797411010612e-07,-3.66510517886407e-06
"rb_x_high_26_30",3.07197857940597e-05,3.66163823307363e-05,-1.09933291385238e-05,-1.55587390207297e-05,-2.19559986245817e-07,3.19562560242677e-05,4.61429943179674e-05,2.66944656215139e-06,-5.25967287633687e-06,-2.4716094921839e-06
"q1_x_high_26_30",8.34289465359233e-06,9.30672966100035e-06,3.34066320241561e-05,6.73911509709993e-06,-2.26982839378308e-05,4.36915058648906e-06,2.66944656215139e-06,1.74658818980765e-05,8.42131133266244e-06,-7.64272363508522e-07
"q2_x_high_26_30",1.17984073070175e-06,-2.78609164505859e-07,1.44237949968611e-05,1.64277148473283e-05,5.83058346948956e-07,2.27797411010612e-07,-5.25967287633687e-06,8.42131133266244e-06,9.62221085286153e-06,3.67726486906904e-06
"q3_x_high_26_30",-5.45919193139975e-06,-1.34071058947229e-06,-9.78517495661959e-06,6.68385560249719e-06,2.89623418810215e-05,-3.66510517886407e-06,-2.4716094921839e-06,-7.64272363508522e-07,3.67726486906904e-06,1.0377231044502e-05
