"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30"
"gpt_x_high_22_25",0.000334157986016951,0.000133689624034307,1.48496153333305e-05,-6.39616237433937e-05,-9.04244239124868e-05,9.63173956228755e-05,6.60834664043168e-05,2.21791883738402e-05,-6.91059007960417e-06,-1.83992210845286e-05
"rb_x_high_22_25",0.000133689624034307,0.000275511789980034,9.4072412228633e-06,-6.85754227693497e-05,-6.41061637505587e-05,6.10986733946675e-05,0.000102331634655902,7.43571130852104e-06,-2.1401625952597e-05,-2.22207978294061e-05
"q1_x_high_22_25",1.48496153333305e-05,9.4072412228633e-06,0.000116562501483914,5.88224533511255e-05,2.19352539968083e-05,1.18821194729332e-05,-9.52405872920846e-06,3.91689849936015e-05,2.01166029574755e-05,1.02428244605953e-05
"q2_x_high_22_25",-6.39616237433937e-05,-6.85754227693497e-05,5.88224533511255e-05,0.000106208205732105,8.41001022421509e-05,-2.4263328058526e-05,-4.98221078166383e-05,9.82434642397877e-06,2.79194109511937e-05,2.22381817703309e-05
"q3_x_high_22_25",-9.04244239124868e-05,-6.41061637505587e-05,2.19352539968083e-05,8.41001022421509e-05,0.000132101381076229,-3.54488729147808e-05,-4.93053494910765e-05,-6.49276998211287e-06,1.69322362277563e-05,3.30902695890481e-05
"gpt_x_high_26_30",9.63173956228755e-05,6.10986733946675e-05,1.18821194729332e-05,-2.4263328058526e-05,-3.54488729147808e-05,9.93563815227988e-05,4.72740107554288e-05,8.56667079662677e-06,-6.92639109280984e-06,-1.00263152821086e-05
"rb_x_high_26_30",6.60834664043168e-05,0.000102331634655902,-9.52405872920846e-06,-4.98221078166383e-05,-4.93053494910765e-05,4.72740107554288e-05,0.000129568209406671,6.44771299128678e-06,-2.34926267165274e-05,-2.12640156774025e-05
"q1_x_high_26_30",2.21791883738402e-05,7.43571130852104e-06,3.91689849936015e-05,9.82434642397877e-06,-6.49276998211287e-06,8.56667079662677e-06,6.44771299128678e-06,2.51144542231656e-05,1.18160146251521e-05,3.85977391872289e-06
"q2_x_high_26_30",-6.91059007960417e-06,-2.1401625952597e-05,2.01166029574755e-05,2.79194109511937e-05,1.69322362277563e-05,-6.92639109280984e-06,-2.34926267165274e-05,1.18160146251521e-05,1.76412061410496e-05,1.05181761591654e-05
"q3_x_high_26_30",-1.83992210845286e-05,-2.22207978294061e-05,1.02428244605953e-05,2.22381817703309e-05,3.30902695890481e-05,-1.00263152821086e-05,-2.12640156774025e-05,3.85977391872289e-06,1.05181761591654e-05,1.51197184514484e-05
