quarter,score,coef,se,n_firms,status
2021Q1,ai,-0.0240199770756262,0.0109501856441277,104217,ok
2021Q1_,wfh,0.0224865469420761,0.0104635032584719,104217,ok
2021Q2,ai,0.0113728176161996,0.0113765446868606,104217,ok
2021Q2_,wfh,-0.0052364486962139,0.0106847541340855,104217,ok
2021Q3,ai,0.124749040284112,0.015045122089217,104217,ok
2021Q3_,wfh,-0.110572910809668,0.0127760459531073,104217,ok
2021Q4,ai,0.112850962612452,0.0113450851644508,104217,ok
2021Q4_,wfh,-0.0553757129283951,0.0099383164058837,104217,ok
2022Q2,ai,0.0273663734658798,0.0118995072312525,104217,ok
2022Q2_,wfh,-0.0156349251732907,0.0105043286411799,104217,ok
2022Q3,ai,0.153309498724192,0.0135331181050259,104217,ok
2022Q3_,wfh,-0.120765723349216,0.0115565848934445,104217,ok
2022Q4,ai,0.132903013845056,0.0114695886926575,104217,ok
2022Q4_,wfh,-0.0563093197836252,0.0101939860127477,104217,ok
2023Q1,ai,0.0026230623478044,0.0106918295536845,104217,ok
2023Q1_,wfh,0.0076450565051023,0.0095957450710908,104217,ok
2023Q2,ai,0.0263471763583156,0.0136445442173019,104217,ok
2023Q2_,wfh,-0.0088792533605816,0.0124217086526463,104217,ok
2023Q3,ai,0.149606996629672,0.0168876055748948,104217,ok
2023Q3_,wfh,-0.121635479095564,0.015223390323619,104217,ok
2023Q4,ai,0.122946149674096,0.0140489793588052,104217,ok
2023Q4_,wfh,-0.056745281489685,0.0122166118110223,104217,ok
2024Q1,ai,-0.0139625545829187,0.0162051156900306,104217,ok
2024Q1_,wfh,0.0194416535534264,0.0134940546955725,104217,ok
2024Q2,ai,0.0170817553431689,0.0175096616390144,104217,ok
2024Q2_,wfh,-0.0061265263781211,0.0146686349285989,104217,ok
2024Q3,ai,0.115295473592323,0.0207069193949973,104217,ok
2024Q3_,wfh,-0.104928077567452,0.0180099801238829,104217,ok
2024Q4,ai,0.0902859467758953,0.0189542995515737,104217,ok
2024Q4_,wfh,-0.0407173144429173,0.0159892305367381,104217,ok
2025Q1,ai,-0.0197182381712195,0.023719019191677,104217,ok
2025Q1_,wfh,0.0220536635182227,0.0188288430275044,104217,ok
2025Q2,ai,0.0065247190581393,0.024301532187991,104217,ok
2025Q2_,wfh,-0.0145218263023316,0.0185006561825352,104217,ok
