part,spec,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
R,score_without_post2019_codes,employers_changing_quartile,0.0,,,,,,,,count
G,gate_22_25,post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226.0,104217.0,ok
G,gate_22_25,tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226.0,104217.0,derived
R,all_sexes_2021,cells,8691054.0,,,,,,,,count
R,all_sexes_2021,cells_identical,8690892.0,,,,,,,,count
R,all_sexes_2021,share_identical,0.9999813601434302,,,,,,,,count
R,all_sexes_2021,max_abs_diff,1.0,,,,,,,,count
R,all_sexes_2021,cells_only_rebuilt,0.0,,,,,,,,count
R,all_sexes_2021,cells_only_headline,0.0,,,,,,,,count
R,all_sexes_2021,person_months_rebuilt,61308551.0,,,,,,,,count
R,all_sexes_2021,person_months_headline,61308389.0,,,,,,,,count
R,by_sex_2021,cells,10996717.0,,,,,,,,count
R,by_sex_2021,cells_identical,10996717.0,,,,,,,,count
R,by_sex_2021,share_identical,1.0,,,,,,,,count
R,by_sex_2021,max_abs_diff,0.0,,,,,,,,count
R,by_sex_2021,cells_only_rebuilt,0.0,,,,,,,,count
R,by_sex_2021,cells_only_headline,0.0,,,,,,,,count
R,by_sex_2021,person_months_rebuilt,61308551.0,,,,,,,,count
R,by_sex_2021,person_months_headline,61308551.0,,,,,,,,count
R,all_sexes_2022,cells,8985629.0,,,,,,,,count
R,all_sexes_2022,cells_identical,8985470.0,,,,,,,,count
R,all_sexes_2022,share_identical,0.9999823050784759,,,,,,,,count
R,all_sexes_2022,max_abs_diff,1.0,,,,,,,,count
R,all_sexes_2022,cells_only_rebuilt,0.0,,,,,,,,count
R,all_sexes_2022,cells_only_headline,0.0,,,,,,,,count
R,all_sexes_2022,person_months_rebuilt,63356850.0,,,,,,,,count
R,all_sexes_2022,person_months_headline,63356691.0,,,,,,,,count
R,by_sex_2022,cells,11405652.0,,,,,,,,count
R,by_sex_2022,cells_identical,11405652.0,,,,,,,,count
R,by_sex_2022,share_identical,1.0,,,,,,,,count
R,by_sex_2022,max_abs_diff,0.0,,,,,,,,count
R,by_sex_2022,cells_only_rebuilt,0.0,,,,,,,,count
R,by_sex_2022,cells_only_headline,0.0,,,,,,,,count
R,by_sex_2022,person_months_rebuilt,63356850.0,,,,,,,,count
R,by_sex_2022,person_months_headline,63356850.0,,,,,,,,count
R,all_sexes_2023,cells,8995857.0,,,,,,,,count
R,all_sexes_2023,cells_identical,8995678.0,,,,,,,,count
R,all_sexes_2023,share_identical,0.9999801019513761,,,,,,,,count
R,all_sexes_2023,max_abs_diff,1.0,,,,,,,,count
R,all_sexes_2023,cells_only_rebuilt,0.0,,,,,,,,count
R,all_sexes_2023,cells_only_headline,0.0,,,,,,,,count
R,all_sexes_2023,person_months_rebuilt,64308413.0,,,,,,,,count
R,all_sexes_2023,person_months_headline,64308234.0,,,,,,,,count
R,by_sex_2023,cells,11425799.0,,,,,,,,count
R,by_sex_2023,cells_identical,11425799.0,,,,,,,,count
R,by_sex_2023,share_identical,1.0,,,,,,,,count
R,by_sex_2023,max_abs_diff,0.0,,,,,,,,count
R,by_sex_2023,cells_only_rebuilt,0.0,,,,,,,,count
R,by_sex_2023,cells_only_headline,0.0,,,,,,,,count
R,by_sex_2023,person_months_rebuilt,64308413.0,,,,,,,,count
R,by_sex_2023,person_months_headline,64308413.0,,,,,,,,count
R,all_sexes_2024,cells,8880818.0,,,,,,,,count
R,all_sexes_2024,cells_identical,8880639.0,,,,,,,,count
R,all_sexes_2024,share_identical,0.9999798441990366,,,,,,,,count
R,all_sexes_2024,max_abs_diff,1.0,,,,,,,,count
R,all_sexes_2024,cells_only_rebuilt,0.0,,,,,,,,count
R,all_sexes_2024,cells_only_headline,0.0,,,,,,,,count
R,all_sexes_2024,person_months_rebuilt,63836491.0,,,,,,,,count
R,all_sexes_2024,person_months_headline,63836312.0,,,,,,,,count
R,by_sex_2024,cells,11278157.0,,,,,,,,count
R,by_sex_2024,cells_identical,11278157.0,,,,,,,,count
R,by_sex_2024,share_identical,1.0,,,,,,,,count
R,by_sex_2024,max_abs_diff,0.0,,,,,,,,count
R,by_sex_2024,cells_only_rebuilt,0.0,,,,,,,,count
R,by_sex_2024,cells_only_headline,0.0,,,,,,,,count
R,by_sex_2024,person_months_rebuilt,63836491.0,,,,,,,,count
R,by_sex_2024,person_months_headline,63836491.0,,,,,,,,count
R,all_sexes_2025,cells,4336635.0,,,,,,,,count
R,all_sexes_2025,cells_identical,4336543.0,,,,,,,,count
R,all_sexes_2025,share_identical,0.9999787853946666,,,,,,,,count
R,all_sexes_2025,max_abs_diff,1.0,,,,,,,,count
R,all_sexes_2025,cells_only_rebuilt,0.0,,,,,,,,count
R,all_sexes_2025,cells_only_headline,0.0,,,,,,,,count
R,all_sexes_2025,person_months_rebuilt,31863505.0,,,,,,,,count
R,all_sexes_2025,person_months_headline,31863413.0,,,,,,,,count
R,by_sex_2025,cells,5514578.0,,,,,,,,count
R,by_sex_2025,cells_identical,5514578.0,,,,,,,,count
R,by_sex_2025,share_identical,1.0,,,,,,,,count
R,by_sex_2025,max_abs_diff,0.0,,,,,,,,count
R,by_sex_2025,cells_only_rebuilt,0.0,,,,,,,,count
R,by_sex_2025,cells_only_headline,0.0,,,,,,,,count
R,by_sex_2025,person_months_rebuilt,31863505.0,,,,,,,,count
R,by_sex_2025,person_months_headline,31863505.0,,,,,,,,count
R,estimation_panel_22_25,cells,24884226.0,,,,,,,,count
R,estimation_panel_22_25,cells_identical,24883569.0,,,,,,,,count
R,estimation_panel_22_25,share_identical,0.9999735977321537,,,,,,,,count
R,estimation_panel_22_25,max_abs_diff,1.0,,,,,,,,count
R,estimation_panel_22_25,cells_only_rebuilt,0.0,,,,,,,,count
R,estimation_panel_22_25,cells_only_headline,0.0,,,,,,,,count
R,estimation_panel_22_25,person_months_rebuilt,222281470.0,,,,,,,,count
R,estimation_panel_22_25,person_months_headline,222280813.0,,,,,,,,count
R,rebuilt_22_25,post,-0.0577790594292718,0.0154934642046599,-3.7292537463567283,,,,24884226.0,104217.0,ok
R,rebuilt_22_25,tau,-0.039862262527293996,0.010245415357184227,-3.890741481685467,0.000240047433061,9.33659676038264e-05,0.0001142224324118,24884226.0,104217.0,derived
D,year_2020,production_nonmatch_share,0.17529090947981646,,,,,,,,share
D,year_2021,production_nonmatch_share,0.16743912261330066,,,,,,,,share
D,year_2022,production_nonmatch_share,0.18450346519184863,,,,,,,,share
D,year_2023,production_nonmatch_share,0.15325310181019844,,,,,,,,share
D,year_2024,production_nonmatch_share,0.1622713599225451,,,,,,,,share
D,year_2025,production_nonmatch_share,0.16627892857146434,,,,,,,,share
R,basematch_sum_vs_headline,cells,39889993.0,,,,,,,,count
R,basematch_sum_vs_headline,cells_identical,39889993.0,,,,,,,,count
R,basematch_sum_vs_headline,share_identical,1.0,,,,,,,,count
R,basematch_sum_vs_headline,max_abs_diff,0.0,,,,,,,,count
R,basematch_sum_vs_headline,cells_only_rebuilt,0.0,,,,,,,,count
R,basematch_sum_vs_headline,cells_only_headline,0.0,,,,,,,,count
R,basematch_sum_vs_headline,person_months_rebuilt,284673039.0,,,,,,,,count
R,basematch_sum_vs_headline,person_months_headline,284673039.0,,,,,,,,count
M,baseline_22_25,post,-0.469524387257118,0.0234494299534571,-20.022848665790146,,,,15161796.0,65595.0,ok
M,baseline_22_25,tau,-0.326996375620709,0.017637082385904376,-18.54027601991845,0.000549875765142,6.10744819039785e-05,0.0001499417859794,15161796.0,65595.0,derived
M,other_22_25,post,0.0740099013213915,0.0315084221266853,2.3488926555516274,,,,18127855.0,82481.0,ok
M,other_22_25,tau,-0.0736207806778655,0.022890289941304803,-3.2162450046130315,0.0009927806649133,0.0012066855582997,0.000837750424808,18127855.0,82481.0,derived
