period,band,status,linked,codecat,lag,person_months,year,category,share_of_month_band_status
202007,26-30,entrant,yes,current,0,8135.0,2020,current,0.5203070035177486
202004,unknown,entrant,no,none,na,680.0,2020,no_age_sex,0.7640449438202247
202010,over69,new_match,yes,current,1,364.0,2020,current,0.011186232329440689
202012,35-40,incumbent,yes,carried_earlier,1,132.0,2020,carried_earlier,0.00023428764132692
202011,35-40,incumbent,yes,carried_earlier,2+,335.0,2020,carried_earlier,0.0005975846875613194
202008,22-25,entrant,yes,carried_earlier,1,11.0,2020,carried_earlier,0.0008715632675699231
202004,26-30,incumbent,yes,current,2+,66959.0,2020,current,0.12832532565720758
202002,41-49,new_match,yes,current,1,4947.0,2020,current,0.13586553514047953
202007,31-34,entrant,yes,current,2+,1449.0,2020,current,0.133622279601623
202008,under22,new_match,yes,carried_earlier,0,172.0,2020,carried_earlier,0.0014195987157583712
202007,under22,entrant,yes,current,2+,171.0,2020,current,0.0031476061626815395
202006,over69,incumbent,yes,current,0,29566.0,2020,current,0.038185892427011425
202011,41-49,incumbent,yes,carried_earlier,2+,408.0,2020,carried_earlier,0.0004486849571769798
202009,22-25,new_match,yes,current,2+,17021.0,2020,current,0.17158266129032257
202003,50-69,entrant,yes,current,0,3292.0,2020,current,0.3460891505466779
202003,22-25,new_match,yes,current,2+,7165.0,2020,current,0.17220246106517978
202009,31-34,entrant,yes,current,0,7552.0,2020,current,0.5691032403918613
202001,35-40,new_match,yes,current,0,12062.0,2020,current,0.6619107721011908
202007,26-30,new_match,yes,current,1,14903.0,2020,current,0.15467726701885853
202005,under22,incumbent,yes,carried_earlier,0,646.0,2020,carried_earlier,0.0038203150872876948
202005,35-40,new_match,yes,current,2+,7634.0,2020,current,0.13929640172250202
202002,35-40,new_match,yes,current,1,4044.0,2020,current,0.14277140335392763
202002,under22,incumbent,yes,carried_earlier,0,736.0,2020,carried_earlier,0.0035543536002318058
202009,22-25,entrant,yes,current,0,6692.0,2020,current,0.48971825832418586
202008,50-69,entrant,yes,carried_earlier,2+,19.0,2020,carried_earlier,0.0010622239615363112
202005,41-49,new_match,yes,current,0,46953.0,2020,current,0.672110966375127
202002,31-34,incumbent,yes,none,na,15340.0,2020,none,0.033929495658174706
202011,50-69,entrant,yes,current,2+,5524.0,2020,current,0.23847349335175272
202002,unknown,entrant,no,none,na,428.0,2020,no_age_sex,0.781021897810219
202009,35-40,entrant,yes,current,1,331.0,2020,current,0.02210645829159153
202004,over69,entrant,yes,current,2+,212.0,2020,current,0.10211946050096339
202006,31-34,new_match,yes,carried_earlier,0,157.0,2020,carried_earlier,0.00283813586897574
202004,41-49,entrant,yes,carried_earlier,0,131.0,2020,carried_earlier,0.01428415658052557
202001,unknown,entrant,no,none,na,2036.0,2020,no_age_sex,0.9746290090952608
202006,over69,new_match,yes,carried_earlier,0,169.0,2020,carried_earlier,0.005307288886097415
202005,22-25,new_match,yes,carried_earlier,0,123.0,2020,carried_earlier,0.002112204420174128
202010,31-34,incumbent,yes,carried_earlier,1,131.0,2020,carried_earlier,0.000337539261484709
202002,22-25,new_match,yes,current,0,16458.0,2020,current,0.5608260069515436
202001,41-49,new_match,yes,current,0,16400.0,2020,current,0.6779941295630245
202003,35-40,entrant,yes,carried_earlier,0,69.0,2020,carried_earlier,0.00996389891696751
202011,26-30,new_match,yes,current,0,84326.0,2020,current,0.6638744774486108
202001,35-40,new_match,yes,carried_earlier,2+,10.0,2020,carried_earlier,0.000548757065247215
202007,under22,entrant,yes,current,0,6084.0,2020,current,0.11198851399856424
202009,unknown,incumbent,no,none,na,9979.0,2020,no_age_sex,0.9905697836013501
202005,31-34,new_match,yes,current,2+,6861.0,2020,current,0.1438003018108652
202003,35-40,new_match,yes,carried_earlier,2+,11.0,2020,carried_earlier,0.00027902493468279937
202006,under22,new_match,yes,current,0,33217.0,2020,current,0.4575407374757228
202012,under22,incumbent,yes,carried_earlier,1,11.0,2020,carried_earlier,7.548309178743961e-05
202005,41-49,new_match,yes,current,2+,9623.0,2020,current,0.13774889420117667
202005,35-40,new_match,yes,current,0,36190.0,2020,current,0.6603532588862127
202005,under22,incumbent,yes,none,na,56159.0,2020,none,0.33211311917490655
202009,41-49,entrant,yes,current,1,265.0,2020,current,0.01746868820039552
202001,50-69,new_match,yes,carried_earlier,0,253.0,2020,carried_earlier,0.006071951424388605
202005,26-30,entrant,yes,current,2+,1604.0,2020,current,0.14013629215446444
202009,50-69,incumbent,yes,none,na,80321.0,2020,none,0.046876468154221196
202010,22-25,entrant,yes,current,0,7238.0,2020,current,0.544292374793202
202008,unknown,new_match,no,none,na,735.0,2020,no_age_sex,0.98
202004,over69,entrant,yes,current,0,98.0,2020,current,0.04720616570327553
202002,under22,incumbent,yes,carried_earlier,2+,11.0,2020,carried_earlier,5.312213261216014e-05
202004,41-49,entrant,yes,carried_earlier,2+,21.0,2020,carried_earlier,0.002289826627412496
202003,22-25,new_match,yes,current,0,23476.0,2020,current,0.5642184195347049
202007,35-40,entrant,yes,current,0,6610.0,2020,current,0.5336670434361376
202011,26-30,incumbent,yes,carried_earlier,1,173.0,2020,carried_earlier,0.00038575085400333574
202003,41-49,entrant,yes,carried_earlier,0,103.0,2020,carried_earlier,0.014820143884892086
202006,50-69,incumbent,yes,carried_earlier,2+,1680.0,2020,carried_earlier,0.0009394055464069136
202010,under22,new_match,yes,carried_earlier,2+,16.0,2020,carried_earlier,0.00014987307623856046
202001,over69,new_match,yes,carried_earlier,1,6.0,2020,carried_earlier,0.0001959375612304879
202001,31-34,new_match,yes,carried_earlier,1,11.0,2020,carried_earlier,0.0007014411427113888
202003,41-49,new_match,yes,carried_earlier,2+,22.0,2020,carried_earlier,0.00043664655446173386
202006,22-25,entrant,yes,carried_earlier,2+,15.0,2020,carried_earlier,0.0016032492518170158
202001,over69,entrant,yes,carried_earlier,2+,,2020,carried_earlier,
202010,41-49,new_match,yes,current,1,15395.0,2020,current,0.14000672978110024
202002,31-34,new_match,yes,carried_earlier,2+,18.0,2020,carried_earlier,0.000734873846656324
202010,unknown,entrant,no,current,1,27.0,2020,no_age_sex,0.017928286852589643
202005,41-49,entrant,yes,carried_earlier,1,5.0,2020,carried_earlier,0.0005026641198351262
202002,under22,entrant,yes,none,na,6008.0,2020,none,0.8349082823790995
202010,22-25,new_match,yes,current,1,13196.0,2020,current,0.14062383443983845
202002,over69,new_match,yes,carried_earlier,2+,30.0,2020,carried_earlier,0.0009605532786885246
202011,31-34,new_match,yes,carried_earlier,1,21.0,2020,carried_earlier,0.00026225086168140267
202005,over69,entrant,yes,current,2+,187.0,2020,current,0.08775222900046926
202009,50-69,incumbent,yes,carried_earlier,1,627.0,2020,carried_earlier,0.00036592604091951905
202002,35-40,new_match,yes,current,2+,4124.0,2020,current,0.14559576345984113
202011,over69,incumbent,yes,carried_earlier,2+,311.0,2020,carried_earlier,0.0004121274123036597
202002,over69,entrant,yes,carried_earlier,0,31.0,2020,carried_earlier,0.019375
202004,31-34,new_match,yes,carried_earlier,2+,33.0,2020,carried_earlier,0.0007739938080495357
202010,under22,new_match,yes,current,0,59806.0,2020,current,0.5602068248452092
202009,50-69,entrant,yes,none,na,6485.0,2020,none,0.32828794168269715
202003,over69,entrant,yes,current,0,106.0,2020,current,0.0502131691141639
202006,41-49,new_match,yes,current,1,11622.0,2020,current,0.13731583113768212
202001,under22,incumbent,yes,current,1,35170.0,2020,current,0.1520398061568124
202011,31-34,incumbent,yes,current,1,34649.0,2020,current,0.09037321432763257
202002,41-49,new_match,yes,current,2+,5252.0,2020,current,0.14424212463266595
202010,35-40,entrant,yes,current,1,324.0,2020,current,0.02002843543302219
202011,26-30,entrant,yes,carried_earlier,2+,44.0,2020,carried_earlier,0.0020531006485931596
202001,over69,entrant,yes,none,na,1081.0,2020,none,0.8328197226502311
202006,26-30,entrant,yes,current,1,315.0,2020,current,0.022950819672131147
202008,50-69,entrant,yes,current,0,7093.0,2020,current,0.3965449767987924
202012,31-34,incumbent,yes,current,0,287130.0,2020,current,0.7448809378656241
202012,35-40,entrant,yes,current,2+,2318.0,2020,current,0.12124699236321791
202012,41-49,entrant,yes,current,2+,2514.0,2020,current,0.12934760238732249
202011,over69,entrant,yes,carried_earlier,1,,2020,carried_earlier,
202003,unknown,incumbent,no,current,1,12.0,2020,no_age_sex,0.0010711416584843346
202004,31-34,incumbent,yes,current,0,307671.0,2020,current,0.7138670787392806
