year_month,age_group,n_emp,source
2021-01,22-25,318583,rebuilt
2021-01,26-30,565525,rebuilt
2021-01,31-34,489320,rebuilt
2021-01,35-40,670476,rebuilt
2021-01,41-49,1031418,rebuilt
2021-01,50+,1911975,rebuilt
2021-02,22-25,311168,rebuilt
2021-02,26-30,562174,rebuilt
2021-02,31-34,487683,rebuilt
2021-02,35-40,669730,rebuilt
2021-02,41-49,1029251,rebuilt
2021-02,50+,1904373,rebuilt
2021-03,22-25,314352,rebuilt
2021-03,26-30,565050,rebuilt
2021-03,31-34,489282,rebuilt
2021-03,35-40,672957,rebuilt
2021-03,41-49,1035657,rebuilt
2021-03,50+,1915463,rebuilt
2021-04,22-25,322415,rebuilt
2021-04,26-30,571954,rebuilt
2021-04,31-34,494047,rebuilt
2021-04,35-40,678470,rebuilt
2021-04,41-49,1042459,rebuilt
2021-04,50+,1923945,rebuilt
2021-05,22-25,332534,rebuilt
2021-05,26-30,580442,rebuilt
2021-05,31-34,499650,rebuilt
2021-05,35-40,685451,rebuilt
2021-05,41-49,1052936,rebuilt
2021-05,50+,1938454,rebuilt
2021-06,22-25,362901,rebuilt
2021-06,26-30,604398,rebuilt
2021-06,31-34,512079,rebuilt
2021-06,35-40,696635,rebuilt
2021-06,41-49,1063230,rebuilt
2021-06,50+,1955412,rebuilt
2021-07,22-25,386795,rebuilt
2021-07,26-30,604024,rebuilt
2021-07,31-34,504471,rebuilt
2021-07,35-40,686322,rebuilt
2021-07,41-49,1048111,rebuilt
2021-07,50+,1913577,rebuilt
2021-08,22-25,386034,rebuilt
2021-08,26-30,605648,rebuilt
2021-08,31-34,505171,rebuilt
2021-08,35-40,685545,rebuilt
2021-08,41-49,1044506,rebuilt
2021-08,50+,1884885,rebuilt
2021-09,22-25,391322,rebuilt
2021-09,26-30,616786,rebuilt
2021-09,31-34,515183,rebuilt
2021-09,35-40,697650,rebuilt
2021-09,41-49,1060774,rebuilt
2021-09,50+,1914098,rebuilt
2021-10,22-25,355721,rebuilt
2021-10,26-30,600820,rebuilt
