part,spec,cohorts,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,young_person_months_interim,young_person_months_later,status
G,gate_22_25,age 22-25,post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226.0,104217.0,,,ok
G,gate_22_25,age 22-25,tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226.0,104217.0,,,derived
paths,e1998,,2021-01,76806.0,,,,,,,,,,national_person_months
paths,e1998,,2021-02,74761.0,,,,,,,,,,national_person_months
paths,e1998,,2021-03,75350.0,,,,,,,,,,national_person_months
paths,e1998,,2021-04,77645.0,,,,,,,,,,national_person_months
paths,e1998,,2021-05,80325.0,,,,,,,,,,national_person_months
paths,e1998,,2021-06,88071.0,,,,,,,,,,national_person_months
paths,e1998,,2021-07,95161.0,,,,,,,,,,national_person_months
paths,e1998,,2021-08,94863.0,,,,,,,,,,national_person_months
paths,e1998,,2021-09,95728.0,,,,,,,,,,national_person_months
paths,e1998,,2021-10,85558.0,,,,,,,,,,national_person_months
paths,e1998,,2021-11,86119.0,,,,,,,,,,national_person_months
paths,e1998,,2021-12,87996.0,,,,,,,,,,national_person_months
paths,e1998,,2022-01,88728.0,,,,,,,,,,national_person_months
paths,e1998,,2022-02,85997.0,,,,,,,,,,national_person_months
paths,e1998,,2022-03,87054.0,,,,,,,,,,national_person_months
paths,e1998,,2022-04,89234.0,,,,,,,,,,national_person_months
paths,e1998,,2022-05,92318.0,,,,,,,,,,national_person_months
paths,e1998,,2022-06,98859.0,,,,,,,,,,national_person_months
paths,e1998,,2022-07,102557.0,,,,,,,,,,national_person_months
paths,e1998,,2022-08,101080.0,,,,,,,,,,national_person_months
paths,e1998,,2022-09,102748.0,,,,,,,,,,national_person_months
paths,e1998,,2022-10,94707.0,,,,,,,,,,national_person_months
paths,e1998,,2022-11,93206.0,,,,,,,,,,national_person_months
paths,e1998,,2022-12,94287.0,,,,,,,,,,national_person_months
paths,e1998,,2023-01,95484.0,,,,,,,,,,national_person_months
paths,e1998,,2023-02,92084.0,,,,,,,,,,national_person_months
paths,e1998,,2023-03,92949.0,,,,,,,,,,national_person_months
paths,e1998,,2023-04,94782.0,,,,,,,,,,national_person_months
paths,e1998,,2023-05,95922.0,,,,,,,,,,national_person_months
paths,e1998,,2023-06,101484.0,,,,,,,,,,national_person_months
paths,e1998,,2023-07,103321.0,,,,,,,,,,national_person_months
paths,e1998,,2023-08,101988.0,,,,,,,,,,national_person_months
paths,e1998,,2023-09,103621.0,,,,,,,,,,national_person_months
paths,e1998,,2023-10,97668.0,,,,,,,,,,national_person_months
paths,e1998,,2023-11,96209.0,,,,,,,,,,national_person_months
paths,e1998,,2023-12,96913.0,,,,,,,,,,national_person_months
paths,e1998,,2024-01,96970.0,,,,,,,,,,national_person_months
paths,e1998,,2024-02,94551.0,,,,,,,,,,national_person_months
paths,e1998,,2024-03,95058.0,,,,,,,,,,national_person_months
paths,e1998,,2024-04,96008.0,,,,,,,,,,national_person_months
paths,e1998,,2024-05,97357.0,,,,,,,,,,national_person_months
paths,e1998,,2024-06,101965.0,,,,,,,,,,national_person_months
paths,e1998,,2024-07,102605.0,,,,,,,,,,national_person_months
paths,e1998,,2024-08,100967.0,,,,,,,,,,national_person_months
paths,e1998,,2024-09,102986.0,,,,,,,,,,national_person_months
paths,e1998,,2024-10,98010.0,,,,,,,,,,national_person_months
paths,e1998,,2024-11,97328.0,,,,,,,,,,national_person_months
paths,e1998,,2024-12,97521.0,,,,,,,,,,national_person_months
paths,e1998,,2025-01,98487.0,,,,,,,,,,national_person_months
paths,e1998,,2025-02,97212.0,,,,,,,,,,national_person_months
paths,e1998,,2025-03,97539.0,,,,,,,,,,national_person_months
paths,e1998,,2025-04,98055.0,,,,,,,,,,national_person_months
paths,e1998,,2025-05,99341.0,,,,,,,,,,national_person_months
paths,e1998,,2025-06,103218.0,,,,,,,,,,national_person_months
paths,e1999,,2021-01,75887.0,,,,,,,,,,national_person_months
paths,e1999,,2021-02,73638.0,,,,,,,,,,national_person_months
paths,e1999,,2021-03,74784.0,,,,,,,,,,national_person_months
paths,e1999,,2021-04,76858.0,,,,,,,,,,national_person_months
paths,e1999,,2021-05,80125.0,,,,,,,,,,national_person_months
paths,e1999,,2021-06,88630.0,,,,,,,,,,national_person_months
paths,e1999,,2021-07,97535.0,,,,,,,,,,national_person_months
paths,e1999,,2021-08,96979.0,,,,,,,,,,national_person_months
paths,e1999,,2021-09,97643.0,,,,,,,,,,national_person_months
paths,e1999,,2021-10,86437.0,,,,,,,,,,national_person_months
paths,e1999,,2021-11,87238.0,,,,,,,,,,national_person_months
paths,e1999,,2021-12,89208.0,,,,,,,,,,national_person_months
paths,e1999,,2022-01,89718.0,,,,,,,,,,national_person_months
paths,e1999,,2022-02,86744.0,,,,,,,,,,national_person_months
paths,e1999,,2022-03,88039.0,,,,,,,,,,national_person_months
paths,e1999,,2022-04,90288.0,,,,,,,,,,national_person_months
paths,e1999,,2022-05,94233.0,,,,,,,,,,national_person_months
paths,e1999,,2022-06,101582.0,,,,,,,,,,national_person_months
paths,e1999,,2022-07,107090.0,,,,,,,,,,national_person_months
paths,e1999,,2022-08,104953.0,,,,,,,,,,national_person_months
paths,e1999,,2022-09,105562.0,,,,,,,,,,national_person_months
paths,e1999,,2022-10,95730.0,,,,,,,,,,national_person_months
paths,e1999,,2022-11,93796.0,,,,,,,,,,national_person_months
paths,e1999,,2022-12,94997.0,,,,,,,,,,national_person_months
paths,e1999,,2023-01,96818.0,,,,,,,,,,national_person_months
paths,e1999,,2023-02,92456.0,,,,,,,,,,national_person_months
paths,e1999,,2023-03,93458.0,,,,,,,,,,national_person_months
paths,e1999,,2023-04,95301.0,,,,,,,,,,national_person_months
paths,e1999,,2023-05,96570.0,,,,,,,,,,national_person_months
paths,e1999,,2023-06,103545.0,,,,,,,,,,national_person_months
paths,e1999,,2023-07,106961.0,,,,,,,,,,national_person_months
paths,e1999,,2023-08,104999.0,,,,,,,,,,national_person_months
paths,e1999,,2023-09,106322.0,,,,,,,,,,national_person_months
paths,e1999,,2023-10,98186.0,,,,,,,,,,national_person_months
paths,e1999,,2023-11,96465.0,,,,,,,,,,national_person_months
paths,e1999,,2023-12,97256.0,,,,,,,,,,national_person_months
paths,e1999,,2024-01,97649.0,,,,,,,,,,national_person_months
paths,e1999,,2024-02,94909.0,,,,,,,,,,national_person_months
paths,e1999,,2024-03,95354.0,,,,,,,,,,national_person_months
paths,e1999,,2024-04,96326.0,,,,,,,,,,national_person_months
paths,e1999,,2024-05,97900.0,,,,,,,,,,national_person_months
paths,e1999,,2024-06,104191.0,,,,,,,,,,national_person_months
paths,e1999,,2024-07,105645.0,,,,,,,,,,national_person_months
paths,e1999,,2024-08,103934.0,,,,,,,,,,national_person_months
paths,e1999,,2024-09,106222.0,,,,,,,,,,national_person_months
paths,e1999,,2024-10,98803.0,,,,,,,,,,national_person_months
paths,e1999,,2024-11,97703.0,,,,,,,,,,national_person_months
paths,e1999,,2024-12,98359.0,,,,,,,,,,national_person_months
paths,e1999,,2025-01,99823.0,,,,,,,,,,national_person_months
paths,e1999,,2025-02,98118.0,,,,,,,,,,national_person_months
paths,e1999,,2025-03,98663.0,,,,,,,,,,national_person_months
paths,e1999,,2025-04,99271.0,,,,,,,,,,national_person_months
paths,e1999,,2025-05,100596.0,,,,,,,,,,national_person_months
paths,e1999,,2025-06,105590.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-01,174188.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-02,167954.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-03,178817.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-04,186424.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-05,195487.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-06,218966.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-07,262114.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-08,264626.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-09,268310.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-10,237814.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-11,240173.0,,,,,,,,,,national_person_months
paths,e2000_02,,2021-12,249041.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-01,245316.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-02,234728.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-03,241200.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-04,248172.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-05,260567.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-06,279623.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-07,300789.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-08,291000.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-09,293276.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-10,260060.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-11,252041.0,,,,,,,,,,national_person_months
paths,e2000_02,,2022-12,255960.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-01,258123.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-02,243548.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-03,247330.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-04,254182.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-05,260228.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-06,282429.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-07,300889.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-08,291671.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-09,291930.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-10,257471.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-11,251740.0,,,,,,,,,,national_person_months
paths,e2000_02,,2023-12,254774.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-01,255576.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-02,245102.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-03,246071.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-04,250700.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-05,257090.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-06,280171.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-07,295118.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-08,287349.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-09,290115.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-10,256446.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-11,253221.0,,,,,,,,,,national_person_months
paths,e2000_02,,2024-12,255997.0,,,,,,,,,,national_person_months
paths,e2000_02,,2025-01,261415.0,,,,,,,,,,national_person_months
paths,e2000_02,,2025-02,255627.0,,,,,,,,,,national_person_months
paths,e2000_02,,2025-03,256204.0,,,,,,,,,,national_person_months
paths,e2000_02,,2025-04,259966.0,,,,,,,,,,national_person_months
paths,e2000_02,,2025-05,265778.0,,,,,,,,,,national_person_months
paths,e2000_02,,2025-06,286724.0,,,,,,,,,,national_person_months
paths,e2003,,2021-01,17915.0,,,,,,,,,,national_person_months
paths,e2003,,2021-02,17354.0,,,,,,,,,,national_person_months
paths,e2003,,2021-03,26165.0,,,,,,,,,,national_person_months
paths,e2003,,2021-04,28552.0,,,,,,,,,,national_person_months
paths,e2003,,2021-05,26518.0,,,,,,,,,,national_person_months
paths,e2003,,2021-06,35225.0,,,,,,,,,,national_person_months
paths,e2003,,2021-07,62431.0,,,,,,,,,,national_person_months
paths,e2003,,2021-08,66239.0,,,,,,,,,,national_person_months
paths,e2003,,2021-09,53966.0,,,,,,,,,,national_person_months
paths,e2003,,2021-10,41763.0,,,,,,,,,,national_person_months
paths,e2003,,2021-11,46227.0,,,,,,,,,,national_person_months
paths,e2003,,2021-12,51989.0,,,,,,,,,,national_person_months
paths,e2003,,2022-01,50025.0,,,,,,,,,,national_person_months
paths,e2003,,2022-02,45999.0,,,,,,,,,,national_person_months
paths,e2003,,2022-03,55936.0,,,,,,,,,,national_person_months
paths,e2003,,2022-04,58069.0,,,,,,,,,,national_person_months
paths,e2003,,2022-05,65063.0,,,,,,,,,,national_person_months
paths,e2003,,2022-06,72592.0,,,,,,,,,,national_person_months
paths,e2003,,2022-07,92306.0,,,,,,,,,,national_person_months
paths,e2003,,2022-08,95573.0,,,,,,,,,,national_person_months
paths,e2003,,2022-09,98250.0,,,,,,,,,,national_person_months
paths,e2003,,2022-10,89878.0,,,,,,,,,,national_person_months
paths,e2003,,2022-11,87999.0,,,,,,,,,,national_person_months
paths,e2003,,2022-12,90502.0,,,,,,,,,,national_person_months
paths,e2003,,2023-01,88254.0,,,,,,,,,,national_person_months
paths,e2003,,2023-02,82645.0,,,,,,,,,,national_person_months
paths,e2003,,2023-03,84559.0,,,,,,,,,,national_person_months
paths,e2003,,2023-04,87007.0,,,,,,,,,,national_person_months
paths,e2003,,2023-05,89004.0,,,,,,,,,,national_person_months
paths,e2003,,2023-06,95233.0,,,,,,,,,,national_person_months
paths,e2003,,2023-07,101983.0,,,,,,,,,,national_person_months
paths,e2003,,2023-08,97361.0,,,,,,,,,,national_person_months
paths,e2003,,2023-09,98564.0,,,,,,,,,,national_person_months
paths,e2003,,2023-10,87545.0,,,,,,,,,,national_person_months
paths,e2003,,2023-11,85594.0,,,,,,,,,,national_person_months
paths,e2003,,2023-12,86686.0,,,,,,,,,,national_person_months
paths,e2003,,2024-01,85424.0,,,,,,,,,,national_person_months
paths,e2003,,2024-02,81192.0,,,,,,,,,,national_person_months
paths,e2003,,2024-03,81957.0,,,,,,,,,,national_person_months
paths,e2003,,2024-04,83716.0,,,,,,,,,,national_person_months
paths,e2003,,2024-05,86825.0,,,,,,,,,,national_person_months
paths,e2003,,2024-06,94114.0,,,,,,,,,,national_person_months
paths,e2003,,2024-07,100203.0,,,,,,,,,,national_person_months
paths,e2003,,2024-08,96268.0,,,,,,,,,,national_person_months
paths,e2003,,2024-09,96707.0,,,,,,,,,,national_person_months
paths,e2003,,2024-10,82661.0,,,,,,,,,,national_person_months
paths,e2003,,2024-11,81383.0,,,,,,,,,,national_person_months
paths,e2003,,2024-12,82602.0,,,,,,,,,,national_person_months
paths,e2003,,2025-01,84047.0,,,,,,,,,,national_person_months
paths,e2003,,2025-02,81138.0,,,,,,,,,,national_person_months
paths,e2003,,2025-03,81409.0,,,,,,,,,,national_person_months
paths,e2003,,2025-04,83289.0,,,,,,,,,,national_person_months
paths,e2003,,2025-05,86033.0,,,,,,,,,,national_person_months
paths,e2003,,2025-06,93950.0,,,,,,,,,,national_person_months
paths,nc,,2021-01,371206.0,,,,,,,,,,national_person_months
paths,nc,,2021-02,366363.0,,,,,,,,,,national_person_months
paths,nc,,2021-03,368839.0,,,,,,,,,,national_person_months
paths,nc,,2021-04,375643.0,,,,,,,,,,national_person_months
paths,nc,,2021-05,383713.0,,,,,,,,,,national_person_months
paths,nc,,2021-06,408903.0,,,,,,,,,,national_person_months
paths,nc,,2021-07,419093.0,,,,,,,,,,national_person_months
paths,nc,,2021-08,419901.0,,,,,,,,,,national_person_months
paths,nc,,2021-09,427926.0,,,,,,,,,,national_person_months
paths,nc,,2021-10,405224.0,,,,,,,,,,national_person_months
paths,nc,,2021-11,406733.0,,,,,,,,,,national_person_months
paths,nc,,2021-12,413518.0,,,,,,,,,,national_person_months
paths,nc,,2022-01,413559.0,,,,,,,,,,national_person_months
paths,nc,,2022-02,406525.0,,,,,,,,,,national_person_months
paths,nc,,2022-03,410952.0,,,,,,,,,,national_person_months
paths,nc,,2022-04,417518.0,,,,,,,,,,national_person_months
paths,nc,,2022-05,427362.0,,,,,,,,,,national_person_months
paths,nc,,2022-06,445559.0,,,,,,,,,,national_person_months
paths,nc,,2022-07,446757.0,,,,,,,,,,national_person_months
paths,nc,,2022-08,443829.0,,,,,,,,,,national_person_months
paths,nc,,2022-09,452192.0,,,,,,,,,,national_person_months
paths,nc,,2022-10,435872.0,,,,,,,,,,national_person_months
paths,nc,,2022-11,430708.0,,,,,,,,,,national_person_months
paths,nc,,2022-12,434761.0,,,,,,,,,,national_person_months
paths,nc,,2023-01,435654.0,,,,,,,,,,national_person_months
paths,nc,,2023-02,426648.0,,,,,,,,,,national_person_months
paths,nc,,2023-03,429897.0,,,,,,,,,,national_person_months
paths,nc,,2023-04,433198.0,,,,,,,,,,national_person_months
paths,nc,,2023-05,439193.0,,,,,,,,,,national_person_months
paths,nc,,2023-06,453976.0,,,,,,,,,,national_person_months
paths,nc,,2023-07,451545.0,,,,,,,,,,national_person_months
paths,nc,,2023-08,446550.0,,,,,,,,,,national_person_months
paths,nc,,2023-09,453437.0,,,,,,,,,,national_person_months
paths,nc,,2023-10,440362.0,,,,,,,,,,national_person_months
paths,nc,,2023-11,436501.0,,,,,,,,,,national_person_months
paths,nc,,2023-12,439090.0,,,,,,,,,,national_person_months
paths,nc,,2024-01,436110.0,,,,,,,,,,national_person_months
paths,nc,,2024-02,429222.0,,,,,,,,,,national_person_months
paths,nc,,2024-03,432035.0,,,,,,,,,,national_person_months
paths,nc,,2024-04,433968.0,,,,,,,,,,national_person_months
paths,nc,,2024-05,439107.0,,,,,,,,,,national_person_months
paths,nc,,2024-06,452880.0,,,,,,,,,,national_person_months
paths,nc,,2024-07,446757.0,,,,,,,,,,national_person_months
paths,nc,,2024-08,441220.0,,,,,,,,,,national_person_months
paths,nc,,2024-09,448297.0,,,,,,,,,,national_person_months
paths,nc,,2024-10,436737.0,,,,,,,,,,national_person_months
paths,nc,,2024-11,433056.0,,,,,,,,,,national_person_months
paths,nc,,2024-12,435368.0,,,,,,,,,,national_person_months
paths,nc,,2025-01,436590.0,,,,,,,,,,national_person_months
paths,nc,,2025-02,432287.0,,,,,,,,,,national_person_months
paths,nc,,2025-03,432917.0,,,,,,,,,,national_person_months
paths,nc,,2025-04,434294.0,,,,,,,,,,national_person_months
paths,nc,,2025-05,437984.0,,,,,,,,,,national_person_months
paths,nc,,2025-06,451024.0,,,,,,,,,,national_person_months
paths,ref,,2021-01,3857615.0,,,,,,,,,,national_person_months
paths,ref,,2021-02,3846715.0,,,,,,,,,,national_person_months
paths,ref,,2021-03,3866236.0,,,,,,,,,,national_person_months
paths,ref,,2021-04,3890547.0,,,,,,,,,,national_person_months
paths,ref,,2021-05,3927244.0,,,,,,,,,,national_person_months
paths,ref,,2021-06,3974311.0,,,,,,,,,,national_person_months
paths,ref,,2021-07,3907717.0,,,,,,,,,,national_person_months
paths,ref,,2021-08,3883709.0,,,,,,,,,,national_person_months
paths,ref,,2021-09,3944579.0,,,,,,,,,,national_person_months
paths,ref,,2021-10,3950417.0,,,,,,,,,,national_person_months
paths,ref,,2021-11,3961115.0,,,,,,,,,,national_person_months
paths,ref,,2021-12,4035967.0,,,,,,,,,,national_person_months
paths,ref,,2022-01,3945329.0,,,,,,,,,,national_person_months
paths,ref,,2022-02,3919699.0,,,,,,,,,,national_person_months
paths,ref,,2022-03,3961925.0,,,,,,,,,,national_person_months
paths,ref,,2022-04,3979629.0,,,,,,,,,,national_person_months
paths,ref,,2022-05,4034155.0,,,,,,,,,,national_person_months
paths,ref,,2022-06,4068474.0,,,,,,,,,,national_person_months
paths,ref,,2022-07,3979970.0,,,,,,,,,,national_person_months
paths,ref,,2022-08,3932220.0,,,,,,,,,,national_person_months
paths,ref,,2022-09,3999920.0,,,,,,,,,,national_person_months
paths,ref,,2022-10,4019955.0,,,,,,,,,,national_person_months
paths,ref,,2022-11,3997051.0,,,,,,,,,,national_person_months
paths,ref,,2022-12,4059960.0,,,,,,,,,,national_person_months
paths,ref,,2023-01,4000198.0,,,,,,,,,,national_person_months
paths,ref,,2023-02,3972698.0,,,,,,,,,,national_person_months
paths,ref,,2023-03,4000396.0,,,,,,,,,,national_person_months
paths,ref,,2023-04,4007182.0,,,,,,,,,,national_person_months
paths,ref,,2023-05,4048083.0,,,,,,,,,,national_person_months
paths,ref,,2023-06,4078759.0,,,,,,,,,,national_person_months
paths,ref,,2023-07,3995440.0,,,,,,,,,,national_person_months
paths,ref,,2023-08,3933749.0,,,,,,,,,,national_person_months
paths,ref,,2023-09,4000578.0,,,,,,,,,,national_person_months
paths,ref,,2023-10,4002497.0,,,,,,,,,,national_person_months
paths,ref,,2023-11,3992342.0,,,,,,,,,,national_person_months
paths,ref,,2023-12,4043903.0,,,,,,,,,,national_person_months
paths,ref,,2024-01,3955019.0,,,,,,,,,,national_person_months
paths,ref,,2024-02,3927005.0,,,,,,,,,,national_person_months
paths,ref,,2024-03,3950430.0,,,,,,,,,,national_person_months
paths,ref,,2024-04,3958865.0,,,,,,,,,,national_person_months
paths,ref,,2024-05,4000345.0,,,,,,,,,,national_person_months
paths,ref,,2024-06,4039967.0,,,,,,,,,,national_person_months
paths,ref,,2024-07,3944786.0,,,,,,,,,,national_person_months
paths,ref,,2024-08,3873047.0,,,,,,,,,,national_person_months
paths,ref,,2024-09,3937961.0,,,,,,,,,,national_person_months
paths,ref,,2024-10,3939982.0,,,,,,,,,,national_person_months
