part,spec,sample,young_band,reference,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
G,gate,full,22-25,31-69,rb,0.0159026409405227,0.0074886603471222,2.1235628541537324,,,,24884226,104217,ok
G,gate,full,22-25,31-69,interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
G,gate,full,22-25,31-69,post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
G,gate,full,22-25,31-69,tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
R,ref_31-49,own,22-25,31-49,rb,0.0237253367417965,0.007575501517398,3.1318503055287583,,,,19330056,98508,ok
R,ref_31-49,own,22-25,31-49,interim,-0.0031752181606823,0.0079584762141393,-0.398973129434137,,,,19330056,98508,ok
R,ref_31-49,own,22-25,31-49,post,-0.0357232830527502,0.0147255441967408,-2.425939753089521,,,,19330056,98508,ok
R,ref_31-49,own,22-25,31-49,tau,-0.0325480648920679,0.010083139085074898,-3.227969446563092,0.0002168416518901,6.33373436510224e-05,8.92546508660787e-05,19330056,98508,derived
R,ref_31-49,E49,22-25,31-49,rb,0.0237253367417965,0.007575501517398,3.1318503055287583,,,,19330056,98508,ok
R,ref_31-49,E49,22-25,31-49,interim,-0.0031752181606823,0.0079584762141393,-0.398973129434137,,,,19330056,98508,ok
R,ref_31-49,E49,22-25,31-49,post,-0.0357232830527502,0.0147255441967408,-2.425939753089521,,,,19330056,98508,ok
R,ref_31-49,E49,22-25,31-49,tau,-0.0325480648920679,0.010083139085074898,-3.227969446563092,0.0002168416518901,6.33373436510224e-05,8.92546508660787e-05,19330056,98508,derived
R,ref_31-59,own,22-25,31-59,rb,0.0176220606423132,0.0074891160148173,2.35302278766249,,,,24612984,103471,ok
R,ref_31-59,own,22-25,31-59,interim,-0.0064636947856753,0.007858006231393,-0.822561677267781,,,,24612984,103471,ok
R,ref_31-59,own,22-25,31-59,post,-0.0403768381376724,0.014753941090774,-2.736681534056078,,,,24612984,103471,ok
R,ref_31-59,own,22-25,31-59,tau,-0.0339131433519971,0.010188902723114334,-3.3284392121108826,0.00021767877771,6.17482619326111e-05,8.78066504707622e-05,24612984,103471,derived
R,ref_31-59,E49,22-25,31-59,rb,0.0172712215166369,0.0075282330789236,2.294193250337883,,,,24076980,98508,ok
R,ref_31-59,E49,22-25,31-59,interim,-0.0071092935134532,0.007909442095684,-0.8988362804163618,,,,24076980,98508,ok
R,ref_31-59,E49,22-25,31-59,post,-0.0421549186560184,0.0148593447879012,-2.836929841640248,,,,24076980,98508,ok
R,ref_31-59,E49,22-25,31-59,tau,-0.0350456251425652,0.010250297830948342,-3.4189860353865282,0.0002208001275257,6.25592742649783e-05,8.9145398083767e-05,24076980,98508,derived
R,ref_31-69,E49,22-25,31-69,rb,0.0163847982502991,0.0075393254907851,2.17324457875248,,,,24267654,98508,ok
R,ref_31-69,E49,22-25,31-69,interim,-0.0183511995695835,0.0097330933237296,-1.8854437083062456,,,,24267654,98508,ok
R,ref_31-69,E49,22-25,31-69,post,-0.0588222974964613,0.0155991317075387,-3.7708699816948044,,,,24267654,98508,ok
R,ref_31-69,E49,22-25,31-69,tau,-0.040471097926877794,0.010308789603834745,-3.9258826188307343,0.0002433329100291,9.47331056484313e-05,0.0001158974362907,24267654,98508,derived
G,gate,full,26-30,31-69,rb,0.0183900247256397,0.0044229201167001,4.157892125657545,,,,28077246,117090,ok
G,gate,full,26-30,31-69,interim,-0.0079610883383595,0.0057058017212049,-1.3952620030193317,,,,28077246,117090,ok
G,gate,full,26-30,31-69,post,-0.0482395072048235,0.0103523581787355,-4.659760256741404,,,,28077246,117090,ok
G,gate,full,26-30,31-69,tau,-0.040278418866464,0.006748377821886895,-5.968607557186516,0.0001071713198608,3.25561732817059e-05,4.70934449577855e-05,28077246,117090,derived
R,ref_31-49,own,26-30,31-49,rb,0.0253656210726778,0.0044096803290095,5.752258481370555,,,,21964716,112114,ok
R,ref_31-49,own,26-30,31-49,interim,0.0089358386270804,0.0045476468837323,1.9649367806118372,,,,21964716,112114,ok
R,ref_31-49,own,26-30,31-49,post,-0.0218689248833668,0.0093188661605443,-2.346736663732648,,,,21964716,112114,ok
