"term","rb_x_high_nc_x_young","q1_x_high_nc_x_young","q2_x_high_nc_x_young","q3_x_high_nc_x_young","interim_x_high_nc_x_young","post_x_high_nc_x_young","rb_x_high_ec_x_young","q1_x_high_ec_x_young","q2_x_high_ec_x_young","q3_x_high_ec_x_young","interim_x_high_ec_x_young","post_x_high_ec_x_young"
"rb_x_high_nc_x_young",5.02304988733982e-05,-1.05227550665913e-05,-1.29375775966771e-05,-1.98509649020297e-06,2.38419615299895e-05,3.96407836240085e-05,1.96748263846302e-05,-1.89369076097375e-05,-1.16072545438675e-05,7.11903201823796e-06,2.55041676034373e-05,7.85092824452464e-05
"q1_x_high_nc_x_young",-1.05227550665913e-05,1.11482378149461e-05,4.41165242778438e-06,-2.45847217620045e-06,-5.7078678933116e-06,-1.69384377523301e-05,2.59749095273168e-06,1.94251727444492e-05,-1.55413076251297e-08,-1.8688225427575e-05,1.37175742687196e-06,-1.30820590182995e-05
"q2_x_high_nc_x_young",-1.29375775966771e-05,4.41165242778438e-06,1.17798554564335e-05,4.08046915165558e-06,-4.41729248562711e-06,-9.06388569120597e-06,-5.74430045915558e-06,6.96449259342523e-06,1.70585784371068e-05,4.27553300431082e-06,-5.75834970555881e-06,-2.00848923481456e-05
"q3_x_high_nc_x_young",-1.98509649020297e-06,-2.45847217620045e-06,4.08046915165558e-06,1.51571916767899e-05,-1.52524624331943e-06,-4.01457083708329e-06,-1.5451906864873e-06,-7.25420915439789e-06,1.11882067173838e-05,3.95689394235545e-05,-2.39010291484828e-06,-9.4649638245537e-06
"interim_x_high_nc_x_young",2.38419615299895e-05,-5.7078678933116e-06,-4.41729248562711e-06,-1.52524624331943e-06,3.99559587000991e-05,6.22378914454582e-05,7.55307614996576e-06,-6.43805359758994e-06,-1.32148807109827e-06,-2.12535955582424e-06,4.23866125089881e-05,8.88957156859032e-05
"post_x_high_nc_x_young",3.96407836240085e-05,-1.69384377523301e-05,-9.06388569120597e-06,-4.01457083708329e-06,6.22378914454582e-05,0.00013020130507021,3.51776670962994e-06,-2.01947011915803e-05,-1.82365170970478e-06,6.72076772319578e-06,5.69993486445764e-05,0.000158970933269646
"rb_x_high_ec_x_young",1.96748263846302e-05,2.59749095273168e-06,-5.74430045915558e-06,-1.5451906864873e-06,7.55307614996576e-06,3.51776670962994e-06,0.000129973074933413,-8.76030704278626e-06,-2.91151037998569e-05,-1.73055156626584e-05,5.85297308505491e-05,0.000109593295689949
"q1_x_high_ec_x_young",-1.89369076097375e-05,1.94251727444492e-05,6.96449259342523e-06,-7.25420915439789e-06,-6.43805359758994e-06,-2.01947011915803e-05,-8.76030704278626e-06,5.32253350878976e-05,1.38701665330574e-05,-3.35235765952456e-05,-1.2336676731452e-05,-5.04355717098917e-05
"q2_x_high_ec_x_young",-1.16072545438675e-05,-1.55413076251297e-08,1.70585784371068e-05,1.11882067173838e-05,-1.32148807109827e-06,-1.82365170970478e-06,-2.91151037998569e-05,1.38701665330574e-05,5.98907884574795e-05,4.22229927418029e-05,-2.86568496170809e-05,-6.58201916931881e-05
"q3_x_high_ec_x_young",7.11903201823796e-06,-1.8688225427575e-05,4.27553300431082e-06,3.95689394235545e-05,-2.12535955582424e-06,6.72076772319578e-06,-1.73055156626584e-05,-3.35235765952456e-05,4.22229927418029e-05,0.000151884922581873,-2.7623038859915e-05,-4.86085552444652e-05
"interim_x_high_ec_x_young",2.55041676034373e-05,1.37175742687196e-06,-5.75834970555881e-06,-2.39010291484828e-06,4.23866125089881e-05,5.69993486445764e-05,5.85297308505491e-05,-1.2336676731452e-05,-2.86568496170809e-05,-2.7623038859915e-05,0.000131682963650635,0.000230820917387159
"post_x_high_ec_x_young",7.85092824452464e-05,-1.30820590182995e-05,-2.00848923481456e-05,-9.4649638245537e-06,8.88957156859032e-05,0.000158970933269646,0.000109593295689949,-5.04355717098917e-05,-6.58201916931881e-05,-4.86085552444652e-05,0.000230820917387159,0.000523730774664426
