part,spec,young_band,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
G,gate,22-25,hy_post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
G,gate,22-25,hy_interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
G,gate,22-25,hy_tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
Q,continuous_per_sd,22-25,z_post,-0.0112543055618376,0.0060307171704095,-1.8661637154961133,,,,24884226,104217,ok
Q,continuous_per_sd,22-25,z_interim,-0.0008023079697378,0.0034796215318608,-0.2305733432189532,,,,24884226,104217,ok
Q,continuous_per_sd,22-25,z_tau,-0.0104519975920998,0.004047128025598499,-2.582571523804003,3.63695495894721e-05,1.21077660049893e-05,1.60490351694383e-05,24884226,104217,derived
Q,quartiles_vs_q1,22-25,q2_vs_q1_post,0.0190355938695716,0.010940794181628,1.739873134761693,,,,24884226,104217,ok
Q,quartiles_vs_q1,22-25,q2_vs_q1_interim,0.0174876073689582,0.0065596262764794,2.6659456852996093,,,,24884226,104217,ok
Q,quartiles_vs_q1,22-25,q2_vs_q1_tau,0.0015479865006133992,0.007417349761029043,0.20869805934547705,0.0001197009773247,4.30286968870792e-05,5.38562983671708e-05,24884226,104217,derived
Q,quartiles_vs_q1,22-25,q3_vs_q1_post,0.0283734719725978,0.0227459931131669,1.2474052828308184,,,,24884226,104217,ok
Q,quartiles_vs_q1,22-25,q3_vs_q1_interim,0.0198730032352179,0.0095452212714119,2.0819845522845957,,,,24884226,104217,ok
Q,quartiles_vs_q1,22-25,q3_vs_q1_tau,0.0085004687373799,0.016591020068712325,0.5123535926166621,0.0005173802027042,9.11112491202152e-05,0.000166614752452,24884226,104217,derived
Q,quartiles_vs_q1,22-25,q4_vs_q1_post,-0.0428907605118811,0.0154706504391363,-2.772395425817379,,,,24884226,104217,ok
Q,quartiles_vs_q1,22-25,q4_vs_q1_interim,-0.0061517072080761,0.0099547726169225,-0.6179656175791074,,,,24884226,104217,ok
Q,quartiles_vs_q1,22-25,q4_vs_q1_tau,-0.036739053303805,0.010250692912497738,-3.584055596769699,0.0002393410250099,9.90974978546313e-05,0.0001166809088391,24884226,104217,derived
K,base_balance_sheet,22-25,hy_post,-0.0823971544551624,0.0153447534381564,-5.369728147620339,,,,21131280,88613,ok
K,base_balance_sheet,22-25,hy_interim,-0.039447777952168,0.0103398959970325,-3.8151039394873334,,,,21131280,88613,ok
K,base_balance_sheet,22-25,hy_tau,-0.042949376502994394,0.010150221107039982,-4.231373489313016,0.0002354614580778,0.0001069134492294,0.0001196739593927,21131280,88613,derived
K,leverage,22-25,hy_post,-0.087946312806306,0.0200262765191371,-4.391545913303681,,,,21131280,88613,ok
K,leverage,22-25,hy_interim,-0.0440816739457777,0.0102393808330138,-4.305111282085496,,,,21131280,88613,ok
K,leverage,22-25,hy_tau,-0.043864638860528306,0.014317043088567558,-3.063805744606237,0.0004010517512209,0.0001048449198434,0.0001504594741322,21131280,88613,derived
K,leverage,22-25,young_x_lev_post,-0.0049933592393228,0.0091764997554535,-0.5441463926760634,,,,21131280,88613,ok
K,leverage,22-25,young_x_lev_interim,-0.0074021426797266,0.0059629565781309,-1.241354449380682,,,,21131280,88613,ok
K,leverage,22-25,young_x_lev_tau,0.0024087834404038005,0.0071340248107331665,0.3376471913554011,8.42081477618385e-05,3.55568511526753e-05,3.44353444571787e-05,21131280,88613,derived
K,leverage,22-25,hy_x_lev_post,0.0098838128998519,0.0299781342160683,0.3297007354965463,,,,21131280,88613,ok
K,leverage,22-25,hy_x_lev_interim,0.0079237121513091,0.0195317348208854,0.4056839919225315,,,,21131280,88613,ok
K,leverage,22-25,hy_x_lev_tau,0.0019601007485428,0.02010349960099236,0.09750047441720268,0.0008986885310766,0.0003814886651133,0.0004380132499914,21131280,88613,derived
G,gate,26-30,hy_post,-0.0482395072048235,0.0103523581787355,-4.659760256741404,,,,28077246,117090,ok
G,gate,26-30,hy_interim,-0.0079610883383595,0.0057058017212049,-1.3952620030193317,,,,28077246,117090,ok
G,gate,26-30,hy_tau,-0.040278418866464,0.006748377821886895,-5.968607557186516,0.0001071713198608,3.25561732817059e-05,4.70934449577855e-05,28077246,117090,derived
K,base_balance_sheet,26-30,hy_post,-0.0579724010788188,0.0113648999051379,-5.101004105861975,,,,23639796,98669,ok
K,base_balance_sheet,26-30,hy_interim,-0.0164796439650688,0.006299245778435,-2.616129699445232,,,,23639796,98669,ok
K,base_balance_sheet,26-30,hy_tau,-0.04149275711375,0.0076101524984529,-5.452289835477704,0.0001291609498538,3.96804973771313e-05,5.54635130906112e-05,23639796,98669,derived
K,leverage,26-30,hy_post,-0.0933431318043246,0.0166266702202494,-5.614060456353025,,,,23639796,98669,ok
K,leverage,26-30,hy_interim,-0.0275676270402027,0.0069014586641267,-3.9944638346524193,,,,23639796,98669,ok
K,leverage,26-30,hy_tau,-0.0657755047641219,0.012635354270750085,-5.205671590577191,0.0002764461626129,4.76301316926496e-05,8.22120583790936e-05,23639796,98669,derived
K,leverage,26-30,young_x_lev_post,-0.0197301304184579,0.007851359060071,-2.5129573450280436,,,,23639796,98669,ok
K,leverage,26-30,young_x_lev_interim,-0.0097333587614075,0.0042811452313114,-2.273540895137066,,,,23639796,98669,ok
K,leverage,26-30,young_x_lev_tau,-0.009996771657050398,0.005336846450460638,-1.8731608169441618,6.16438390901589e-05,1.83282044915806e-05,2.57450567729726e-05,23639796,98669,derived
K,leverage,26-30,hy_x_lev_post,0.0650046897366982,0.0224948885489538,2.889753803191057,,,,23639796,98669,ok
K,leverage,26-30,hy_x_lev_interim,0.0200433316638321,0.0119292311031089,1.6801863833963757,,,,23639796,98669,ok
K,leverage,26-30,hy_x_lev_tau,0.04496135807286611,0.015405179792819688,2.918587038745401,0.0005060200108298,0.0001423065547113,0.000205503500546,23639796,98669,derived
G,sex_gate,22-25,hy_post,-0.0170545156285412,0.017881866326603,-0.9537324190355375,,,,38398914,104217,ok
G,sex_gate,22-25,hy_interim,-0.0112076118254517,0.0108996287957366,-1.028256286107245,,,,38398914,104217,ok
G,sex_gate,22-25,hy_tau,-0.005846903803089502,0.012032506381124427,-0.4859256764876208,0.0003197611433224,0.0001188019078848,0.0001468909206977,38398914,104217,derived
G,sex_gate,22-25,hyf_post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_interim,-0.0144440223321822,0.0090818222832219,-1.5904321711807363,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914,104217,derived
P,path,22-25,pq_2021Q1_x_hy,0.0146281296964296,0.0106071939254631,1.3790762947506827,,,,13899544,100631,ok
P,path,22-25,pq_2021Q1_x_hf,-0.0159297706678523,0.0025203796306831,-6.320385418896139,,,,13899544,100631,ok
P,path,22-25,pq_2021Q1_x_hyf,-0.0208035008770758,0.0119076589366642,-1.7470689232642458,,,,13899544,100631,ok
P,path,22-25,pq_2021Q2_x_hy,0.0364414704066972,0.0116819645238703,3.1194642247230466,,,,13899544,100631,ok
P,path,22-25,pq_2021Q2_x_hf,-0.0127530597390404,0.0022057617830054,-5.781703100170713,,,,13899544,100631,ok
P,path,22-25,pq_2021Q2_x_hyf,-0.0249658737981963,0.012489410124415,-1.9989634057569787,,,,13899544,100631,ok
P,path,22-25,pq_2021Q3_x_hy,0.0752894841373165,0.0173884379338077,4.329858980083192,,,,13899544,100631,ok
P,path,22-25,pq_2021Q3_x_hf,-0.007660993124725,0.0021190938358738,-3.6152212776203085,,,,13899544,100631,ok
P,path,22-25,pq_2021Q3_x_hyf,-0.0630103197960107,0.0148036834892322,-4.256394690000141,,,,13899544,100631,ok
P,path,22-25,pq_2021Q4_x_hy,0.164388488286693,0.0115023724026012,14.291702835974728,,,,13899544,100631,ok
P,path,22-25,pq_2021Q4_x_hf,-0.011026810230329,0.0021700918240246,-5.081264354002746,,,,13899544,100631,ok
P,path,22-25,pq_2021Q4_x_hyf,-0.0036385923238019,0.011109292018037,-0.32752693131968236,,,,13899544,100631,ok
P,path,22-25,pq_2022Q2_x_hy,0.0321870913639897,0.0088218143269533,3.6485795519010686,,,,13899544,100631,ok
P,path,22-25,pq_2022Q2_x_hf,0.00054002102312,0.0013387493354718,0.4033772483104065,,,,13899544,100631,ok
P,path,22-25,pq_2022Q2_x_hyf,-0.0068031472901906,0.0076660656651461,-0.8874366053399759,,,,13899544,100631,ok
P,path,22-25,pq_2022Q3_x_hy,0.09758796288763,0.0165564360854384,5.89426144515847,,,,13899544,100631,ok
P,path,22-25,pq_2022Q3_x_hf,0.0043462880763386,0.0019119892599155,2.273175988724269,,,,13899544,100631,ok
P,path,22-25,pq_2022Q3_x_hyf,-0.0728591996030389,0.0132956742811658,-5.479917607958309,,,,13899544,100631,ok
P,path,22-25,pq_2022Q4_x_hy,0.169907354595569,0.0129927369758447,13.077102608284177,,,,13899544,100631,ok
P,path,22-25,pq_2022Q4_x_hf,0.0046334436854471,0.0023873724376476,1.9408130932485208,,,,13899544,100631,ok
P,path,22-25,pq_2022Q4_x_hyf,-0.0200026346429202,0.0122838549825255,-1.6283678593873923,,,,13899544,100631,ok
P,path,22-25,pq_2022Q1_reference,0.0,0.0,,,,,13899544,100631,reference
P,path_indcl,22-25,pq_2021Q1_x_hy,0.0146281296964296,0.0133734670578193,1.0938173050552897,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q1_x_hf,-0.0159297706678523,0.0042599336476525,-3.739441030174411,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q1_x_hyf,-0.0208035008770758,0.0137053373235951,-1.5179123567619532,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q2_x_hy,0.0364414704066972,0.0248880667482022,1.4642145882757072,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q2_x_hf,-0.0127530597390404,0.0032581410175548,-3.914213556235646,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q2_x_hyf,-0.0249658737981963,0.0189268568053158,-1.3190713098851354,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q3_x_hy,0.0752894841373165,0.0466408567256968,1.6142388760160942,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q3_x_hf,-0.007660993124725,0.0033487100893446,-2.2877445106704917,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q3_x_hyf,-0.0630103197960107,0.0356551132814818,-1.7672169289877526,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q4_x_hy,0.164388488286693,0.0345050743343792,4.764182992149192,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q4_x_hf,-0.011026810230329,0.0027774956231898,-3.9700549438365336,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2021Q4_x_hyf,-0.0036385923238019,0.0268726614868508,-0.13540126368139302,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q2_x_hy,0.0321870913639897,0.0228596547661455,1.408030510227034,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q2_x_hf,0.00054002102312,0.00179276878262,0.3012217907603226,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q2_x_hyf,-0.0068031472901906,0.0142464273976092,-0.47753356685987725,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q3_x_hy,0.09758796288763,0.0478835650400302,2.0380262581962603,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q3_x_hf,0.0043462880763386,0.0031542672288952,1.3779073746585864,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q3_x_hyf,-0.0728591996030389,0.0341544826477967,-2.133225098279714,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q4_x_hy,0.169907354595569,0.0381411375069674,4.454700769334195,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q4_x_hf,0.0046334436854471,0.0047930523216254,0.9667000012793155,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q4_x_hyf,-0.0200026346429202,0.0272466140636215,-0.7341328576172279,,,,13899544,100631,ok
P,path_indcl,22-25,pq_2022Q1_reference,0.0,0.0,,,,,13899544,100631,reference
P,drift,22-25,q1_x_hy,-0.156960681269528,0.0109443664695048,-14.341687269599444,,,,13899544,100631,ok
P,drift,22-25,q1_x_hf,0.0057438736285874,0.0019361198830754,2.966693167503467,,,,13899544,100631,ok
P,drift,22-25,q1_x_hyf,0.0029192314738804,0.0099694053147567,0.2928190179568041,,,,13899544,100631,ok
P,drift,22-25,q2_x_hy,-0.135176617228038,0.0099274648924296,-13.616428634375714,,,,13899544,100631,ok
P,drift,22-25,q2_x_hf,0.0044440933374528,0.0013448482479414,3.3045314549470604,,,,13899544,100631,ok
P,drift,22-25,q2_x_hyf,0.0028619177087428,0.0071597633204586,0.39972239034285384,,,,13899544,100631,ok
P,drift,22-25,q3_x_hy,-0.0816345571446264,0.0109221545668301,-7.4742173483376115,,,,13899544,100631,ok
P,drift,22-25,q3_x_hf,0.0051712329365461,0.0014932490517529,3.4630746495205713,,,,13899544,100631,ok
P,drift,22-25,q3_x_hyf,-0.0537943726088785,0.0071145171131381,-7.561212061678584,,,,13899544,100631,ok
P,drift,22-25,rbw_x_hy,0.0122690700125292,0.0083395911142915,1.4711836401072205,,,,13899544,100631,ok
P,drift,22-25,rbw_x_hf,-0.0011529093937832,0.0017412376296591,-0.6621206515097637,,,,13899544,100631,ok
P,drift,22-25,rbw_x_hyf,-0.0186557018188289,0.009579465565858,-1.9474679135879303,,,,13899544,100631,ok
P,drift,22-25,trend_x_hy,-0.0003113881423452,0.0008914029020344,-0.34932368027357313,,,,13899544,100631,ok
P,drift,22-25,trend_x_hf,0.0012378364797381,0.0002076650655168,5.960735266943392,,,,13899544,100631,ok
P,drift,22-25,trend_x_hyf,0.0013683266966725,0.000966684029449,1.415484951636609,,,,13899544,100631,ok
