"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.54225810730938e-05,-5.76906538324018e-07,-4.09694328746675e-05,1.9399531893858e-05,-1.30012812481299e-06,-4.54918375913391e-06,3.20611096484183e-05,2.35860297248379e-07,-1.33334408321566e-07,4.762743565202e-06,9.23417394862438e-07,-3.81242731876907e-06,-1.82887847876874e-05,4.16678470112493e-07,4.27306758145539e-06,-1.6032638665562e-05,9.09308288923633e-07,2.28644108506769e-06
"rb_x_high_x_female",-5.76906538324018e-07,4.43234044505296e-06,-1.02181740440692e-06,7.8613458828904e-07,3.09685105305075e-07,-3.45027193012955e-07,1.91404969224757e-06,1.40444501454907e-06,-2.022899143843e-06,-3.05121627397132e-06,-8.17342716947778e-08,6.78850932963147e-07,-2.3347987646888e-06,-5.63790342793269e-07,8.76213833711526e-07,2.65059643876292e-07,-3.56926253639644e-07,4.78992469184347e-07
"rb_x_high_x_young_x_female",-4.09694328746675e-05,-1.02181740440692e-06,8.82738017449088e-05,5.9414379974829e-07,-2.61581966719386e-07,-3.27365025217701e-06,-8.15429276432454e-08,-2.23402028714705e-06,-7.41405484458249e-06,-4.41998614925919e-06,-2.3867795757287e-07,5.56070458286335e-06,3.4766999785314e-06,5.30396362817902e-10,-9.76540932049613e-06,-1.27219561781338e-07,-2.27935890290514e-07,-7.45410172599082e-06
"interim_x_high_x_young",1.9399531893858e-05,7.8613458828904e-07,5.9414379974829e-07,0.000118886125150792,-5.5295555193139e-06,-4.5334173546868e-05,0.000147012415199503,-1.52027836471713e-06,-4.79336694474996e-05,4.85799898367046e-06,-3.86634554624469e-07,9.22410225504949e-06,-1.09302013263889e-05,-7.9224305416497e-07,7.14965386394116e-06,-2.283656534735e-05,-7.49710985932203e-07,-3.00147073000725e-06
"interim_x_high_x_female",-1.30012812481299e-06,3.09685105305075e-07,-2.61581966719386e-07,-5.5295555193139e-06,5.13851412283104e-06,-2.5367367097298e-06,-5.72364539154482e-07,6.95759779460564e-06,-4.45575683773917e-06,-2.23725106433693e-06,-4.33098864822865e-07,1.94489290426654e-06,-2.22728888113141e-06,-1.11060237992507e-07,-6.87641027149229e-08,8.48884087130913e-07,8.64285229457151e-08,-2.34296455767883e-06
"interim_x_high_x_young_x_female",-4.54918375913391e-06,-3.45027193012955e-07,-3.27365025217701e-06,-4.5334173546868e-05,-2.5367367097298e-06,8.25230780477058e-05,-5.75154069071355e-05,-5.51539039299679e-06,8.29604240027921e-05,1.02699789183651e-08,5.1656011684168e-07,-1.11028440984451e-05,6.87663396933448e-06,-2.34450030244375e-07,4.70779523812389e-07,7.11417435260806e-06,-3.67384696913485e-09,9.51500681138234e-06
"post_x_high_x_young",3.20611096484183e-05,1.91404969224757e-06,-8.15429276432454e-08,0.000147012415199503,-5.72364539154482e-07,-5.75154069071355e-05,0.000320068663615331,1.66176745462589e-05,-0.000128536060252932,2.51499551010363e-05,-4.56802723544778e-07,1.04256248225074e-05,-1.21413411659349e-06,-1.37043965961868e-07,3.88930512726712e-06,-3.6530017619751e-05,5.89841390643367e-07,-4.990935600302e-06
"post_x_high_x_female",2.35860297248379e-07,1.40444501454907e-06,-2.23402028714705e-06,-1.52027836471713e-06,6.95759779460564e-06,-5.51539039299679e-06,1.66176745462589e-05,1.54019937824652e-05,-1.69837916960452e-05,-5.62235340283583e-06,-1.37372780519755e-06,3.10308051019838e-06,-5.74430256081887e-06,-4.69506770386726e-07,-8.87258444941177e-07,-7.57532544956171e-07,-2.77757349384644e-07,-4.50949560912252e-06
"post_x_high_x_young_x_female",-1.33334408321566e-07,-2.022899143843e-06,-7.41405484458249e-06,-4.79336694474996e-05,-4.45575683773917e-06,8.29604240027921e-05,-0.000128536060252932,-1.69837916960452e-05,0.000201719438667285,-6.65690048872069e-06,3.88132990856038e-06,-8.15418258619955e-06,-5.09447599397648e-06,1.69702987994499e-06,-1.16833795393273e-06,3.82244484778946e-07,2.45560618767897e-06,2.23547585556233e-06
"q1_x_high_x_young",4.762743565202e-06,-3.05121627397132e-06,-4.41998614925919e-06,4.85799898367046e-06,-2.23725106433693e-06,1.02699789183651e-08,2.51499551010363e-05,-5.62235340283583e-06,-6.65690048872069e-06,0.000108908276705289,-8.12440343441483e-07,7.59225446871878e-06,5.87007513898385e-05,1.40621362699487e-07,1.01172806619439e-06,-2.66918675991863e-05,-1.71843162667954e-06,-1.98023779747321e-06
