"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","rb_x_highlev_x_young","q1_x_highlev_x_young","q2_x_highlev_x_young","q3_x_highlev_x_young","interim_x_highlev_x_young","post_x_highlev_x_young","rb_x_highhlev_x_young","q1_x_highhlev_x_young","q2_x_highhlev_x_young","q3_x_highhlev_x_young","interim_x_highhlev_x_young","post_x_highhlev_x_young"
"rb_x_high_x_young",3.57160144127413e-05,1.08285180190813e-06,-5.19841483000704e-06,-5.07953003812969e-07,-3.30195184613121e-06,-6.80024484465431e-06,7.73062875493878e-06,6.28939755273974e-07,-4.65523374217207e-07,4.74715543645948e-07,8.92051256626044e-07,5.59566104896561e-07,-3.58959687200574e-05,-1.14352608209596e-06,5.09016224978589e-06,3.51572027638131e-07,2.89743318162551e-06,6.3853362388089e-06
"q1_x_high_x_young",1.08285180190813e-06,1.17942841673642e-05,7.78643121533204e-06,6.10152758931788e-06,2.38595059116739e-06,1.20569815589207e-06,7.42196228574763e-07,3.58005486838545e-06,2.33774060462302e-06,2.7798759242124e-06,1.30333977069509e-06,2.66435896819995e-06,-1.21071788844154e-06,-1.17802456683893e-05,-7.80177321457897e-06,-6.31117840410439e-06,-2.67787198994191e-06,-1.74379646520531e-06
"q2_x_high_x_young",-5.19841483000704e-06,7.78643121533204e-06,9.63212321638175e-06,4.70430276083642e-06,6.59716189785385e-06,1.90061386100248e-05,-3.98969347239059e-07,2.33499951861033e-06,2.44840752695591e-06,2.28859481540683e-06,1.40327869982421e-06,3.20484454494918e-06,5.10741896953621e-06,-7.7677322748898e-06,-9.63371037265493e-06,-4.83566734519134e-06,-6.65793686357016e-06,-1.91639349900485e-05
"q3_x_high_x_young",-5.07953003812969e-07,6.10152758931788e-06,4.70430276083642e-06,9.25489057328968e-06,1.7753857730545e-08,-4.67232333450986e-06,4.81331768621299e-07,2.56822737448086e-06,2.12171230412745e-06,5.06318380799277e-06,1.94027409837305e-06,2.02536985937857e-06,4.24921909059937e-07,-6.10721016245341e-06,-4.72492225404056e-06,-9.42972906734243e-06,-1.68013376646604e-07,4.28591728356711e-06
"interim_x_high_x_young",-3.30195184613121e-06,2.38595059116739e-06,6.59716189785385e-06,1.7753857730545e-08,4.76301316926496e-05,8.22120583790936e-05,1.02508910867688e-06,1.18073556115048e-06,1.26518136732603e-06,2.18759412540728e-06,9.05986803155779e-06,1.17142686096308e-05,3.60912410870828e-06,-2.6842124402861e-06,-6.94426657852662e-06,-3.40667914423128e-07,-4.50541968920111e-05,-7.95298790797608e-05
"post_x_high_x_young",-6.80024484465431e-06,1.20569815589207e-06,1.90061386100248e-05,-4.67232333450986e-06,8.22120583790936e-05,0.000276446162612928,1.05386361965484e-06,2.44747819986161e-06,2.89769199612029e-06,2.39700890261411e-06,1.15593239575965e-05,2.83016139760184e-05,6.90225245899084e-06,-1.64146883459883e-06,-1.93653506571682e-05,4.05856296835173e-06,-7.93976251316735e-05,-0.000272582555912431
"rb_x_highlev_x_young",7.73062875493878e-06,7.42196228574763e-07,-3.98969347239059e-07,4.81331768621299e-07,1.02508910867688e-06,1.05386361965484e-06,1.51168413145439e-05,1.41484809454824e-06,-1.04549253292513e-06,7.58697222302253e-07,1.30502322726672e-06,2.50899938687031e-06,-1.50929587594396e-05,-1.41887071863975e-06,1.02930611920424e-06,-7.64685290352993e-07,-1.27965389744383e-06,-2.49089360483621e-06
"q1_x_highlev_x_young",6.28939755273974e-07,3.58005486838545e-06,2.33499951861033e-06,2.56822737448086e-06,1.18073556115048e-06,2.44747819986161e-06,1.41484809454824e-06,7.62464540586911e-06,4.75850270045953e-06,4.50128991044537e-06,2.0414236382016e-06,6.5404446220874e-06,-1.40075729035332e-06,-7.61388079333442e-06,-4.7629004631167e-06,-4.5046719959726e-06,-2.06509936285764e-06,-6.57118633424622e-06
"q2_x_highlev_x_young",-4.65523374217207e-07,2.33774060462302e-06,2.44840752695591e-06,2.12171230412745e-06,1.26518136732603e-06,2.89769199612029e-06,-1.04549253292513e-06,4.75850270045953e-06,5.25242105802379e-06,3.92052660363337e-06,3.0041877685218e-06,6.82758210200947e-06,1.0579012910358e-06,-4.75416219982515e-06,-5.25967817874416e-06,-3.91781309933911e-06,-3.03236530275336e-06,-6.89307339287778e-06
"q3_x_highlev_x_young",4.74715543645948e-07,2.7798759242124e-06,2.28859481540683e-06,5.06318380799277e-06,2.18759412540728e-06,2.39700890261411e-06,7.58697222302253e-07,4.50128991044537e-06,3.92052660363337e-06,8.66789704793304e-06,3.81836624912717e-06,6.03583052076559e-06,-7.30390299008851e-07,-4.50773073160258e-06,-3.93606882139304e-06,-8.67366022307309e-06,-3.79789357558042e-06,-6.0040462932639e-06
"interim_x_highlev_x_young",8.92051256626044e-07,1.30333977069509e-06,1.40327869982421e-06,1.94027409837305e-06,9.05986803155779e-06,1.15593239575965e-05,1.30502322726672e-06,2.0414236382016e-06,3.0041877685218e-06,3.81836624912717e-06,1.83282044915806e-05,2.57450567729726e-05,-1.03916911493109e-06,-2.10234371144003e-06,-3.15647168826393e-06,-3.77994852314734e-06,-1.79684091327427e-05,-2.54387571116032e-05
"post_x_highlev_x_young",5.59566104896561e-07,2.66435896819995e-06,3.20484454494918e-06,2.02536985937857e-06,1.17142686096308e-05,2.83016139760184e-05,2.50899938687031e-06,6.5404446220874e-06,6.82758210200947e-06,6.03583052076559e-06,2.57450567729726e-05,6.16438390901589e-05,-2.17733561968597e-06,-6.60367460021962e-06,-7.03791676998478e-06,-5.97241630904299e-06,-2.54461534449797e-05,-6.16837759952781e-05
"rb_x_highhlev_x_young",-3.58959687200574e-05,-1.21071788844154e-06,5.10741896953621e-06,4.24921909059937e-07,3.60912410870828e-06,6.90225245899084e-06,-1.50929587594396e-05,-1.40075729035332e-06,1.0579012910358e-06,-7.30390299008851e-07,-1.03916911493109e-06,-2.17733561968597e-06,7.23526750294929e-05,1.33911589128518e-06,-1.32071875877817e-05,-5.10864207236299e-06,1.28206559031147e-05,2.18635921518425e-05
"q1_x_highhlev_x_young",-1.14352608209596e-06,-1.17802456683893e-05,-7.7677322748898e-06,-6.10721016245341e-06,-2.6842124402861e-06,-1.64146883459883e-06,-1.41887071863975e-06,-7.61388079333442e-06,-4.75416219982515e-06,-4.50773073160258e-06,-2.10234371144003e-06,-6.60367460021962e-06,1.33911589128518e-06,2.74933784760259e-05,1.79372145355044e-05,1.0865497020931e-05,-1.19112444737179e-06,1.06849006474181e-06
"q2_x_highhlev_x_young",5.09016224978589e-06,-7.80177321457897e-06,-9.63371037265493e-06,-4.72492225404056e-06,-6.94426657852662e-06,-1.93653506571682e-05,1.02930611920424e-06,-4.7629004631167e-06,-5.25967817874416e-06,-3.93606882139304e-06,-3.15647168826393e-06,-7.03791676998478e-06,-1.32071875877817e-05,1.79372145355044e-05,2.15707547736458e-05,1.12273749303967e-05,-1.58031666619358e-06,8.95805206381691e-06
