"term","q1_x_hy","q1_x_hf","q1_x_hyf","q2_x_hy","q2_x_hf","q2_x_hyf","q3_x_hy","q3_x_hf","q3_x_hyf","rbw_x_hy","rbw_x_hf","rbw_x_hyf","trend_x_hy","trend_x_hf","trend_x_hyf"
"q1_x_hy",0.000119779157418822,-2.34483579238449e-06,-4.16585520464496e-06,6.96233095141502e-05,-6.69584711351322e-07,-7.87442370841717e-06,-1.19184681610869e-05,-2.49106039134307e-06,-8.98865486738272e-06,1.86123274961015e-05,-1.13733031397723e-06,-2.17568025652883e-06,-1.61113336017112e-08,-2.52382980959035e-07,-1.12638721086402e-06
"q1_x_hf",-2.34483579238449e-06,3.74856020163996e-06,-3.27054338927567e-06,4.89723251026455e-08,1.82176856187181e-06,-2.00368168827545e-06,-2.85070559382622e-07,1.6677543244815e-06,2.26388440480191e-08,-9.30795075097792e-07,1.10961435254358e-06,-9.37742000423125e-07,1.78372726880201e-07,-2.14010466243924e-09,-3.7888965920677e-08
"q1_x_hyf",-4.16585520464496e-06,-3.27054338927567e-06,9.93890423298993e-05,-2.97608330717468e-05,-1.33638704607765e-06,4.81014559002417e-05,-3.245415908269e-05,-2.682982939368e-06,-5.88858965067337e-06,-1.06395834725346e-06,-1.82651007991133e-07,1.6194127896712e-05,-1.31067060861433e-06,2.78508035373676e-08,1.83177525253438e-06
"q2_x_hy",6.96233095141502e-05,4.89723251026455e-08,-2.97608330717468e-05,9.85545591904233e-05,-3.11740103645291e-07,-2.17283698530221e-05,4.47356778637295e-05,-9.54801111967697e-07,3.59760496351105e-06,-1.72800859397172e-05,-4.05764735693504e-07,4.24111226851715e-06,1.74215983087237e-06,-2.52340940219254e-07,-1.15077348899409e-06
"q2_x_hf",-6.69584711351322e-07,1.82176856187181e-06,-1.33638704607765e-06,-3.11740103645291e-07,1.8086168099912e-06,-2.21791700611185e-06,-9.47041595997202e-07,1.24841497503514e-06,-1.50221291957049e-06,3.11376400700662e-07,-3.93794744083346e-07,2.89732059356739e-07,-4.54771672673503e-08,6.46054723777208e-08,-2.54897608445019e-08
"q2_x_hyf",-7.87442370841717e-06,-2.00368168827545e-06,4.81014559002417e-05,-2.17283698530221e-05,-2.21791700611185e-06,5.1262210804985e-05,-1.43943870407288e-05,-2.52834108640516e-06,1.75686218025453e-05,6.46451257377614e-06,1.11272150268501e-06,-1.84880681233772e-05,-8.85173447781792e-07,-3.3315601866556e-08,2.34308055294716e-06
"q3_x_hy",-1.19184681610869e-05,-2.85070559382622e-07,-3.245415908269e-05,4.47356778637295e-05,-9.47041595997202e-07,-1.43943870407288e-05,0.000119293460381727,1.20108719722642e-06,-4.9279741455159e-07,-1.8417010589244e-05,-8.58677138522661e-08,5.33204223953108e-07,1.57426349635196e-06,2.17858330735047e-08,-5.64273870768265e-07
"q3_x_hf",-2.49106039134307e-06,1.6677543244815e-06,-2.682982939368e-06,-9.54801111967697e-07,1.24841497503514e-06,-2.52834108640516e-06,1.20108719722642e-06,2.22979273056118e-06,-2.39172310325e-06,1.67951263580217e-07,1.43313429916708e-07,3.12509936192726e-07,4.86803006685212e-08,-2.07395386402752e-11,-4.96766118024159e-08
"q3_x_hyf",-8.98865486738272e-06,2.26388440480191e-08,-5.88858965067337e-06,3.59760496351105e-06,-1.50221291957049e-06,1.75686218025453e-05,-4.9279741455159e-07,-2.39172310325e-06,5.06163537531362e-05,1.09490896912011e-06,1.23951024942791e-06,-2.12500222230119e-05,-3.81542027298041e-07,-6.85540292970698e-08,2.15862036574299e-06
"rbw_x_hy",1.86123274961015e-05,-9.30795075097792e-07,-1.06395834725346e-06,-1.72800859397172e-05,3.11376400700662e-07,6.46451257377614e-06,-1.8417010589244e-05,1.67951263580217e-07,1.09490896912011e-06,6.95487799535708e-05,-1.6544850315519e-07,-3.6520960624872e-05,-4.27308906356784e-06,-7.24064772502369e-08,1.9765580608007e-06
"rbw_x_hf",-1.13733031397723e-06,1.10961435254358e-06,-1.82651007991133e-07,-4.05764735693504e-07,-3.93794744083346e-07,1.11272150268501e-06,-8.58677138522661e-08,1.43313429916708e-07,1.23951024942791e-06,-1.6544850315519e-07,3.03190848294112e-06,-3.00165639539726e-06,1.07193606676799e-07,-1.65839941491663e-07,7.6300486184261e-08
"rbw_x_hyf",-2.17568025652883e-06,-9.37742000423125e-07,1.6194127896712e-05,4.24111226851715e-06,2.89732059356739e-07,-1.84880681233772e-05,5.33204223953108e-07,3.12509936192726e-07,-2.12500222230119e-05,-3.6520960624872e-05,-3.00165639539726e-06,9.17661605274607e-05,2.28538616623789e-06,5.89714836582521e-08,-4.94414775021241e-06
"trend_x_hy",-1.61113336017112e-08,1.78372726880201e-07,-1.31067060861433e-06,1.74215983087237e-06,-4.54771672673503e-08,-8.85173447781792e-07,1.57426349635196e-06,4.86803006685212e-08,-3.81542027298041e-07,-4.27308906356784e-06,1.07193606676799e-07,2.28538616623789e-06,7.94599133755515e-07,-4.63764108466204e-09,-4.30129469551489e-07
"trend_x_hf",-2.52382980959035e-07,-2.14010466243924e-09,2.78508035373676e-08,-2.52340940219254e-07,6.46054723777208e-08,-3.3315601866556e-08,2.17858330735047e-08,-2.07395386402752e-11,-6.85540292970698e-08,-7.24064772502369e-08,-1.65839941491663e-07,5.89714836582521e-08,-4.63764108466204e-09,4.31247794361088e-08,-2.77742825849742e-09
"trend_x_hyf",-1.12638721086402e-06,-3.7888965920677e-08,1.83177525253438e-06,-1.15077348899409e-06,-2.54897608445019e-08,2.34308055294716e-06,-5.64273870768265e-07,-4.96766118024159e-08,2.15862036574299e-06,1.9765580608007e-06,7.6300486184261e-08,-4.94414775021241e-06,-4.30129469551489e-07,-2.77742825849742e-09,9.3447801279185e-07
