"term","q1_x_hy","q1_x_hf","q1_x_hyf","q2_x_hy","q2_x_hf","q2_x_hyf","q3_x_hy","q3_x_hf","q3_x_hyf","rbw_x_hy","rbw_x_hf","rbw_x_hyf","trend_x_hy","trend_x_hf","trend_x_hyf"
"q1_x_hy",0.0011422417370427,-1.55048503204284e-06,0.000165665326869081,0.00057231352239479,1.07625209429705e-05,-2.26263269107122e-05,-8.28368483320219e-05,3.74873275399724e-06,-0.00027617647803227,0.000179147483013848,-1.6751533935805e-05,0.000109981616796725,-2.00338171533506e-05,-7.55757031820315e-06,-4.20711355531384e-06
"q1_x_hf",-1.55048503204284e-06,6.40834513873714e-06,-2.53587494043155e-05,7.63563170606422e-06,4.22859350750658e-06,-1.41463730765538e-05,1.52086717543191e-05,3.50950820710767e-06,2.42802187902699e-06,-3.74639407207904e-08,6.28452619970763e-07,-3.95490789425769e-06,7.77350858489618e-08,-1.44424369934154e-07,5.98036382029394e-07
"q1_x_hyf",0.000165665326869081,-2.53587494043155e-05,0.000636826681684348,-0.000235320878409276,-1.01973474394538e-05,0.00029711902486091,-0.000573233703341119,-2.64395873246287e-05,-0.000136548519412568,5.57817248554681e-05,-3.58599397060833e-06,9.79402513502539e-05,-7.13494854312198e-06,1.844189241197e-06,-2.82454195103916e-06
"q2_x_hy",0.00057231352239479,7.63563170606422e-06,-0.000235320878409276,0.000603521223837517,3.81608095114969e-06,-0.000150929409206406,0.000434571790989853,1.02910033104904e-05,-3.17180284159457e-05,1.23274701606924e-06,-3.36930340890579e-06,2.35026225424458e-05,-4.75526953915646e-06,-4.91194447198624e-06,-6.77789237576682e-07
"q2_x_hf",1.07625209429705e-05,4.22859350750658e-06,-1.01973474394538e-05,3.81608095114969e-06,4.29395961825422e-06,-1.05238230655851e-05,-1.55380264316529e-06,2.98521118748951e-06,-8.06157312983874e-06,4.37265775064867e-06,-9.84144257750639e-07,2.76124932339575e-07,-4.18660808255058e-07,-3.41814615658908e-08,2.30282658005813e-07
"q2_x_hyf",-2.26263269107122e-05,-1.41463730765538e-05,0.00029711902486091,-0.000150929409206406,-1.05238230655851e-05,0.00018202642081309,-0.000248328246789254,-1.83592967771753e-05,1.28609952904781e-05,9.58084637544338e-06,1.17559078004381e-06,1.92807587836603e-05,-1.6768709713437e-06,1.40590055242207e-06,1.18433489891146e-06
"q3_x_hy",-8.28368483320219e-05,1.52086717543191e-05,-0.000573233703341119,0.000434571790989853,-1.55380264316529e-06,-0.000248328246789254,0.0008814774849233,2.03988117026589e-05,0.000171750184434474,-0.000116694480351175,7.24147865689455e-06,-7.2929449921818e-05,9.1466552930679e-06,-2.27769484972757e-06,6.18962390823592e-07
"q3_x_hf",3.74873275399724e-06,3.50950820710767e-06,-2.64395873246287e-05,1.02910033104904e-05,2.98521118748951e-06,-1.83592967771753e-05,2.03988117026589e-05,6.1737451802184e-06,-1.41217533807031e-05,3.83001977109867e-06,-6.88382240078332e-07,2.05724941813885e-07,3.09719749554888e-07,-2.66979490808508e-07,-8.96537363601051e-07
"q3_x_hyf",-0.00027617647803227,2.42802187902699e-06,-0.000136548519412568,-3.17180284159457e-05,-8.06157312983874e-06,1.28609952904781e-05,0.000171750184434474,-1.41217533807031e-05,0.000252538960098126,-6.99292186382936e-05,7.21522206239553e-06,-6.06383642899337e-05,2.68194272822547e-06,1.61997783453824e-06,8.26529225133682e-06
"rbw_x_hy",0.000179147483013848,-3.74639407207904e-08,5.57817248554681e-05,1.23274701606924e-06,4.37265775064867e-06,9.58084637544338e-06,-0.000116694480351175,3.83001977109867e-06,-6.99292186382936e-05,0.000111928387772711,-6.14983853084046e-06,3.27260338683812e-06,-8.02985184196873e-06,-1.3539457718841e-06,-5.68723343554977e-07
"rbw_x_hf",-1.6751533935805e-05,6.28452619970763e-07,-3.58599397060833e-06,-3.36930340890579e-06,-9.84144257750639e-07,1.17559078004381e-06,7.24147865689455e-06,-6.88382240078332e-07,7.21522206239553e-06,-6.14983853084046e-06,3.08321942601265e-06,-4.23734523726818e-06,6.50398685868836e-07,-4.19690217596638e-08,3.44249089727377e-07
"rbw_x_hyf",0.000109981616796725,-3.95490789425769e-06,9.79402513502539e-05,2.35026225424458e-05,2.76124932339575e-07,1.92807587836603e-05,-7.2929449921818e-05,2.05724941813885e-07,-6.06383642899337e-05,3.27260338683812e-06,-4.23734523726818e-06,8.38534953492074e-05,1.68181820107576e-08,-2.46524350170096e-07,-5.19917928639005e-06
"trend_x_hy",-2.00338171533506e-05,7.77350858489618e-08,-7.13494854312198e-06,-4.75526953915646e-06,-4.18660808255058e-07,-1.6768709713437e-06,9.1466552930679e-06,3.09719749554888e-07,2.68194272822547e-06,-8.02985184196873e-06,6.50398685868836e-07,1.68181820107576e-08,1.75762354173341e-06,3.07654461513709e-08,-5.48562264588975e-07
"trend_x_hf",-7.55757031820315e-06,-1.44424369934154e-07,1.844189241197e-06,-4.91194447198624e-06,-3.41814615658908e-08,1.40590055242207e-06,-2.27769484972757e-06,-2.66979490808508e-07,1.61997783453824e-06,-1.3539457718841e-06,-4.19690217596638e-08,-2.46524350170096e-07,3.07654461513709e-08,1.27375911220238e-07,8.39711420697181e-08
"trend_x_hyf",-4.20711355531384e-06,5.98036382029394e-07,-2.82454195103916e-06,-6.77789237576682e-07,2.30282658005813e-07,1.18433489891146e-06,6.18962390823592e-07,-8.96537363601051e-07,8.26529225133682e-06,-5.68723343554977e-07,3.44249089727377e-07,-5.19917928639005e-06,-5.48562264588975e-07,8.39711420697181e-08,1.25148540294271e-06
