"term","pq_2021Q1_x_hy","pq_2021Q1_x_hf","pq_2021Q1_x_hyf","pq_2021Q2_x_hy","pq_2021Q2_x_hf","pq_2021Q2_x_hyf","pq_2021Q3_x_hy","pq_2021Q3_x_hf","pq_2021Q3_x_hyf","pq_2021Q4_x_hy","pq_2021Q4_x_hf","pq_2021Q4_x_hyf","pq_2022Q2_x_hy","pq_2022Q2_x_hf","pq_2022Q2_x_hyf","pq_2022Q3_x_hy","pq_2022Q3_x_hf","pq_2022Q3_x_hyf","pq_2022Q4_x_hy","pq_2022Q4_x_hf","pq_2022Q4_x_hyf"
"pq_2021Q1_x_hy",0.000112512562972381,-1.68278665374222e-07,-6.84744194994502e-05,8.50711704067743e-05,2.17192100985213e-06,-5.85519131730944e-05,5.69798808256177e-05,1.95577097317563e-06,-3.42869937003164e-05,3.29987512453634e-05,2.47915363572802e-06,-2.38050209634622e-05,1.89386108715398e-06,1.99068748141002e-06,-8.2686496208887e-06,-1.41729307170007e-06,1.01141175801115e-06,-1.38734433190322e-06,-8.3980824243955e-06,1.90380909214227e-06,-1.76260407643594e-06
"pq_2021Q1_x_hf",-1.68278665374222e-07,6.35231348276246e-06,-1.72468312181997e-07,-2.93742361052255e-07,4.5755514503105e-06,8.11256421529521e-07,-3.67467728311717e-06,3.29028201586647e-06,9.43110417519271e-07,-2.7804251465778e-06,1.26828723291657e-06,-3.25547147959867e-07,1.14287738696948e-06,-7.1818036204256e-07,-1.83388199253012e-07,-1.68585869067034e-06,-1.02641091381387e-06,4.37024636445867e-08,-1.90862659893086e-06,-1.43702597488619e-06,3.64106252081683e-07
"pq_2021Q1_x_hyf",-6.84744194994502e-05,-1.72468312181997e-07,0.000141792341351919,-5.04661446048839e-05,-7.68987497398434e-07,0.000122580911347333,-2.74551169915094e-05,-3.19653070719677e-07,8.26820709889432e-05,-2.51184872634652e-05,2.52424506715984e-08,5.95509570923719e-05,3.44144137436813e-06,-1.01625511995539e-06,1.52037265959798e-05,7.73866226575882e-06,-1.94869964951005e-07,8.74784192878291e-06,1.63611869674103e-06,-1.82072248277108e-06,1.6960458792678e-05
"pq_2021Q2_x_hy",8.50711704067743e-05,-2.93742361052255e-07,-5.04661446048839e-05,0.000136468295136964,-2.44942973483472e-07,-3.07619679016893e-05,0.00014275724830455,7.17203269120509e-07,1.51546624507186e-05,7.54142693265509e-05,-1.17350397592822e-06,8.04769037470036e-06,5.36648355099584e-05,2.03043290883632e-08,1.26094265005795e-05,8.49913472952635e-05,7.77206963449103e-07,4.28351109069332e-05,3.46239987961873e-05,3.48692946805248e-07,3.28148509771539e-05
"pq_2021Q2_x_hf",2.17192100985213e-06,4.5755514503105e-06,-7.68987497398434e-07,-2.44942973483472e-07,4.86538504336727e-06,-1.57712778396768e-06,-3.29859789441993e-06,3.69708254286113e-06,-2.83220752901089e-06,-3.09095224057784e-06,2.68444563654528e-06,-2.36800719951307e-06,-4.75129464978512e-07,2.61699540295483e-07,-1.54751268466246e-06,-3.25948828483884e-06,-1.48819312412471e-07,-2.0152244921934e-06,-3.13067179811447e-06,-1.77985595318631e-08,-6.76631736039201e-07
"pq_2021Q2_x_hyf",-5.85519131730944e-05,8.11256421529521e-07,0.000122580911347333,-3.07619679016893e-05,-1.57712778396768e-06,0.00015598536525584,-5.60137638954285e-06,-7.23931668569784e-07,0.000137970406366917,-1.9830462104916e-05,-4.102422635719e-07,9.59487889310403e-05,2.15786975838584e-05,-1.98477411594879e-06,3.77328993781031e-05,3.27461769220363e-05,-8.67167037767398e-07,5.55156560553863e-05,9.6703741622113e-06,-2.60032790302321e-06,4.79930234998394e-05
"pq_2021Q3_x_hy",5.69798808256177e-05,-3.67467728311717e-06,-2.74551169915094e-05,0.00014275724830455,-3.29859789441993e-06,-5.60137638954285e-06,0.000302357773777881,1.768922783056e-06,1.78964162349607e-05,0.00015021656447385,-2.43459086569255e-06,1.88712676524992e-05,8.83200432959094e-05,1.34132537959634e-07,2.6583565693389e-05,0.000239902260546306,4.37843503436059e-06,4.70749220526338e-05,0.000118408409039789,3.69463770597232e-06,4.2654496819406e-05
"pq_2021Q3_x_hf",1.95577097317563e-06,3.29028201586647e-06,-3.19653070719677e-07,7.17203269120509e-07,3.69708254286113e-06,-7.23931668569784e-07,1.768922783056e-06,4.49055868523869e-06,-2.69916903185645e-06,-9.21382074533913e-07,2.79209367701438e-06,-1.13476893598745e-06,5.20881929846787e-07,3.86107714514636e-07,-2.65011825314207e-07,1.23145720973911e-06,1.04502476771001e-06,-1.5570191759325e-06,-8.20941880457159e-08,3.18380729783707e-07,1.14549190539462e-06
"pq_2021Q3_x_hyf",-3.42869937003164e-05,9.43110417519271e-07,8.26820709889432e-05,1.51546624507186e-05,-2.83220752901089e-06,0.000137970406366917,1.78964162349607e-05,-2.69916903185645e-06,0.000219149044849366,-3.67934677164548e-06,-3.6224557006016e-06,0.000140915955976008,4.7277764768132e-05,-3.41454395778259e-06,5.62130041429167e-05,5.99382509433492e-05,-2.12816735532557e-06,0.000131687304639495,2.20118447042154e-05,-3.35084442262867e-06,9.07962928806351e-05
"pq_2021Q4_x_hy",3.29987512453634e-05,-2.7804251465778e-06,-2.51184872634652e-05,7.54142693265509e-05,-3.09095224057784e-06,-1.9830462104916e-05,0.00015021656447385,-9.21382074533913e-07,-3.67934677164548e-06,0.000132304570888121,-3.05560808563436e-06,-1.08116416153339e-05,3.78126367054902e-05,2.65797584144374e-07,1.15992663698295e-05,0.000118286580093215,2.42055134527548e-06,1.66342106175126e-05,0.000102383247985266,2.11474532037306e-06,1.01554702074524e-05
