"term","pq_2021Q1_x_hy","pq_2021Q1_x_hf","pq_2021Q1_x_hyf","pq_2021Q2_x_hy","pq_2021Q2_x_hf","pq_2021Q2_x_hyf","pq_2021Q3_x_hy","pq_2021Q3_x_hf","pq_2021Q3_x_hyf","pq_2021Q4_x_hy","pq_2021Q4_x_hf","pq_2021Q4_x_hyf","pq_2022Q2_x_hy","pq_2022Q2_x_hf","pq_2022Q2_x_hyf","pq_2022Q3_x_hy","pq_2022Q3_x_hf","pq_2022Q3_x_hyf","pq_2022Q4_x_hy","pq_2022Q4_x_hf","pq_2022Q4_x_hyf"
"pq_2021Q1_x_hy",0.000178849621146578,-3.33718958969241e-06,-7.46744266427166e-05,0.000118399812595952,-7.60278539127264e-07,-5.53519920499016e-05,2.64484687344607e-05,-2.28783380248037e-06,1.50938131676288e-05,-3.49193775441074e-05,-2.26905075784659e-07,2.94897970114231e-06,-4.64525670821288e-05,-1.22654399221343e-06,1.21694578425395e-05,-0.000102833946756059,-4.68714217460571e-06,6.06440109911853e-05,-0.000146351144814039,-2.28378787283328e-06,4.66933460388799e-05
"pq_2021Q1_x_hf",-3.33718958969241e-06,1.81470346824021e-05,1.80045692889065e-05,-2.97456137112894e-05,1.23540980401437e-05,2.0129458771923e-05,-6.39549628509756e-05,1.08292168283057e-05,8.97216116454294e-06,-9.21191042221929e-05,3.53208402696184e-06,2.3802025884676e-05,-2.14732461553928e-05,-5.11718052187555e-06,2.96607001146939e-06,-4.95743674714793e-05,-6.42372031313683e-06,-1.25352227481292e-06,-7.59646853599289e-05,-1.41306473297143e-05,1.96930135440411e-05
"pq_2021Q1_x_hyf",-7.46744266427166e-05,1.80045692889065e-05,0.00018783627115353,-8.86318684884139e-06,1.30791593657056e-05,0.000179222522357801,7.62525046344954e-05,2.48488313463748e-05,0.000123167834908218,-2.75580904353726e-05,1.11611649477929e-05,0.00012115675680629,7.26914094697228e-05,-4.11475440995267e-06,1.04014017924144e-05,0.000154883735170554,1.01660008335169e-05,-4.58167305449242e-06,7.73059742438771e-05,-1.39890018501002e-05,4.30166126751331e-05
"pq_2021Q2_x_hy",0.000118399812595952,-2.97456137112894e-05,-8.86318684884139e-06,0.000619415866462967,-3.70778739176132e-05,0.000228424086972501,0.00104282310110518,-1.57932768200523e-05,0.000685822517193801,0.000523321713111746,-1.92483550366465e-05,0.000424348676415014,0.000472807300139466,3.0716683460167e-06,0.000253182145568433,0.000949233753029097,1.76185865083142e-05,0.000646526239380271,0.000464408822749362,2.49497119964891e-05,0.000439548740381018
"pq_2021Q2_x_hf",-7.60278539127264e-07,1.23540980401437e-05,1.30791593657056e-05,-3.70778739176132e-05,1.06154828902733e-05,3.10713358919513e-06,-7.60262494966016e-05,8.65921431913154e-06,-2.1284780590457e-05,-8.20625925500275e-05,4.51015269726159e-06,3.47809991336465e-07,-3.20656103811337e-05,-2.55426743801537e-06,-9.08775049832592e-06,-6.89462989476357e-05,-3.74874777562525e-06,-2.70745241997533e-05,-7.24816043892019e-05,-8.08671074918081e-06,-4.04376670577032e-06
"pq_2021Q2_x_hyf",-5.53519920499016e-05,2.0129458771923e-05,0.000179222522357801,0.000228424086972501,3.10713358919513e-06,0.00035822590852893,0.000512370003582785,2.22078904607475e-05,0.000556465994780936,0.000141504816373201,-5.85234592004505e-07,0.000410665805504971,0.00029560990523396,-1.11587753325682e-05,0.000183297650748975,0.000596517408184625,3.52261342329547e-06,0.00041470034542906,0.000259349965070792,-2.37069264056703e-05,0.000355023245311808
"pq_2021Q3_x_hy",2.64484687344607e-05,-6.39549628509756e-05,7.62525046344954e-05,0.00104282310110518,-7.60262494966016e-05,0.000512370003582785,0.00217536951610697,-2.72465386136684e-05,0.00126549427435076,0.00123402770459103,-3.588696769695e-05,0.000787018175892315,0.000974610707478819,1.11361227536396e-05,0.000436983881036461,0.00214543730506802,5.0998254262041e-05,0.00111258542448004,0.00127331069287562,5.78997202825117e-05,0.000727787915726549
"pq_2021Q3_x_hf",-2.28783380248037e-06,1.08292168283057e-05,2.48488313463748e-05,-1.57932768200523e-05,8.65921431913154e-06,2.22078904607475e-05,-2.72465386136684e-05,1.12138592624783e-05,2.57584499934957e-06,-5.07068785063684e-05,5.52576438425567e-06,1.77797948424075e-05,-6.02405367233096e-06,-2.05311365951913e-06,-1.61086823848005e-06,-1.6795033567111e-05,4.92225317191117e-07,-1.55268722305333e-05,-3.51931386326823e-05,-7.11802721685586e-06,9.25556405025391e-06
"pq_2021Q3_x_hyf",1.50938131676288e-05,8.97216116454294e-06,0.000123167834908218,0.000685822517193801,-2.1284780590457e-05,0.000556465994780936,0.00126549427435076,2.57584499934957e-06,0.0012712871031153,0.000468251502267484,-2.50794574550948e-05,0.000867882086970939,0.000647169054813142,-1.65256466978491e-05,0.000457162718442998,0.001302413494538,-5.60001650183249e-06,0.00113783129533128,0.000562634366892082,-2.1343682933889e-05,0.000841793612810013
"pq_2021Q4_x_hy",-3.49193775441074e-05,-9.21191042221929e-05,-2.75580904353726e-05,0.000523321713111746,-8.20625925500275e-05,0.000141504816373201,0.00123402770459103,-5.07068785063684e-05,0.000468251502267484,0.00119060015482103,-2.58146132143417e-05,0.000176302725247989,0.000540686498213325,2.85046213328154e-05,0.000141257546882505,0.00125905927425096,5.70083148770549e-05,0.000394826566833027,0.00120669443197807,8.54320920705871e-05,0.000127081555658308
"pq_2021Q4_x_hf",-2.26905075784659e-07,3.53208402696184e-06,1.11611649477929e-05,-1.92483550366465e-05,4.51015269726159e-06,-5.85234592004505e-07,-3.588696769695e-05,5.52576438425567e-06,-2.50794574550948e-05,-2.58146132143417e-05,7.71448193683851e-06,-2.05131706815082e-05,-1.49141257170979e-05,5.68779796784311e-07,-1.12906010698577e-05,-3.17883067144531e-05,2.16273205199814e-06,-3.4820178509101e-05,-1.99157213694238e-05,2.3924163542582e-06,-2.37389879440389e-05
"pq_2021Q4_x_hyf",2.94897970114231e-06,2.3802025884676e-05,0.00012115675680629,0.000424348676415014,3.47809991336465e-07,0.000410665805504971,0.000787018175892315,1.77797948424075e-05,0.000867882086970939,0.000176302725247989,-2.05131706815082e-05,0.000722139935386874,0.000412863762128182,-1.59704901776463e-05,0.000314119688590603,0.00082894740589609,-8.13151995721345e-06,0.000763587860576308,0.000290937555458097,-3.92360710575438e-05,0.000655383495786568
