part,spec,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
I,Individ_2019,rows,8492723.0,,,,,,,,count
I,Individ_2019,persons,8492678.0,,,,,,,,count
I,Individ_2019,persons_multirow,45.0,,,,,,,,count
I,Individ_2019,persons_multisex,8.0,,,,,,,,count
I,Individ_2019,persons_multibirth,,,,,,,,,count
I,Individ_2021,rows,8613219.0,,,,,,,,count
I,Individ_2021,persons,8613191.0,,,,,,,,count
I,Individ_2021,persons_multirow,28.0,,,,,,,,count
I,Individ_2021,persons_multisex,7.0,,,,,,,,count
I,Individ_2021,persons_multibirth,0.0,,,,,,,,count
I,Individ_2023,rows,8748116.0,,,,,,,,count
I,Individ_2023,persons,8748088.0,,,,,,,,count
I,Individ_2023,persons_multirow,28.0,,,,,,,,count
I,Individ_2023,persons_multisex,9.0,,,,,,,,count
I,Individ_2023,persons_multibirth,0.0,,,,,,,,count
R,anomalous_2021,multisex_person_months,162.0,,,,,,,,count
R,anomalous_2021,multibirth_person_months,0.0,,,,,,,,count
R,sexsum_minus_pooled_2021,cells_with_gap,162.0,,,,,,,,count
R,sexsum_minus_pooled_2021,cells_expected_gap,162.0,,,,,,,,count
R,sexsum_minus_pooled_2021,cells_explained_exactly,162.0,,,,,,,,count
R,sexsum_minus_pooled_2021,cells_unexplained,0.0,,,,,,,,count
R,sexsum_minus_pooled_2021,person_months_gap,162.0,,,,,,,,count
R,sexsum_minus_pooled_2021,person_months_expected,162.0,,,,,,,,count
R,sexsum_minus_pooled_2021,share_explained,1.0,,,,,,,,share
R,rawpool_vs_pooled_2021,cells,8691054.0,,,,,,,,count
R,rawpool_vs_pooled_2021,cells_identical,8691054.0,,,,,,,,count
R,rawpool_vs_pooled_2021,share_identical,1.0,,,,,,,,share
R,rawpool_vs_pooled_2021,max_abs_diff,0.0,,,,,,,,count
R,rawpool_vs_pooled_2021,cells_on_one_side,0.0,,,,,,,,count
R,rawpool_vs_pooled_2021,person_months_new,61308389.0,,,,,,,,count
R,rawpool_vs_pooled_2021,person_months_old,61308389.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,cells_with_gap,162.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,cells_expected_gap,162.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,cells_explained_exactly,162.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,cells_unexplained,0.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,person_months_gap,162.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,person_months_expected,162.0,,,,,,,,count
R,raw99sum_minus_pooled_2021,share_explained,1.0,,,,,,,,share
