part,spec,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
P,gate,post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226.0,104217.0,ok
P,gate,tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226.0,104217.0,derived
P,scaled_k0,post,-0.01813296914266,0.0154961043456636,-1.170163077001627,,,,24884226.0,104217.0,ok
P,scaled_k0,tau,-0.00012696071086290214,0.01024648239315851,-0.012390663057955649,0.0002401292498916,9.32700346907073e-05,0.0001142044415745,24884226.0,104217.0,derived
P,scaled_kstar,post,-0.0180063115308887,0.0154961131589983,-1.161988903032292,,,,24884226.0,104217.0,ok
P,scaled_kstar,tau,-2.1343305001836343e-08,0.010246486153298838,-2.082987736724253e-06,0.0002401295230364,9.32697293961448e-05,0.0001142043869714,24884226.0,104217.0,derived
P,tipping,m_star,0.04079959916155884,,,,,,,,derived
P,tipping,k0,1.0406670447316102,,,,,,,,derived
P,tipping,tau_at_k0,-0.00012696071086290214,0.01024648239315851,-0.012390663057955649,,,,,,derived
P,tipping,tau_at_kstar,-2.1343305001836343e-08,0.010246486153298838,-2.082987736724253e-06,,,,,,derived
P,tipping,young_pm_high_later_Y,1012337.0,,,,,,,,count
P,tipping,young_pm_needed,41302.94381641499,,,,,,,,derived
P,tipping,U_high_later,55634.0,,,,,,,,count
P,tipping,A_high_later,23217373.0,,,,,,,,count
P,tipping,share_unlinked_high_interim,0.0026203187435753683,,,,,,,,derived
P,tipping,share_unlinked_other_later,0.0019996957236026692,,,,,,,,derived
P,tipping,share_unlinked_other_interim,0.001955102644836679,,,,,,,,derived
P,tipping,excess_own_rate,-5202.917648480681,,,,,,,,derived
P,tipping,excess_differential,-6238.251791409064,,,,,,,,derived
P,tipping,needed_over_U_high_later,0.7424047132403744,,,,,,,,derived
P,tipping,needed_over_excess_own,,,,,,,,,derived
P,tipping,needed_over_excess_diff,,,,,,,,,derived
P,x_all,allocated_pm,99820.0,,,,,,,,count
P,x_all,unallocatable_pm,0.0,,,,,,,,count
P,x_all,post,-9.13968028484549e-05,0.017609266905251,-0.005190267337091744,,,,24884226.0,104217.0,ok
P,x_all,tau,-0.04101277273057195,0.010023198290266435,-4.0917850313706365,0.0003100862809403,0.0001433816227891,0.0001765016998817,24884226.0,104217.0,derived
P,x_diff,allocated_pm,7888.748007442631,,,,,,,,count
P,x_diff,post,-0.048968291975745,0.0153770720556188,-3.1845003911425342,,,,24884226.0,104217.0,ok
P,x_diff,tau,-0.031085191312839804,0.01020297800850045,-3.046678262654459,0.0002364543450036,9.32910392137438e-05,0.0001128223119877,24884226.0,104217.0,derived
S,gate,post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914.0,104217.0,ok
S,gate,tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914.0,104217.0,derived
S,scaled_k0,post,-0.014839646402207,0.0142057571956128,-1.0446219935949606,,,,38398914.0,104217.0,ok
S,scaled_k0,tau,-0.00028463590376059944,0.010880248500913294,-0.02616079069671129,0.0002018035375007,8.26224339094698e-05,8.30230819842719e-05,38398914.0,104217.0,derived
S,scaled_kstar,post,-0.0145555354207048,0.0142057890539149,-1.0246199887568734,,,,38398914.0,104217.0,ok
S,scaled_kstar,tau,-7.683673399969115e-08,0.0108802728731522,-7.062022698832391e-06,0.0002018044426443,8.26230179435728e-05,8.30235613968106e-05,38398914.0,104217.0,derived
S,tipping,m_star,0.07429708167441951,,,,,,,,derived
S,tipping,k0,1.073990117802344,,,,,,,,derived
S,tipping,tau_at_k0,-0.00028463590376059944,0.010880248500913294,-0.02616079069671129,,,,,,derived
S,tipping,tau_at_kstar,-7.683673399969115e-08,0.0108802728731522,-7.062022698832391e-06,,,,,,derived
S,tipping,young_pm_high_later_Y,490946.0,,,,,,,,count
S,tipping,young_pm_needed,36475.85505972956,,,,,,,,derived
S,tipping,U_high_later,55634.0,,,,,,,,count
S,tipping,A_high_later,23217373.0,,,,,,,,count
S,tipping,share_unlinked_high_interim,0.0026203187435753683,,,,,,,,derived
S,tipping,share_unlinked_other_later,0.0019996957236026692,,,,,,,,derived
S,tipping,share_unlinked_other_interim,0.001955102644836679,,,,,,,,derived
S,tipping,excess_own_rate,-5202.917648480681,,,,,,,,derived
S,tipping,excess_differential,-6238.251791409064,,,,,,,,derived
S,tipping,needed_over_U_high_later,0.6556396279205083,,,,,,,,derived
S,tipping,needed_over_excess_own,,,,,,,,,derived
S,tipping,needed_over_excess_diff,,,,,,,,,derived
S,x_all,allocated_pm,96244.0,,,,,,,,count
S,x_all,unallocatable_pm,3576.0,,,,,,,,count
S,x_all,post,0.0140437565436871,0.0213782619825098,0.6569175995306223,,,,38398914.0,104217.0,ok
S,x_all,tau,-0.0724174606153058,0.011305573316979551,-6.405465568609764,0.0004570300853928,0.0002494305525808,0.000289322324974,38398914.0,104217.0,derived
S,x_diff,allocated_pm,7146.986898662039,,,,,,,,count
S,x_diff,post,-0.0708796184238769,0.0143578654228512,-4.936640394404919,,,,38398914.0,104217.0,ok
S,x_diff,tau,-0.056446754097704596,0.011100129108340328,-5.085234013655938,0.0002061482995007,8.24048245343289e-05,8.26701289066023e-05,38398914.0,104217.0,derived
